cbsa_fips,name,npl_sites,sqmi,sfund_per_sqmi
14010,"Bloomington, IL",0,1589.4700879910251,0
14020,"Bloomington, IN",4,798.4606713941171,0.005009639351448552
14260,"Boise City, ID",0,11811.710960112712,0
14460,"Boston-Cambridge-Newton, MA-NH",32,3664.3125608461537,0.008732879487936105
14500,"Boulder, CO",2,739.7385627321222,0.0027036578877452006
14540,"Bowling Green, KY",0,1638.3509765291149,0
14740,"Bremerton-Silverdale, WA",7,433.0362871355964,0.016164927069513908
14860,"Bridgeport-Stamford-Norwalk, CT",2,653.4508761947754,0.003060673836182685
15180,"Brownsville-Harlingen, TX",0,1010.1152793876525,0
15260,"Brunswick, GA",4,1394.2417529920187,0.0028689429156859413
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",6,1583.4645172128028,0.00378915974104752
15500,"Burlington, NC",0,434.0887509904867,0
15540,"Burlington-South Burlington, VT",2,1502.6370509733767,0.0013309934017029874
15940,"Canton-Massillon, OH",2,978.3370819129976,0.0020442851824539732
15980,"Cape Coral-Fort Myers, FL",0,890.2919263074073,0
16180,"Carson City, NV",0,157.1092538839701,0
16220,"Casper, WY",1,5367.6375862882815,1.8630169863824572e-4
16300,"Cedar Rapids, IA",1,2016.8498241156492,4.958227370441333e-4
16580,"Champaign-Urbana, IL",1,1921.9265905134334,5.203112360981773e-4
16620,"Charleston, WV",0,1756.7655633843249,0
16700,"Charleston-North Charleston, SC",2,2830.9819381897173,7.064686542221135e-4
16740,"Charlotte-Concord-Gastonia, NC-SC",11,5176.7220679067705,0.002124896769752195
16820,"Charlottesville, VA",3,2240.3327623721902,0.0013390867867429798
16860,"Chattanooga, TN-GA",3,2138.125028281189,0.0014030984906489128
16940,"Cheyenne, WY",1,2683.1361092529683,3.726982006434319e-4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",20,7295.039677653605,0.002741588926687353
17020,"Chico, CA",3,1675.4402034523566,0.0017905741988393851
17140,"Cincinnati, OH-KY-IN",6,4235.872030546398,0.0014164733865262786
17300,"Clarksville, TN-KY",0,1748.1231433429732,0
17420,"Cleveland, TN",0,773.9111622495117,0
17460,"Cleveland-Elyria, OH",3,2014.519174022526,0.0014891891021368133
17660,"Coeur d'Alene, ID",1,1305.561851989804,7.659537527662149e-4
17780,"College Station-Bryan, TX",0,2135.4707327375872,0
17820,"Colorado Springs, CO",0,2686.6951239493824,0
17860,"Columbia, MO",0,690.4914977046187,0
17900,"Columbia, SC",6,3834.9192001936754,0.0015645701217634471
17980,"Columbus, GA-AL",0,1960.7725903205376,0
18020,"Columbus, IN",1,409.1552849081785,0.002444059839589796
18140,"Columbus, OH",3,4844.995481937704,6.191956238523016e-4
18580,"Corpus Christi, TX",1,1872.1617422403046,5.341418839182984e-4
18700,"Corvallis, OR",1,676.8691870559237,0.001477390342363714
18880,"Crestview-Fort Walton Beach-Destin, FL",0,2144.749778945845,0
19060,"Cumberland, MD-WV",2,756.2514517432785,0.0026446230223951114
19100,"Dallas-Fort Worth-Arlington, TX",5,9641.265428058443,5.186041227999776e-4
19140,"Dalton, GA",0,637.7633346804369,0
19180,"Danville, IL",1,900.3702308615522,0.0011106542239219899
19340,"Davenport-Moline-Rock Island, IA-IL",0,2310.5337991160213,0
19380,"Dayton, OH",9,1289.0089481475004,0.0069821082413231905
19460,"Decatur, AL",1,1316.2656713077538,7.597250477606596e-4
19500,"Decatur, IL",0,585.2545966509301,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,1775.832399196497,5.631162042389054e-4
19740,"Denver-Aurora-Lakewood, CO",12,8394.64595195662,0.0014294825617038734
19780,"Des Moines-West Des Moines, IA",2,2907.613008079235,6.878494471041031e-4
19820,"Detroit-Warren-Dearborn, MI",13,4014.7034404245137,0.0032380972076546167
20020,"Dothan, AL",1,1730.3779687095173,5.779084212137657e-4
20100,"Dover, DE",5,597.4565217723749,0.008368809809234873
20220,"Dubuque, IA",1,615.4975328644308,0.0016247018819818073
20260,"Duluth, MN-WI",2,8934.927611884688,2.2384064951345813e-4
20500,"Durham-Chapel Hill, NC",0,1811.819892240377,0
20740,"Eau Claire, WI",3,1682.8623582339474,0.0017826769880029294
20940,"El Centro, CA",1,4483.487528210035,2.2304065612048998e-4
21060,"Elizabethtown-Fort Knox, KY",2,1217.3947567410453,0.0016428524839009343
21140,"Elkhart-Goshen, IN",3,467.2264958218323,0.006420868736742171
21300,"Elmira, NY",2,410.12212303119657,0.00487659623240531
21340,"El Paso, TX",0,5591.601413456933,0
21500,"Erie, PA",3,808.4624700816752,0.003710747389049394
21660,"Eugene, OR",0,4612.659934052596,0
21780,"Evansville, IN-KY",1,1511.9237551061963,6.614090139285898e-4
21820,"Fairbanks, AK",3,7386.127813588893,4.061668137505883e-4
22020,"Fargo, ND-MN",0,2813.014499525236,0
22140,"Farmington, NM",1,5536.764022714534,1.806109120593739e-4
22180,"Fayetteville, NC",2,1050.1319506329876,0.0019045225686109835
22220,"Fayetteville-Springdale-Rogers, AR-MO",0,3212.4689311813777,0
22380,"Flagstaff, AZ",0,18659.31054780585,0
22420,"Flint, MI",2,648.4380417197076,0.0030843347726728773
22500,"Florence, SC",0,1370.8484815759582,0
22520,"Florence-Muscle Shoals, AL",0,1343.3748023154915,0
22540,"Fond du Lac, WI",1,764.3780083627948,0.0013082532321172858
22660,"Fort Collins, CO",0,2630.4806902253817,0
22900,"Fort Smith, AR-OK",0,3472.8429721517864,0
23060,"Fort Wayne, IN",2,1366.3553240065567,0.0014637480930914883
23420,"Fresno, CA",6,6009.113349079406,9.984834120193783e-4
23460,"Gadsden, AL",0,548.8577649899023,0
23540,"Gainesville, FL",1,1325.5913578625791,7.543802953064119e-4
23580,"Gainesville, GA",0,429.3930626408786,0
24020,"Glens Falls, NY",0,1774.1766445146507,0
24140,"Goldsboro, NC",0,557.7138271278391,0
24220,"Grand Forks, ND-MN",0,3427.2855193972846,0
24300,"Grand Junction, CO",0,3338.3706663136713,0
24340,"Grand Rapids-Wyoming, MI",11,2742.044419483603,0.004011605326974091
24500,"Great Falls, MT",1,2703.992178349257,3.698235549669688e-4
24540,"Greeley, CO",0,4012.3738692685274,0
24580,"Green Bay, WI",3,1893.4746556859682,0.0015843887801673055
24660,"Greensboro-High Point, NC",0,2019.9630506745743,0
24780,"Greenville, NC",0,655.4723777868934,0
