cbsa_fips,name,population_2000,population_2005,pctchg_00_05
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1170111,1148563,-0.018415346920078523
15500,"Burlington, NC",130800,139311,0.06506880733944954
15540,"Burlington-South Burlington, VT",198889,206637,0.03895640281765206
15940,"Canton-Massillon, OH",406934,405168,-0.004339770085566701
15980,"Cape Coral-Fort Myers, FL",440888,555029,0.2588888788082234
16180,"Carson City, NV",52457,55982,0.06719789541910517
16220,"Casper, WY",66533,69922,0.05093712894353178
16300,"Cedar Rapids, IA",237230,247265,0.04230072081945791
16580,"Champaign-Urbana, IL",210275,221400,0.05290690762097253
16620,"Charleston, WV",235938,229041,-0.02923225593164306
16700,"Charleston-North Charleston, SC",549033,598313,0.08975781055054978
16740,"Charlotte-Concord-Gastonia, NC-SC",1717372,1934168,0.12623706453814315
16820,"Charlottesville, VA",189644,204975,0.08084094408470609
16860,"Chattanooga, TN-GA",476531,499564,0.04833473583040768
16940,"Cheyenne, WY",81607,85732,0.05054713443699683
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9098316,9276302,0.01956252124019434
17020,"Chico, CA",203171,214752,0.057001245256458846
17140,"Cincinnati, OH-KY-IN",1994830,2054879,0.030102314482938396
17300,"Clarksville, TN-KY",219630,237633,0.0819696762737331
17420,"Cleveland, TN",104015,109410,0.05186751910782099
17460,"Cleveland-Elyria, OH",2148143,2111699,-0.016965351003168785
17660,"Coeur d'Alene, ID",108685,125972,0.15905598748677371
17780,"College Station-Bryan, TX",184885,203500,0.10068420910295589
17820,"Colorado Springs, CO",537484,587778,0.09357301798751219
17860,"Columbia, MO",135454,148786,0.09842455741432515
17900,"Columbia, SC",647158,699160,0.08035441113298453
17980,"Columbus, GA-AL",281768,286358,0.016289997444706283
18020,"Columbus, IN",71435,73660,0.031147196752292293
18140,"Columbus, OH",1675013,1791126,0.0693206560187891
18580,"Corpus Christi, TX",403280,416308,0.032305098194802616
18700,"Corvallis, OR",78153,80943,0.03569920540478293
18880,"Crestview-Fort Walton Beach-Destin, FL",211099,233437,0.10581764953884197
19060,"Cumberland, MD-WV",102008,101172,-0.008195435652105718
19100,"Dallas-Fort Worth-Arlington, TX",5204126,5776543,0.10999291715842391
19140,"Dalton, GA",120031,133885,0.11542018311936084
19180,"Danville, IL",83919,82728,-0.014192256819075537
19340,"Davenport-Moline-Rock Island, IA-IL",376019,372876,-0.008358620176108122
19380,"Dayton, OH",805816,804766,-0.0013030269937553982
19460,"Decatur, AL",145867,148399,0.01735827843172205
19500,"Decatur, IL",114706,111083,-0.03158509581015814
19660,"Deltona-Daytona Beach-Ormond Beach, FL",493175,563305,0.14220104425406802
19740,"Denver-Aurora-Lakewood, CO",2157756,2332749,0.08109953117961438
19780,"Des Moines-West Des Moines, IA",481394,521578,0.08347424355102058
19820,"Detroit-Warren-Dearborn, MI",4452557,4431048,-0.00483070738903511
20020,"Dothan, AL",130861,136643,0.044184287144374564
20100,"Dover, DE",126697,144585,0.14118724200257307
20220,"Dubuque, IA",89143,90769,0.018240355384045857
20260,"Duluth, MN-WI",275486,276682,0.004341418438686539
20500,"Durham-Chapel Hill, NC",426493,458287,0.0745475306745949
20740,"Eau Claire, WI",148337,154809,0.04363038217032837
20940,"El Centro, CA",142361,156113,0.09659949002887026
21060,"Elizabethtown-Fort Knox, KY",133896,140177,0.046909541733883016
21140,"Elkhart-Goshen, IN",182791,192242,0.05170385850506863
21300,"Elmira, NY",91070,88860,-0.02426704732623257
21340,"El Paso, TX",682966,731511,0.07107967307303731
21500,"Erie, PA",280843,277211,-0.012932492531414349
21660,"Eugene, OR",322959,335831,0.03985645236701872
21780,"Evansville, IN-KY",296195,303844,0.025824203649622714
21820,"Fairbanks, AK",82840,90431,0.09163447609850314
22020,"Fargo, ND-MN",174367,189303,0.08565841013494525
22140,"Farmington, NM",113801,124809,0.09673025720336377
22180,"Fayetteville, NC",336609,343493,0.020451027750297824
22220,"Fayetteville-Springdale-Rogers, AR-MO",347045,407987,0.17560258756069097
22380,"Flagstaff, AZ",116320,127025,0.0920306052269601
22420,"Flint, MI",436141,442508,0.014598489937887059
22500,"Florence, SC",193155,199167,0.031125262095208512
22520,"Florence-Muscle Shoals, AL",142950,143717,0.005365512416928996
22540,"Fond du Lac, WI",97296,99297,0.02056610754810064
22660,"Fort Collins, CO",251494,275116,0.09392669407620062
22900,"Fort Smith, AR-OK",255399,266708,0.04427973484626017
