cbsa_fips,cbsa,r_1,r_2
24860,"Greenville-Anderson-Mauldin, SC",0,1
25540,"Hartford-West Hartford-East Hartford, CT",1,0
25620,"Hattiesburg, MS",0,1
26340,NA,0,1
26420,"Houston-The Woodlands-Sugar Land, TX",1,1
26620,"Huntsville, AL",0,1
26900,"Indianapolis-Carmel-Anderson, IN",0,1
26980,"Iowa City, IA",1,0
27060,"Ithaca, NY",1,0
27140,"Jackson, MS",0,1
28020,"Kalamazoo-Portage, MI",0,1
28140,"Kansas City, MO-KS",0,1
28940,"Knoxville, TN",1,0
29180,"Lafayette, LA",0,1
29200,"Lafayette-West Lafayette, IN",1,0
29620,"Lansing-East Lansing, MI",1,0
29660,NA,0,1
29740,"Las Cruces, NM",0,1
29820,"Las Vegas-Henderson-Paradise, NV",0,1
29940,"Lawrence, KS",1,0
30100,NA,1,0
30460,"Lexington-Fayette, KY",1,0
30700,"Lincoln, NE",1,0
30860,"Logan, UT-ID",0,1
31080,"Los Angeles-Long Beach-Anaheim, CA",4,1
31140,"Louisville/Jefferson County, KY-IN",0,1
31180,"Lubbock, TX",0,1
31540,"Madison, WI",1,0
31740,"Manhattan, KS",1,0
32820,"Memphis, TN-MS-AR",0,1
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,2
33340,"Milwaukee-Waukesha-West Allis, WI",0,2
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,0
33540,"Missoula, MT",0,1
34060,"Morgantown, WV",0,1
34140,NA,0,1
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,0
35300,"New Haven-Milford, CT",1,0
35380,"New Orleans-Metairie, LA",1,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",5,7
36300,NA,0,1
36420,"Oklahoma City, OK",0,1
36740,"Orlando-Kissimmee-Sanford, FL",0,1
37060,NA,0,1
37340,"Palm Bay-Melbourne-Titusville, FL",0,1
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,2
38060,"Phoenix-Mesa-Scottsdale, AZ",1,0
38300,"Pittsburgh, PA",2,0
39300,"Providence-Warwick, RI-MA",1,1
39340,"Provo-Orem, UT",0,1
39420,NA,1,0
39580,"Raleigh, NC",1,0
39900,"Reno, NV",0,1
40060,"Richmond, VA",0,1
40140,"Riverside-San Bernardino-Ontario, CA",1,0
40380,"Rochester, NY",1,0
40620,NA,0,1
40900,"Sacramento--Roseville--Arden-Arcade, CA",1,0
41180,"St. Louis, MO-IL",1,2
41620,"Salt Lake City, UT",1,0
41740,"San Diego-Carlsbad, CA",1,1
41860,"San Francisco-Oakland-Hayward, CA",1,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",1,0
42100,"Santa Cruz-Watsonville, CA",1,0
42200,"Santa Maria-Santa Barbara, CA",1,0
42660,"Seattle-Tacoma-Bellevue, WA",1,0
43780,"South Bend-Mishawaka, IN-MI",1,0
44140,"Springfield, MA",1,0
44260,NA,0,1
44300,"State College, PA",1,0
44660,NA,0,1
45060,"Syracuse, NY",0,2
45220,"Tallahassee, FL",1,0
45300,"Tampa-St. Petersburg-Clearwater, FL",1,0
45780,"Toledo, OH",0,2
45940,"Trenton, NJ",1,0
46060,"Tucson, AZ",1,0
46140,"Tulsa, OK",0,1
46220,"Tuscaloosa, AL",0,1
46520,"Urban Honolulu, HI",1,0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0,2
47380,"Waco, TX",0,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,4
48620,"Wichita, KS",0,1
49180,"Winston-Salem, NC",0,1
49340,"Worcester, MA-CT",0,1
