cbsa_fips,name,sqmi,population_2005,density
13460,"Bend-Redmond, OR",3047.550850325102,140567,46.124579015639654
13740,"Billings, MT",5872.037136221895,148558,25.29922692137181
13780,"Binghamton, NY",1236.163038648015,252088,203.92779278994408
13820,"Birmingham-Hoover, AL",5371.890575051736,1086318,202.22265975504124
13900,"Bismarck, ND",5458.759914734819,105942,19.407704616946237
13980,"Blacksburg-Christiansburg-Radford, VA",1471.346824418094,170990,116.2132524856097
14010,"Bloomington, IL",1589.4700879910251,177015,111.36730495113257
14020,"Bloomington, IN",798.4606713941171,150096,187.98170702375546
14260,"Boise City, ID",11811.710960112712,546980,46.308278440533435
14460,"Boston-Cambridge-Newton, MA-NH",3664.3125608461537,4418046,1205.6957278174425
14500,"Boulder, CO",739.7385627321222,NA,NA
14540,"Bowling Green, KY",1638.3509765291149,145918,89.06394422831835
14740,"Bremerton-Silverdale, WA",433.0362871355964,239806,553.7780715474075
14860,"Bridgeport-Stamford-Norwalk, CT",653.4508761947754,897653,1373.711525535448
15180,"Brownsville-Harlingen, TX",1010.1152793876525,373429,369.68948754678615
15260,"Brunswick, GA",1394.2417529920187,101532,72.82237802885625
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1583.4645172128028,1148563,725.3481132761272
15500,"Burlington, NC",434.0887509904867,139311,320.927459378124
15540,"Burlington-South Burlington, VT",1502.6370509733767,206637,137.5162417738501
15940,"Canton-Massillon, OH",978.3370819129976,405168,414.1394694022557
15980,"Cape Coral-Fort Myers, FL",890.2919263074073,555029,623.4236025278242
16180,"Carson City, NV",157.1092538839701,55982,356.32528712372596
16220,"Casper, WY",5367.6375862882815,69922,13.026587372183416
16300,"Cedar Rapids, IA",2016.8498241156492,247265,122.59960907521761
16580,"Champaign-Urbana, IL",1921.9265905134334,221400,115.19690767213646
16620,"Charleston, WV",1756.7655633843249,229041,130.37653103739322
16700,"Charleston-North Charleston, SC",2830.9819381897173,598313,211.34468995679768
16740,"Charlotte-Concord-Gastonia, NC-SC",5176.7220679067705,1934168,373.6279395780058
16820,"Charlottesville, VA",2240.3327623721902,204975,91.49310470421409
16860,"Chattanooga, TN-GA",2138.125028281189,499564,233.64583146084448
16940,"Cheyenne, WY",2683.1361092529683,85732,31.952162137562706
16980,"Chicago-Naperville-Elgin, IL-IN-WI",7295.039677653605,9276302,1271.5903421903872
17020,"Chico, CA",1675.4402034523566,214752,128.17646344971854
17140,"Cincinnati, OH-KY-IN",4235.872030546398,2054879,485.11356933862214
17300,"Clarksville, TN-KY",1748.1231433429732,237633,135.93607573066583
17420,"Cleveland, TN",773.9111622495117,109410,141.37281555932105
17460,"Cleveland-Elyria, OH",2014.519174022526,2111699,1048.2397125977354
17660,"Coeur d'Alene, ID",1305.561851989804,125972,96.48872614346563
17780,"College Station-Bryan, TX",2135.4707327375872,203500,95.29514822201342
17820,"Colorado Springs, CO",2686.6951239493824,587778,218.7736132620732
17860,"Columbia, MO",690.4914977046187,148786,215.47839545397022
17900,"Columbia, SC",3834.9192001936754,699160,182.3141410553553
17980,"Columbus, GA-AL",1960.7725903205376,286358,146.04345318453662
18020,"Columbus, IN",409.1552849081785,73660,180.02944778418438
18140,"Columbus, OH",4844.995481937704,1791126,369.6857936560259
18580,"Corpus Christi, TX",1872.1617422403046,416308,222.36753941025896
18700,"Corvallis, OR",676.8691870559237,80943,119.58440648194612
18880,"Crestview-Fort Walton Beach-Destin, FL",2144.749778945845,233437,108.84113489207839
19060,"Cumberland, MD-WV",756.2514517432785,101172,133.7809002108791
19100,"Dallas-Fort Worth-Arlington, TX",9641.265428058443,5776543,599.1478030662703
19140,"Dalton, GA",637.7633346804369,133885,209.92897007333536
19180,"Danville, IL",900.3702308615522,82728,91.88220263661837
19340,"Davenport-Moline-Rock Island, IA-IL",2310.5337991160213,372876,161.380889620683
19380,"Dayton, OH",1289.0089481475004,804766,624.3292578818555
19460,"Decatur, AL",1316.2656713077538,148399,112.74243736263413
19500,"Decatur, IL",585.2545966509301,111083,189.80286636903506
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1775.832399196497,563305,317.2061734287966
19740,"Denver-Aurora-Lakewood, CO",8394.64595195662,2332749,277.8853346943458
19780,"Des Moines-West Des Moines, IA",2907.613008079235,521578,179.38356946083195
19820,"Detroit-Warren-Dearborn, MI",4014.7034404245137,4431048,1103.704935060275
20020,"Dothan, AL",1730.3779687095173,136643,78.96714039991258
20100,"Dover, DE",597.4565217723749,144585,242.00087325364484
20220,"Dubuque, IA",615.4975328644308,90769,147.47256512560665
20260,"Duluth, MN-WI",8934.927611884688,276682,30.96633929434131
20500,"Durham-Chapel Hill, NC",1811.819892240377,458287,252.9429122413004
20740,"Eau Claire, WI",1682.8623582339474,154809,91.99148061191516
20940,"El Centro, CA",4483.487528210035,156113,34.81954594893805
21060,"Elizabethtown-Fort Knox, KY",1217.3947567410453,140177,115.14506631789064
21140,"Elkhart-Goshen, IN",467.2264958218323,192242,411.4535492295962
21300,"Elmira, NY",410.12212303119657,88860,216.6671706057679
21340,"El Paso, TX",5591.601413456933,731511,130.82316601457347
21500,"Erie, PA",808.4624700816752,277211,342.88666482192383
21660,"Eugene, OR",4612.659934052596,335831,72.80636439741725
21780,"Evansville, IN-KY",1511.9237551061963,303844,200.96516042811845
21820,"Fairbanks, AK",7386.127813588893,90431,12.243357044759817
22020,"Fargo, ND-MN",2813.014499525236,189303,67.29542276868798
22140,"Farmington, NM",5536.764022714534,124809,22.541867323218398
22180,"Fayetteville, NC",1050.1319506329876,343493,327.0950853299463
22220,"Fayetteville-Springdale-Rogers, AR-MO",3212.4689311813777,407987,127.00107261425366
22380,"Flagstaff, AZ",18659.31054780585,127025,6.807593435703705
22420,"Flint, MI",648.4380417197076,442508,682.4214057929647
22500,"Florence, SC",1370.8484815759582,199167,145.28739147818374
22520,"Florence-Muscle Shoals, AL",1343.3748023154915,143717,106.98205724291088
22540,"Fond du Lac, WI",764.3780083627948,99297,129.90562118955012
22660,"Fort Collins, CO",2630.4806902253817,275116,104.5877284035215
22900,"Fort Smith, AR-OK",3472.8429721517864,266708,76.79817433114367
