cbsa_fips,cbsa,no_hs_diploma,bachelors_plus,total_bach,total_mast,total_prof,total_doct,total_nohs,total_degr,total_ov25
14500,"Boulder, CO",0.07201573127881113,0.5238333172152198,58012,26373,5750,7364,13404,97499,186126
14540,"Bowling Green, KY",0.25615587752480196,0.1883876953821997,9318,4289,1226,1004,21534,15837,84066
14740,"Bremerton-Silverdale, WA",0.09233779857972886,0.2533018614159673,25276,8679,2724,988,13731,37667,148704
14860,"Bridgeport-Stamford-Norwalk, CT",0.15633724644558505,0.39853379859181615,137383,72545,20876,6870,93235,237674,596371
15180,"Brownsville-Harlingen, TX",0.44752598041312064,0.1335639139545824,15785,5490,2955,755,83716,24985,187064
15260,"Brunswick, GA",0.20515507811220646,0.1967052042052861,7505,2795,1365,347,12528,12012,61066
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.17042438543937596,0.2320811285006033,107825,52983,14606,6730,133754,182144,784829
15500,"Burlington, NC",0.23450106769781265,0.1919432100190454,11993,3168,908,560,20316,16629,86635
15540,"Burlington-South Burlington, VT",0.11493555604575678,0.3484148993161693,27512,11359,3227,2127,14589,44225,126932
15680,"California-Lexington Park, MD",0.14652075084323216,0.22550960551400498,7813,3610,584,295,7993,12302,54552
15940,"Canton-Massillon, OH",0.16806457414905057,0.17315210089894323,31233,10483,4305,1151,45786,47172,272431
15980,"Cape Coral-Fort Myers, FL",0.17706731121365268,0.21104336043360433,44193,15624,6977,2359,58020,69153,327672
16020,"Cape Girardeau, MO-IL",0.21901334117769203,0.19904483397068748,7788,2317,905,493,12657,11503,57791
16060,"Carbondale-Marion, IL",0.17844892271411728,0.23644013291885518,10268,4720,1252,1406,13318,17646,74632
16180,"Carson City, NV",0.1753400272578088,0.18465774761494172,4265,1482,632,260,6304,6639,35953
16220,"Casper, WY",0.11735746436609153,0.20015941485371344,5719,1838,797,184,5006,8538,42656
16300,"Cedar Rapids, IA",0.1018354631448596,0.24907448829414092,28448,7130,2148,691,15707,38417,154239
16540,"Chambersburg-Waynesboro, PA",0.21074591571072887,0.14773928762264238,7744,3721,1105,425,18537,12995,87959
16580,"Champaign-Urbana, IL",0.09622713100285399,0.3453651615883333,21112,12861,2616,5281,11666,41870,121234
16620,"Charleston, WV",0.22333511504166767,0.18628368036152482,18664,7637,3329,1039,36769,30669,164636
16700,"Charleston-North Charleston, SC",0.18695163104611923,0.2502898676127023,56578,19852,7062,3286,64818,86778,346710
16740,"Charlotte-Concord-Gastonia, NC-SC",0.20336363660531281,0.24895146661751505,201821,56082,16981,6053,229492,280937,1128481
16820,"Charlottesville, VA",0.19162249705535925,0.35622791519434627,23053,12076,4467,3955,23427,43551,122256
16860,"Chattanooga, TN-GA",0.23280766184201052,0.19447966662596547,41289,13746,4969,2113,74359,62117,319401
16940,"Cheyenne, WY",0.108708357685564,0.23449784129258497,8146,2853,1136,303,5766,12438,53041
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.18875632230496256,0.28963913813993797,1059831,426939,136966,55570,1094395,1679306,5797925
17020,"Chico, CA",0.17735292261078148,0.21835942431511174,18826,5417,2156,1275,22477,27674,126736
17140,"Cincinnati, OH-KY-IN",0.17494137557890882,0.2489861515698513,206509,78101,21973,11634,223584,318217,1278051
17300,"Clarksville, TN-KY",0.1872869274158557,0.16640581416971426,13744,5354,1677,702,24172,21477,129064
17420,"Cleveland, TN",0.28488780830745797,0.14545374655808777,6421,2442,720,348,19451,9931,68276
17460,"Cleveland-Elyria, OH",0.1700840577227467,0.23892350963101924,218484,80515,32664,11440,244247,343103,1436037
17660,"Coeur d'Alene, ID",0.12704659949622166,0.1907917334554614,9117,2725,1170,319,8877,13331,69872
17780,"College Station-Bryan, TX",0.2134811858733222,0.3148299586754331,15766,7340,1461,4307,19579,28874,91713
17820,"Colorado Springs, CO",0.08629952787904141,0.31754317815095917,67683,29798,5217,3571,28881,106269,334660
