cbsa_fips,name,gini
24860,"Greenville-Anderson-Mauldin, SC",0.4637
25060,"Gulfport-Biloxi-Pascagoula, MS",0.44
25180,"Hagerstown-Martinsburg, MD-WV",0.4219
25260,"Hanford-Corcoran, CA",0.4391
25420,"Harrisburg-Carlisle, PA",0.4329
25500,"Harrisonburg, VA",0.4375
25540,"Hartford-West Hartford-East Hartford, CT",0.4618
25620,"Hattiesburg, MS",0.4816
25860,"Hickory-Lenoir-Morganton, NC",0.4559
25980,"Hinesville, GA",0.4063
26300,"Hot Springs, AR",0.4887
26380,"Houma-Thibodaux, LA",0.4555
26420,"Houston-The Woodlands-Sugar Land, TX",0.487
26580,"Huntington-Ashland, WV-KY-OH",0.478
26620,"Huntsville, AL",0.4665
26820,"Idaho Falls, ID",0.4381
26900,"Indianapolis-Carmel-Anderson, IN",0.4669
26980,"Iowa City, IA",0.476
27060,"Ithaca, NY",0.49370000000000003
27100,"Jackson, MI",0.4451
27140,"Jackson, MS",0.4797
27180,"Jackson, TN",0.4676
27260,"Jacksonville, FL",0.4676
27340,"Jacksonville, NC",0.4065
27500,"Janesville-Beloit, WI",0.4174
27620,"Jefferson City, MO",0.4151
27740,"Johnson City, TN",0.4863
27780,"Johnstown, PA",0.4388
27860,"Jonesboro, AR",0.4744
27900,"Joplin, MO",0.4457
28020,"Kalamazoo-Portage, MI",0.4623
28100,"Kankakee, IL",0.4264
28140,"Kansas City, MO-KS",0.4569
28420,"Kennewick-Richland, WA",0.4261
28660,"Killeen-Temple, TX",0.4274
28700,"Kingsport-Bristol-Bristol, TN-VA",0.4633
28740,"Kingston, NY",0.4553
28940,"Knoxville, TN",0.4786
29020,"Kokomo, IN",0.4411
29100,"La Crosse-Onalaska, WI-MN",0.4404
29180,"Lafayette, LA",0.4794
29200,"Lafayette-West Lafayette, IN",0.4604
29340,"Lake Charles, LA",0.4654
29460,"Lakeland-Winter Haven, FL",0.4391
29540,"Lancaster, PA",0.4229
29620,"Lansing-East Lansing, MI",0.4531
29700,"Laredo, TX",0.4912
29740,"Las Cruces, NM",0.4924
29820,"Las Vegas-Henderson-Paradise, NV",0.4544
29940,"Lawrence, KS",0.4753
30020,"Lawton, OK",0.4473
30140,"Lebanon, PA",0.4041
30300,"Lewiston, ID-WA",0.4178
30340,"Lewiston-Auburn, ME",0.4245
30460,"Lexington-Fayette, KY",0.4806
30620,"Lima, OH",0.4468
30700,"Lincoln, NE",0.4452
30780,"Little Rock-North Little Rock-Conway, AR",0.4662
30860,"Logan, UT-ID",0.4261
30980,"Longview, TX",0.4557
31020,"Longview, WA",0.4364
31080,"Los Angeles-Long Beach-Anaheim, CA",0.497
31140,"Louisville/Jefferson County, KY-IN",0.4632
31180,"Lubbock, TX",0.4826
31340,"Lynchburg, VA",0.4464
31420,"Macon-Bibb County, GA",0.5134
31460,"Madera, CA",0.4503
31540,"Madison, WI",0.4422
31700,"Manchester-Nashua, NH",0.4252
31900,"Mansfield, OH",0.4307
32580,"McAllen-Edinburg-Mission, TX",0.4902
32780,"Medford, OR",0.4605
32820,"Memphis, TN-MS-AR",0.4909
32900,"Merced, CA",0.4653
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.5127
33140,"Michigan City-La Porte, IN",0.4376
33260,"Midland, TX",0.4749
33340,"Milwaukee-Waukesha-West Allis, WI",0.4761
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4465
33540,"Missoula, MT",0.4782
33660,"Mobile, AL",0.4729
33700,"Modesto, CA",0.4493
33740,"Monroe, LA",0.505
33780,"Monroe, MI",0.4174
33860,"Montgomery, AL",0.4711
34060,"Morgantown, WV",0.4972
34100,"Morristown, TN",0.4541
34580,"Mount Vernon-Anacortes, WA",0.4405
34620,"Muncie, IN",0.473
34740,"Muskegon, MI",0.4375
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.446
34900,"Napa, CA",0.4734
34940,"Naples-Immokalee-Marco Island, FL",0.5237
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.466
35300,"New Haven-Milford, CT",0.467
35380,"New Orleans-Metairie, LA",0.4999
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.5134
35660,"Niles-Benton Harbor, MI",0.4766
35840,"North Port-Sarasota-Bradenton, FL",0.4774
35980,"Norwich-New London, CT",0.4425
36100,"Ocala, FL",0.4467
36140,"Ocean City, NJ",0.4684
36220,"Odessa, TX",0.4521
36260,"Ogden-Clearfield, UT",0.3934
36420,"Oklahoma City, OK",0.4624
36500,"Olympia-Tumwater, WA",0.4118
36540,"Omaha-Council Bluffs, NE-IA",0.4418
36740,"Orlando-Kissimmee-Sanford, FL",0.4671
36780,"Oshkosh-Neenah, WI",0.4377
36980,"Owensboro, KY",0.4497
37100,"Oxnard-Thousand Oaks-Ventura, CA",0.4478
37340,"Palm Bay-Melbourne-Titusville, FL",0.4548
37460,"Panama City, FL",0.4506
37620,"Parkersburg-Vienna, WV",0.4616
37860,"Pensacola-Ferry Pass-Brent, FL",0.4362
37900,"Peoria, IL",0.4464
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.4849
38060,"Phoenix-Mesa-Scottsdale, AZ",0.4659
38220,"Pine Bluff, AR",0.4604
38300,"Pittsburgh, PA",0.4691
38340,"Pittsfield, MA",0.464
38540,"Pocatello, ID",0.4519
38860,"Portland-South Portland, ME",0.451
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.4508
38940,"Port St. Lucie, FL",0.4898
39140,"Prescott, AZ",0.4447
39300,"Providence-Warwick, RI-MA",0.4685
39340,"Provo-Orem, UT",0.4158
39380,"Pueblo, CO",0.4535
39460,"Punta Gorda, FL",0.4572
39540,"Racine, WI",0.4297
39580,"Raleigh, NC",0.4459
39660,"Rapid City, SD",0.4377
39740,"Reading, PA",0.4383
39820,"Redding, CA",0.4634
39900,"Reno, NV",0.462
40060,"Richmond, VA",0.4568
40140,"Riverside-San Bernardino-Ontario, CA",0.4478
40220,"Roanoke, VA",0.4523
40340,"Rochester, MN",0.4398
40380,"Rochester, NY",0.4562
40420,"Rockford, IL",0.4497
40580,"Rocky Mount, NC",0.4736
40660,"Rome, GA",0.4635
40900,"Sacramento--Roseville--Arden-Arcade, CA",0.464
40980,"Saginaw, MI",0.4655
41060,"St. Cloud, MN",0.4287
41100,"St. George, UT",0.4381
41140,"St. Joseph, MO-KS",0.4373
41180,"St. Louis, MO-IL",0.4662
