cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
16180,"Carson City, NV",3209700,Carson City,2010,55274,0,55274,0,10,-1e-4
16220,"Casper, WY",5613150,Casper city,2010,55316,0,55316,0,30,-1e-4
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,2010,126326,0,126326,0,80,-1e-4
16540,"Chambersburg-Waynesboro, PA",4212536,Chambersburg borough,2010,20268,0,20268,0,0,-1e-4
16580,"Champaign-Urbana, IL",1712385,Champaign city,2010,81055,0,81055,0,40,-1e-4
16620,"Charleston, WV",5414600,Charleston city,1960,85796,5,51400,0.40090447107091237,80,0.40090447107091237
16700,"Charleston-North Charleston, SC",4513330,Charleston city,2010,120083,0,120083,0,120,-1e-4
16740,"Charlotte-Concord-Gastonia, NC-SC",3712000,Charlotte city,2010,731424,0,731424,0,80,-1e-4
16820,"Charlottesville, VA",5114968,Charlottesville city,2010,43475,0,43475,0,0,-1e-4
16860,"Chattanooga, TN-GA",4714000,Chattanooga city,1980,169514,3,167674,0.010854560685253135,90,0.010854560685253135
16940,"Cheyenne, WY",5613900,Cheyenne city,2010,59466,0,59466,0,20,-1e-4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1714000,Chicago city,1950,3620962,6,2695598,0.2555575010176854,150,0.2555575010176854
17020,"Chico, CA",613014,Chico city,2010,86187,0,86187,0,10,-1e-4
17140,"Cincinnati, OH-KY-IN",3915000,Cincinnati city,1950,503998,6,296945,0.4108210746868043,160,0.4108210746868043
17300,"Clarksville, TN-KY",4715160,Clarksville city,2010,132929,0,132929,0,30,-1e-4
17420,"Cleveland, TN",4715400,Cleveland city,2010,41285,0,41285,0,0,-1e-4
17460,"Cleveland-Elyria, OH",3916000,Cleveland city,1950,914808,6,396815,0.5662313840718489,140,0.5662313840718489
17660,"Coeur d'Alene, ID",1616750,Coeur d'Alene city,2010,44137,0,44137,0,0,-1e-4
17780,"College Station-Bryan, TX",4815976,College Station city,2010,93857,0,93857,0,20,-1e-4
17820,"Colorado Springs, CO",816000,Colorado Springs city,2010,416427,0,416427,0,50,-1e-4
17860,"Columbia, MO",2915670,Columbia city,2010,108500,0,108500,0,40,-1e-4
17900,"Columbia, SC",4516000,Columbia city,2010,129272,0,129272,0,80,-1e-4
17980,"Columbus, GA-AL",1319000,Columbus city (balance),2010,189885,0,189885,0,70,-1e-4
18020,"Columbus, IN",1814734,Columbus city,2010,44061,0,44061,0,0,-1e-4
18140,"Columbus, OH",3918000,Columbus city,2010,787033,0,787033,0,130,-1e-4
18580,"Corpus Christi, TX",4817000,Corpus Christi city,2010,305215,0,305215,0,70,-1e-4
18700,"Corvallis, OR",4115800,Corvallis city,2010,54462,0,54462,0,0,-1e-4
18880,"Crestview-Fort Walton Beach-Destin, FL",1224475,Fort Walton Beach city,1990,21471,2,19507,0.09147221834101811,0,0.09147221834101811
19060,"Cumberland, MD-WV",2421325,Cumberland city,1940,39483,7,20859,0.4716966795836183,0,0.4716966795836183
19100,"Dallas-Fort Worth-Arlington, TX",4819000,Dallas city,2010,1197816,0,1197816,0,100,-1e-4
19140,"Dalton, GA",1321380,Dalton city,2010,33128,0,33128,0,0,-1e-4
19180,"Danville, IL",1718563,Danville city,1970,42570,4,33027,0.22417195207892882,0,0.22417195207892882
19300,"Daphne-Fairhope-Foley, AL",119648,Daphne city,2010,21570,0,21570,0,0,-1e-4
19340,"Davenport-Moline-Rock Island, IA-IL",1919000,Davenport city,1980,103264,3,99685,0.03465873876665634,90,0.03465873876665634
19380,"Dayton, OH",3921000,Dayton city,1960,262332,5,141759,0.4596198710031563,120,0.4596198710031563
19460,"Decatur, AL",120104,Decatur city,2010,55683,0,55683,0,10,-1e-4
19500,"Decatur, IL",1718823,Decatur city,1980,93939,3,76122,0.18966563408169132,80,0.18966563408169132
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1217200,Deltona city,2010,85182,0,85182,0,10,-1e-4
19740,"Denver-Aurora-Lakewood, CO",820000,Denver city,2010,600158,0,600158,0,120,-1e-4
19780,"Des Moines-West Des Moines, IA",1921000,Des Moines city,1960,208982,5,203433,0.026552526054875538,120,0.026552526054875538
19820,"Detroit-Warren-Dearborn, MI",2622000,Detroit city,1950,1849568,6,713777,0.6140844781051575,140,0.6140844781051575
20020,"Dothan, AL",121184,Dothan city,2010,65496,0,65496,0,20,-1e-4
20100,"Dover, DE",1021200,Dover city,2010,36047,0,36047,0,0,-1e-4
20220,"Dubuque, IA",1922395,Dubuque city,1980,62374,3,57637,0.07594510533235002,50,0.07594510533235002
20260,"Duluth, MN-WI",2717000,Duluth city,1960,106884,5,86265,0.1929100707308858,110,0.1929100707308858
