cbsa_fips,cbsa,total_vacant_2000,total_units_2000,vacancy
32820,"Memphis, TN-MS-AR",32829,484301,0.06778635600587238
32900,"Merced, CA",4558,68373,0.0666637415354014
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",244355,2149749,0.11366675830527191
33140,"Michigan City-La Porte, IN",4571,45621,0.10019508559654546
33220,"Midland, MI",2027,33796,0.05997751213161321
33260,"Midland, TX",5589,49958,0.11187397413827616
33340,"Milwaukee-Waukesha-West Allis, WI",30587,618244,0.04947399408647719
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",36469,1197124,0.03046384501521981
33540,"Missoula, MT",2880,41319,0.06970159006752341
33660,"Mobile, AL",14922,165101,0.09038103948492135
33700,"Modesto, CA",5661,150807,0.03753804531619885
33740,"Monroe, LA",6954,71027,0.09790642994917426
33780,"Monroe, MI",2699,56471,0.047794443165518584
33860,"Montgomery, AL",14916,144633,0.10312999108087366
34060,"Morgantown, WV",5149,50139,0.10269450926424539
34100,"Morristown, TN",3646,44012,0.08284104335181314
34580,"Mount Vernon-Anacortes, WA",3829,42681,0.08971204985825075
34620,"Muncie, IN",3901,51032,0.0764422323248158
34740,"Muskegon, MI",5226,68556,0.07622965167162611
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",61278,173516,0.3531547522994998
34900,"Napa, CA",3152,48554,0.06491741154178853
34940,"Naples-Immokalee-Marco Island, FL",41563,144536,0.2875615763546798
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",35279,571945,0.06168250443661541
35100,"New Bern, NC",5789,49610,0.11669018343075993
35300,"New Haven-Milford, CT",21692,340732,0.06366293744056913
35380,"New Orleans-Metairie, LA",50655,556234,0.0910677880172733
35620,"New York-Newark-Jersey City, NY-NJ-PA",428721,7320008,0.05856837861379387
35660,"Niles-Benton Harbor, MI",9876,73445,0.13446796922867452
35840,"North Port-Sarasota-Bradenton, FL",58198,320595,0.18153121539637238
35980,"Norwich-New London, CT",10839,110674,0.09793628133075519
36100,"Ocala, FL",15908,122663,0.1296886591718774
36140,"Ocean City, NJ",48899,91047,0.5370742583500829
36220,"Odessa, TX",5654,49500,0.11422222222222222
36260,"Ogden-Clearfield, UT",8846,160935,0.05496629073849691
36420,"Oklahoma City, OK",42341,472084,0.08968954677557384
36500,"Olympia-Tumwater, WA",5027,86652,0.05801366385080552
36540,"Omaha-Council Bluffs, NE-IA",17038,311540,0.05468960647107916
36740,"Orlando-Kissimmee-Sanford, FL",58303,683551,0.08529429406145261
36780,"Oshkosh-Neenah, WI",3564,64721,0.05506713431498277
36980,"Owensboro, KY",3192,46424,0.06875753920386007
37100,"Oxnard-Thousand Oaks-Ventura, CA",8478,251712,0.033681350114416475
37340,"Palm Bay-Melbourne-Titusville, FL",23877,222072,0.10751918296768616
37460,"Panama City, FL",21494,86022,0.2498663132686987
37620,"Parkersburg-Vienna, WV",4492,43051,0.10434136256997514
37860,"Pensacola-Ferry Pass-Brent, FL",18924,173766,0.10890507924450123
37900,"Peoria, IL",9696,153303,0.06324729457349171
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",147421,2281825,0.06460661970133555
38060,"Phoenix-Mesa-Scottsdale, AZ",137135,1331385,0.1030017613237343
38220,"Pine Bluff, AR",5046,43139,0.11697072254804237
38300,"Pittsburgh, PA",82976,1078481,0.07693784127861317
38340,"Pittsfield, MA",10295,66301,0.1552766926592359
38540,"Pocatello, ID",1910,29102,0.06563122809428905
38860,"Portland-South Portland, ME",36654,233323,0.15709552851626285
38900,"Portland-Vancouver-Hillsboro, OR-WA",45345,790876,0.05733515747095626
38940,"Port St. Lucie, FL",24512,156733,0.15639335685528893
39140,"Prescott, AZ",11559,81730,0.1414290958032546
39300,"Providence-Warwick, RI-MA",42920,656755,0.06535161513806519
39340,"Provo-Orem, UT",4732,107125,0.04417269544924154
39380,"Pueblo, CO",4347,58926,0.07377049180327869
39460,"Punta Gorda, FL",15894,79758,0.19927781539155948
39540,"Racine, WI",3899,74718,0.05218287427393667
39580,"Raleigh, NC",23035,329513,0.06990619489974599
39660,"Rapid City, SD",4606,51022,0.09027478342675709
39740,"Reading, PA",8652,150222,0.05759475975556177
39820,"Redding, CA",5384,68810,0.07824444121493969
39900,"Reno, NV",11958,145504,0.08218330767539037
40060,"Richmond, VA",24780,433734,0.057131790452212644
40140,"Riverside-San Bernardino-Ontario, CA",151231,1186043,0.12750886772233386
40220,"Roanoke, VA",10257,129623,0.07912947547888878
40340,"Rochester, MN",3306,74038,0.04465274588724709
40380,"Rochester, NY",32904,439236,0.0749118924678305
40420,"Rockford, IL",7241,129818,0.055778089325055076
40580,"Rocky Mount, NC",7017,61053,0.11493292712888802
40660,"Rome, GA",2587,36615,0.07065410350949064
40900,"Sacramento--Roseville--Arden-Arcade, CA",49683,714981,0.06948855983585578
40980,"Saginaw, MI",5075,85505,0.05935325419566107
41060,"St. Cloud, MN",3082,63751,0.04834433969663221
41100,"St. George, UT",6539,36478,0.17925873129009265
41140,"St. Joseph, MO-KS",4033,50564,0.07976030377343564
41180,"St. Louis, MO-IL",83510,1123383,0.07433795953828748
41420,"Salem, OR",7936,132635,0.0598333773136804
41500,"Salinas, CA",10472,131708,0.0795092173596137
41540,"Salisbury, MD-DE",62073,184923,0.3356694407942765
41620,"Salt Lake City, UT",16982,324800,0.05228448275862069
41660,"San Angelo, TX",4633,44830,0.10334597367834039
41700,"San Antonio-New Braunfels, TX",47328,648593,0.07297026024024311
41740,"San Diego-Carlsbad, CA",45472,1040149,0.043716813648813774
41860,"San Francisco-Oakland-Hayward, CA",54905,1606853,0.034169273729457515
41940,"San Jose-Sunnyvale-Santa Clara, CA",14080,595828,0.02363098075283471
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",9536,102275,0.09323881691517966
42100,"Santa Cruz-Watsonville, CA",7734,98873,0.07822155694679032
42140,"Santa Fe, NM",5219,57701,0.09044903901145561
42200,"Santa Maria-Santa Barbara, CA",6279,142901,0.043939510570254935
42220,"Santa Rosa, CA",10750,183153,0.05869409728478376
42340,"Savannah, GA",11422,122527,0.09322026981808092
42540,"Scranton--Wilkes-Barre--Hazleton, PA",25094,252761,0.09927955657716182
42660,"Seattle-Tacoma-Bellevue, WA",58934,1255502,0.04694058631527469
42680,"Sebastian-Vero Beach, FL",8765,57902,0.15137646368001106
42700,"Sebring, FL",11375,48846,0.23287474921180853
43100,"Sheboygan, WI",2402,45947,0.05227762421920909
43300,"Sherman-Denison, TX",5466,48315,0.11313256752561317
43340,"Shreveport-Bossier City, LA",17983,178777,0.10058900194096557
43420,"Sierra Vista-Douglas, AZ",7233,51126,0.14147400539842742
43580,"Sioux City, IA-NE-SD",3862,66820,0.05779706674648309
43620,"Sioux Falls, SD",3111,75603,0.04114916074758938
43780,"South Bend-Mishawaka, IN-MI",10478,130897,0.08004767106961963
43900,"Spartanburg, SC",10515,120337,0.08737960893158381
44060,"Spokane-Spokane Valley, WA",15945,199212,0.0800403590145172
44100,"Springfield, IL",7149,90744,0.07878206823591642
44140,"Springfield, MA",13241,244520,0.05415098969409455
44180,"Springfield, MO",11189,156493,0.07149840567948726
44220,"Springfield, OH",4408,61056,0.07219601677148847
44300,"State College, PA",3838,53161,0.07219578262259928
44420,"Staunton-Waynesboro, VA",3202,46028,0.06956635091683323
44700,"Stockton-Lodi, CA",7531,189160,0.03981285684076972
44940,"Sumter, SC",4023,41751,0.09635697348566502
45060,"Syracuse, NY",26067,278110,0.0937290999964043
45220,"Tallahassee, FL",11215,136748,0.08201216836809314
45300,"Tampa-St. Petersburg-Clearwater, FL",134663,1143979,0.11771457343185496
45460,"Terre Haute, IN",6714,72509,0.09259540195010274
45500,"Texarkana, TX-AR",6465,60625,0.10663917525773196
45540,"The Villages, FL",4416,25195,0.17527287160150823
45780,"Toledo, OH",16460,259959,0.06331767701829905
45820,"Topeka, KS",6804,96404,0.07057798431600348
45940,"Trenton, NJ",7473,133280,0.056069927971188475
46060,"Tucson, AZ",34387,366737,0.09376474149049592
46140,"Tulsa, OK",28980,366195,0.07913816409290132
46220,"Tuscaloosa, AL",9687,88705,0.10920466715517728
46340,"Tyler, TX",6009,71701,0.083806362533298
46520,"Urban Honolulu, HI",29538,315988,0.09347823335063357
46540,"Utica-Rome, NY",18599,134829,0.1379451008314235
46660,"Valdosta, GA",5496,48162,0.11411486233960384
46700,"Vallejo-Fairfield, CA",4110,134513,0.03055466757859835
47020,"Victoria, TX",3656,36371,0.10051964477193369
47220,"Vineland-Bridgeton, NJ",3720,52863,0.07037058055728959
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",42164,623724,0.06760041300318731
47300,"Visalia-Porterville, CA",9254,119639,0.0773493593226289
47380,"Waco, TX",7098,92453,0.07677414470055055
47460,"Walla Walla, WA",1831,23165,0.0790416576732139
47580,"Warner Robins, GA",4792,57546,0.08327251242484274
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",91019,1906211,0.047748649021540635
47940,"Waterloo-Cedar Falls, IA",2873,66400,0.04326807228915663
48060,"Watertown-Fort Drum, NY",14002,54070,0.2589606066210468
48140,"Wausau, WI",2658,50360,0.05277998411437649
48260,"Weirton-Steubenville, WV-OH",4678,59169,0.07906167080734844
48300,"Wenatchee, WA",6604,43351,0.1523378930128486
48540,"Wheeling, WV-OH",6967,69216,0.10065591770688859
48620,"Wichita, KS",18605,242416,0.07674823443997096
48660,"Wichita Falls, TX",6058,62167,0.09744719867453794
48700,"Williamsport, PA",5461,52464,0.10409042390972857
48900,"Wilmington, NC",16177,100414,0.16110303344155197
49020,"Winchester, VA-WV",5038,45091,0.11172961344835998
49180,"Winston-Salem, NC",17720,245561,0.07216129597126579
49340,"Worcester, MA-CT",17049,342118,0.04983368311518248
49420,"Yakima, WA",5181,79174,0.06543814888726097
49620,"York-Hanover, PA",8501,156720,0.05424323634507402
49660,"Youngstown-Warren-Boardman, OH-PA",18419,256738,0.07174239886576977
49700,"Yuba City, CA",3387,50955,0.06647041507212247
49740,"Yuma, AZ",20292,74140,0.27369840841650933
