cbsa_fips,name,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult
14540,"Bowling Green, KY",8.065,31.025,19.35
14740,"Bremerton-Silverdale, WA",6.13,27.6,12.9
14860,"Bridgeport-Stamford-Norwalk, CT",7.28,17.9,13.4
15180,"Brownsville-Harlingen, TX",7.15,25.4,33.6
15260,"Brunswick, GA",9.036666666666667,28.833333333333332,19.766666666666666
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",8.11,26.75,11.8
15500,"Burlington, NC",8.94,28.8,18.5
15540,"Burlington-South Burlington, VT",7.06,23.433333333333334,13.700000000000001
15940,"Canton-Massillon, OH",8.370000000000001,30.200000000000003,12.3
15980,"Cape Coral-Fort Myers, FL",8.16,24.9,27.9
16180,"Carson City, NV",7.63,23.7,20.1
16220,"Casper, WY",7.2,25,12.1
16300,"Cedar Rapids, IA",6.216666666666667,27.833333333333332,10.433333333333334
16580,"Champaign-Urbana, IL",7.3566666666666665,27.033333333333335,16.733333333333334
16620,"Charleston, WV",8.786666666666667,32.833333333333336,17.03333333333333
16700,"Charleston-North Charleston, SC",9.556666666666667,30.033333333333335,18.033333333333335
16740,"Charlotte-Concord-Gastonia, NC-SC",8.983,28.6,17.06
16820,"Charlottesville, VA",8.076666666666666,26.9,18.78333333333333
16860,"Chattanooga, TN-GA",10.163333333333334,29.266666666666666,14.816666666666666
16940,"Cheyenne, WY",9.4,24.2,14.3
16980,"Chicago-Naperville-Elgin, IL-IN-WI",7.2664285714285715,26.928571428571427,14.871428571428572
17020,"Chico, CA",5.7,25.1,16.3
17140,"Cincinnati, OH-KY-IN",7.787333333333334,29.3,14.533333333333333
17300,"Clarksville, TN-KY",9.323333333333332,29.6,16.53333333333333
17420,"Cleveland, TN",9.24,29.450000000000003,15.95
17460,"Cleveland-Elyria, OH",7.55,28.16,12.86
17660,"Coeur d'Alene, ID",5.8,24,14.6
17780,"College Station-Bryan, TX",7.933333333333333,27.5,29.866666666666667
17820,"Colorado Springs, CO",10.085,18.85,17.05
17860,"Columbia, MO",8.3,28.7,16.2
17900,"Columbia, SC",10.173333333333334,30.416666666666664,19.133333333333333
17980,"Columbus, GA-AL",9.43,31.06,20.22
18020,"Columbus, IN",7.05,29.1,14.4
18140,"Columbus, OH",7.811,29.59,11.6
18580,"Corpus Christi, TX",8.943333333333333,26.76666666666667,25.033333333333335
18700,"Corvallis, OR",4.87,22,23.9
18880,"Crestview-Fort Walton Beach-Destin, FL",8.08,24.85,23.25
19060,"Cumberland, MD-WV",8.99,30.35,15.649999999999999
19100,"Dallas-Fort Worth-Arlington, TX",7.135384615384615,27.43846153846154,23.492307692307694
19140,"Dalton, GA",7.1899999999999995,30.35,20.6
19180,"Danville, IL",9.01,28.1,10.3
19340,"Davenport-Moline-Rock Island, IA-IL",6.83,26.525,13.25
19380,"Dayton, OH",7.676666666666667,29.166666666666668,11.6
19460,"Decatur, AL",8.99,33.55,17.15
19500,"Decatur, IL",9.43,28.7,10.9
19660,"Deltona-Daytona Beach-Ormond Beach, FL",7.8100000000000005,23.6,22.7
19740,"Denver-Aurora-Lakewood, CO",9.666,18.33,16.44
19780,"Des Moines-West Des Moines, IA",6.6659999999999995,28.04,11.16
19820,"Detroit-Warren-Dearborn, MI",7.505,29.033333333333335,11.05
20020,"Dothan, AL",9.006666666666666,32.86666666666667,17.333333333333332
20100,"Dover, DE",9.24,31.2,13.5
20220,"Dubuque, IA",5.77,27.3,8.9
20260,"Duluth, MN-WI",5.78,26.5,10.033333333333333
20500,"Durham-Chapel Hill, NC",8.7825,26.625,19.95
20740,"Eau Claire, WI",6.035,27,10.55
20940,"El Centro, CA",5.63,25.4,21.7
21060,"Elizabethtown-Fort Knox, KY",7.42,30.833333333333332,18.3
21140,"Elkhart-Goshen, IN",6.79,28.6,17.4
21300,"Elmira, NY",8.33,27,11.2
21340,"El Paso, TX",8.530000000000001,25.05,36.85
21500,"Erie, PA",7.9,29.8,10.2
21660,"Eugene, OR",6.03,26.1,20.8
21780,"Evansville, IN-KY",8.4125,29.025,12.75
21820,"Fairbanks, AK",5.58,26.1,18
22020,"Fargo, ND-MN",6.9399999999999995,26.25,9.8
22140,"Farmington, NM",7.02,26.4,25.5
22180,"Fayetteville, NC",9.265,31.900000000000002,16.25
22220,"Fayetteville-Springdale-Rogers, AR-MO",7.1475,27.275,24.1
22380,"Flagstaff, AZ",8.01,21.5,18.3
22420,"Flint, MI",9.73,33.6,12.2
22500,"Florence, SC",12.24,31.1,15.05
22520,"Florence-Muscle Shoals, AL",10.715,32.900000000000006,16.2
22540,"Fond du Lac, WI",6.24,28.4,9.5
22660,"Fort Collins, CO",7.74,16.5,18.5
22900,"Fort Smith, AR-OK",7.3999999999999995,29.3,20.5
23060,"Fort Wayne, IN",7.85,29.266666666666666,13.1
23420,"Fresno, CA",6.86,26.4,17.5
23460,"Gadsden, AL",8.98,32.5,15.6
23540,"Gainesville, FL",8.690000000000001,27.450000000000003,25.95
23580,"Gainesville, GA",6.31,24.4,26.4
24020,"Glens Falls, NY",6.805,25.549999999999997,15.3
24140,"Goldsboro, NC",9.27,30.8,15
24220,"Grand Forks, ND-MN",6.225,28.3,11.15
24300,"Grand Junction, CO",7.48,19.9,16.7
24340,"Grand Rapids-Wyoming, MI",6.9975000000000005,28.875,11.55
24500,"Great Falls, MT",7.18,24.4,16.8
24540,"Greeley, CO",7.64,23,21.6
24580,"Green Bay, WI",5.786666666666666,28.233333333333334,11.3
