cbsa_fips,cbsa,total_units_2005,hud_units_2005,pct_ph
18700,"Corvallis, OR",31980,231,0.007223264540337711
18880,"Crestview-Fort Walton Beach-Destin, FL",107676,898,0.00833983431776812
19060,"Cumberland, MD-WV",45078,1413,0.03134566750964994
19100,"Dallas-Fort Worth-Arlington, TX",2017405,18556,0.009197954798367209
19140,"Dalton, GA",45042,834,0.01851605168509391
19180,"Danville, IL",36349,1752,0.048199400258604086
19300,"Daphne-Fairhope-Foley, AL",74285,537,0.007228915662650603
19340,"Davenport-Moline-Rock Island, IA-IL",158517,5159,0.032545405224676215
19380,"Dayton, OH",347221,8932,0.025724250549361935
19460,"Decatur, AL",62397,1509,0.02418385499302851
19500,"Decatur, IL",50241,1934,0.03849445671861627
19660,"Deltona-Daytona Beach-Ormond Beach, FL",236390,2825,0.011950590126485892
19740,"Denver-Aurora-Lakewood, CO",882552,13339,0.015114123587052095
19780,"Des Moines-West Des Moines, IA",199393,2632,0.013200062188742834
19820,"Detroit-Warren-Dearborn, MI",1797185,49048,0.027291569871771688
20020,"Dothan, AL",59723,1844,0.03087587696532324
20100,"Dover, DE",50481,1434,0.02840672728353242
20220,"Dubuque, IA",35505,484,0.013631882833403747
20260,"Duluth, MN-WI",129877,6117,0.047098408494190655
20500,"Durham-Chapel Hill, NC",181603,3969,0.021855365825454425
20700,"East Stroudsburg, PA",67581,498,0.007368935055710925
20740,"Eau Claire, WI",60295,1166,0.01933825358653288
20940,"El Centro, CA",43891,1219,0.027773347611127566
21060,"Elizabethtown-Fort Knox, KY",53826,701,0.013023445918329431
21140,"Elkhart-Goshen, IN",69791,1661,0.023799630324826983
21300,"Elmira, NY",37745,939,0.024877467214200557
21340,"El Paso, TX",225918,8383,0.037106383732150604
21500,"Erie, PA",114322,3743,0.03274085477860779
21660,"Eugene, OR",138946,1903,0.013695968217868813
21780,"Evansville, IN-KY",127388,3383,0.02655666153797846
21820,"Fairbanks, AK",33291,598,0.01796281277222072
22020,"Fargo, ND-MN",73536,1740,0.023661879895561358
22140,"Farmington, NM",43221,592,0.013697045417736748
22180,"Fayetteville, NC",130943,2132,0.016281893648381358
22220,"Fayetteville-Springdale-Rogers, AR-MO",144435,1973,0.013660123931180115
22380,"Flagstaff, AZ",53443,410,0.0076717250154370075
22420,"Flint, MI",183630,4080,0.0222185917333769
22500,"Florence, SC",80778,2150,0.02661615786476516
22520,"Florence-Muscle Shoals, AL",65404,2079,0.03178704666381261
22540,"Fond du Lac, WI",39271,919,0.023401492195258587
22660,"Fort Collins, CO",105392,866,0.008216942462425991
22900,"Fort Smith, AR-OK",107708,1724,0.01600623909087533
23060,"Fort Wayne, IN",162420,3260,0.02007141977588967
23420,"Fresno, CA",270767,5125,0.018927712756724415
23460,"Gadsden, AL",45959,1859,0.04044909593333188
23540,"Gainesville, FL",101019,2710,0.02682663657331789
23580,"Gainesville, GA",51046,880,0.017239352740665282
23900,"Gettysburg, PA",35831,161,0.004493315843822388
24020,"Glens Falls, NY",61646,310,0.005028712325211693
24140,"Goldsboro, NC",47313,2059,0.043518694650518885
24220,"Grand Forks, ND-MN",41381,782,0.018897561682897947
24260,"Grand Island, NE",31855,966,0.03032490974729242
24300,"Grand Junction, CO",48427,1119,0.023106944473124495
24340,"Grand Rapids-Wyoming, MI",360632,6008,0.016659641961889127
24420,"Grants Pass, OR",33239,193,0.005806432203134872
24500,"Great Falls, MT",35225,1246,0.03537260468417317
24540,"Greeley, CO",66194,1262,0.01906517206997613
24580,"Green Bay, WI",118232,1601,0.013541173286419921
24660,"Greensboro-High Point, NC",275021,6371,0.023165503725170077
24780,"Greenville, NC",58408,1838,0.031468292014792495
24860,"Greenville-Anderson-Mauldin, SC",312255,6077,0.019461657939824822
25060,"Gulfport-Biloxi-Pascagoula, MS",152386,3536,0.023204231359836205
25180,"Hagerstown-Martinsburg, MD-WV",85885,2588,0.030133317808697678
25220,"Hammond, LA",40794,367,0.008996421042310144
25260,"Hanford-Corcoran, CA",36563,577,0.01578098077291251
25420,"Harrisburg-Carlisle, PA",217025,5249,0.02418615366893215
25500,"Harrisonburg, VA",41017,441,0.010751639564083185
25540,"Hartford-West Hartford-East Hartford, CT",471877,14228,0.03015192518389326
25620,"Hattiesburg, MS",50453,1024,0.02029611717836402
25860,"Hickory-Lenoir-Morganton, NC",144874,1804,0.012452199842621865
25940,"Hilton Head Island-Bluffton-Beaufort, SC",68437,875,0.012785481537764659
25980,"Hinesville, GA",26209,705,0.02689915677820596
26140,"Homosassa Springs, FL",62204,95,0.0015272329753713587
26300,"Hot Springs, AR",44953,955,0.021244410829088158
26380,"Houma-Thibodaux, LA",74973,1135,0.015138783295319648
26420,"Houston-The Woodlands-Sugar Land, TX",1788107,18691,0.010452953878039737
26580,"Huntington-Ashland, WV-KY-OH",161331,3903,0.024192498651840005
26620,"Huntsville, AL",147185,3480,0.02364371369365085
26820,"Idaho Falls, ID",38061,339,0.008906754946007725
26900,"Indianapolis-Carmel-Anderson, IN",701812,13885,0.019784500692493146
26980,"Iowa City, IA",54374,511,0.009397873983889358
27060,"Ithaca, NY",38625,1001,0.025915857605177995
27100,"Jackson, MI",62906,1679,0.02669061774711474
27140,"Jackson, MS",206561,5814,0.028146649173851793
27180,"Jackson, TN",50521,1535,0.030383404920726036
27260,"Jacksonville, FL",475043,10172,0.021412798420353527
27340,"Jacksonville, NC",55726,514,0.009223701683235833
27500,"Janesville-Beloit, WI",62187,1138,0.018299644620258255
27620,"Jefferson City, MO",56728,1104,0.019461288957833875
27740,"Johnson City, TN",81913,2509,0.030630058720837964
27780,"Johnstown, PA",65796,2403,0.03652197701987963
27860,"Jonesboro, AR",46184,1852,0.04010046769443963
27900,"Joplin, MO",67468,1169,0.017326732673267328
27980,"Kahului-Wailuku-Lahaina, HI",56549,953,0.016852641072344337
28020,"Kalamazoo-Portage, MI",133225,3397,0.025498217301557515
28100,"Kankakee, IL",40610,1186,0.029204629401625215
28140,"Kansas City, MO-KS",757344,19098,0.02521707440740271
28420,"Kennewick-Richland, WA",72047,1260,0.017488583841103723
28660,"Killeen-Temple, TX",122159,1688,0.013818056794832964
28700,"Kingsport-Bristol-Bristol, TN-VA",136277,3455,0.025352774129163397
28740,"Kingston, NY",77656,933,0.012014525600082414
28940,"Knoxville, TN",335484,11614,0.03461864053129211
29020,"Kokomo, IN",37604,1026,0.027284331454100627
29100,"La Crosse-Onalaska, WI-MN",51647,1467,0.028404360369430944
29180,"Lafayette, LA",171881,4947,0.028781540717124056
29200,"Lafayette-West Lafayette, IN",70836,1608,0.022700321870235473
29340,"Lake Charles, LA",81331,2177,0.026767161352989635
29420,"Lake Havasu City-Kingman, AZ",80062,161,0.0020109415203217506
29460,"Lakeland-Winter Haven, FL",226376,2276,0.010054069335972011
