cbsa_fips,cbsa,city_fips,city,pct_prewar_city,pct_prewar_msa
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,0.5346895032448846,0.3582412500677957
14500,"Boulder, CO",0807850,Boulder city,0.08282471750373802,0.06859883236030025
14540,"Bowling Green, KY",2108902,Bowling Green city,0.09314396262917,0.09606350512635874
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,0.21381756959894174,0.09400500841932559
14860,"Bridgeport-Stamford-Norwalk, CT",0908000,Bridgeport city,0.30636231537513564,0.2114615307571303
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,0.037320916905444125,0.04334163504772093
15260,"Brunswick, GA",1311560,Brunswick city,0.1874819311939867,0.055081250975234614
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,0.5768200365449875,0.314734852409091
15500,"Burlington, NC",3709060,Burlington city,0.1168578451454322,0.09795719668968501
15540,"Burlington-South Burlington, VT",5010675,Burlington city,0.3876791704788045,0.23626054788558717
15680,"California-Lexington Park, MD",2446725,Lexington Park CDP,0.004675876726886291,0.05120154925031543
15940,"Canton-Massillon, OH",3912000,Canton city,0.4288694083490712,0.24136673723829688
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,0.002319271836163137,0.010814775575069782
16020,"Cape Girardeau, MO-IL",2911242,Cape Girardeau city,0.14508787457327096,0.1391255973904468
16060,"Carbondale-Marion, IL",1711163,Carbondale city,0.06888727536758033,0.17782829486497884
16180,"Carson City, NV",3209700,Carson City,0.019217215618098953,0.019217215618098953
16220,"Casper, WY",5613150,Casper city,0.1254891254891255,0.11123753430158624
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,0.2207057831279112,0.24261513921699276
16540,"Chambersburg-Waynesboro, PA",4212536,Chambersburg borough,0.418783865141481,0.25006040555359366
16580,"Champaign-Urbana, IL",1712385,Champaign city,0.13525607411291732,0.1706414940207402
16620,"Charleston, WV",5414600,Charleston city,0.25125535371437013,0.1492572527881378
16700,"Charleston-North Charleston, SC",4513330,Charleston city,0.17864667104637202,0.05903813550228555
16740,"Charlotte-Concord-Gastonia, NC-SC",3712000,Charlotte city,0.03977775464529225,0.06413245905904745
16820,"Charlottesville, VA",5114968,Charlottesville city,0.18390085839349668,0.11712970471188512
16860,"Chattanooga, TN-GA",4714000,Chattanooga city,0.13355152759094124,0.08766308079652094
16940,"Cheyenne, WY",5613900,Cheyenne city,0.15156735860156315,0.133633414199281
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1714000,Chicago city,0.3800034869469351,0.20889365914186858
17020,"Chico, CA",0613014,Chico city,0.09703515111695138,0.0804345029991932
17140,"Cincinnati, OH-KY-IN",3915000,Cincinnati city,0.4001747566964958,0.19807431109736232
17300,"Clarksville, TN-KY",4715160,Clarksville city,0.031292143249587935,0.05302915848315456
17420,"Cleveland, TN",4715400,Cleveland city,0.06813761244833455,0.06304736472877866
17460,"Cleveland-Elyria, OH",3916000,Cleveland city,0.49272622820184947,0.242602232278056
17660,"Coeur d'Alene, ID",1616750,Coeur d'Alene city,0.13570219966159053,0.07363700731649753
17780,"College Station-Bryan, TX",4815976,College Station city,0.010458320516764073,0.04362532292859616
17820,"Colorado Springs, CO",0816000,Colorado Springs city,0.0770440040309036,0.07396494196155834
17860,"Columbia, MO",2915670,Columbia city,0.06670744932291522,0.06785701683192773
17900,"Columbia, SC",4516000,Columbia city,0.12327904451682953,0.05255456017589993
17980,"Columbus, GA-AL",1319007,Columbus city (balance),0.07204561616055202,0.07125022678773532
18020,"Columbus, IN",1814734,Columbus city,0.15461753731343283,0.1511070914145982
