cbsa_fips,name,intermodal_freight,n_rail_truck,n_truck_port_rail,n_port_truck,n_truck_port_rail_air,n_rail_port,n_truck_port_air,n_air_truck,n_truck_truck,n_truck_air_rail
21820,"Fairbanks, AK",1,0,0,0,0,0,0,1,0,0
22020,"Fargo, ND-MN",10,7,1,0,0,0,0,1,1,0
22140,"Farmington, NM",1,0,1,0,0,0,0,0,0,0
22180,"Fayetteville, NC",2,1,0,0,0,0,0,0,1,0
22220,"Fayetteville-Springdale-Rogers, AR-MO",6,3,1,0,0,0,0,1,1,0
22380,"Flagstaff, AZ",2,1,0,0,0,0,0,1,0,0
22420,"Flint, MI",4,3,0,0,0,0,0,1,0,0
22500,"Florence, SC",3,1,1,0,0,0,0,0,1,0
22520,"Florence-Muscle Shoals, AL",1,0,1,0,0,0,0,0,0,0
22540,"Fond du Lac, WI",2,1,1,0,0,0,0,0,0,0
22660,"Fort Collins, CO",1,1,0,0,0,0,0,0,0,0
22900,"Fort Smith, AR-OK",5,4,1,0,0,0,0,0,0,0
23060,"Fort Wayne, IN",8,5,0,0,0,0,0,2,1,0
23420,"Fresno, CA",12,10,0,0,0,0,0,1,1,0
23460,"Gadsden, AL",1,1,0,0,0,0,0,0,0,0
23540,"Gainesville, FL",1,0,0,0,0,0,0,0,1,0
23580,"Gainesville, GA",0,0,0,0,0,0,0,0,0,0
24020,"Glens Falls, NY",0,0,0,0,0,0,0,0,0,0
24140,"Goldsboro, NC",0,0,0,0,0,0,0,0,0,0
24220,"Grand Forks, ND-MN",4,4,0,0,0,0,0,0,0,0
24300,"Grand Junction, CO",2,1,0,0,0,0,0,1,0,0
24340,"Grand Rapids-Wyoming, MI",18,13,0,4,0,0,0,1,0,0
24500,"Great Falls, MT",4,3,0,0,0,0,0,1,0,0
24540,"Greeley, CO",2,1,0,0,0,0,0,0,1,0
24580,"Green Bay, WI",9,7,1,0,0,0,0,0,1,0
24660,"Greensboro-High Point, NC",9,5,0,0,0,0,0,2,2,0
24780,"Greenville, NC",0,0,0,0,0,0,0,0,0,0
24860,"Greenville-Anderson-Mauldin, SC",9,9,0,0,0,0,0,0,0,0
25060,"Gulfport-Biloxi-Pascagoula, MS",5,1,2,0,0,0,0,1,1,0
