cbsa_fips,name,bldgs,strct,sites,objct,dists,hist_reg
16940,"Cheyenne, WY",2,0,0,0,0,2
16980,"Chicago-Naperville-Elgin, IL-IN-WI",29,14,9,2,10,64
17020,"Chico, CA",0,1,0,0,0,1
17140,"Cincinnati, OH-KY-IN",41,24,4,4,20,93
17300,"Clarksville, TN-KY",3,0,3,3,2,11
17420,"Cleveland, TN",1,1,0,1,2,5
17460,"Cleveland-Elyria, OH",11,19,2,1,12,45
17660,"Coeur d'Alene, ID",1,2,1,0,1,5
17780,"College Station-Bryan, TX",0,0,0,0,1,1
17820,"Colorado Springs, CO",3,6,0,0,4,13
17860,"Columbia, MO",2,0,0,0,2,4
17900,"Columbia, SC",17,3,3,0,6,29
17980,"Columbus, GA-AL",7,2,0,0,2,11
18020,"Columbus, IN",2,2,0,0,0,4
18140,"Columbus, OH",18,19,3,0,6,46
18580,"Corpus Christi, TX",1,0,0,0,0,1
18700,"Corvallis, OR",0,2,0,0,0,2
18880,"Crestview-Fort Walton Beach-Destin, FL",0,0,0,0,1,1
19060,"Cumberland, MD-WV",3,2,0,0,0,5
19100,"Dallas-Fort Worth-Arlington, TX",5,7,1,0,3,16
19140,"Dalton, GA",2,2,0,0,0,4
19180,"Danville, IL",0,1,0,0,0,1
19340,"Davenport-Moline-Rock Island, IA-IL",4,6,0,0,3,13
19380,"Dayton, OH",9,6,5,0,2,22
19460,"Decatur, AL",6,0,0,0,1,7
19500,"Decatur, IL",0,0,0,0,0,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0,2,3,0,9,14
19740,"Denver-Aurora-Lakewood, CO",14,20,5,0,11,50
19780,"Des Moines-West Des Moines, IA",6,16,1,0,4,27
19820,"Detroit-Warren-Dearborn, MI",12,30,0,2,24,68
20020,"Dothan, AL",0,0,0,0,0,0
20100,"Dover, DE",20,2,0,0,2,24
20220,"Dubuque, IA",1,4,1,1,0,7
20260,"Duluth, MN-WI",5,12,3,0,5,25
20500,"Durham-Chapel Hill, NC",31,1,0,0,7,39
20740,"Eau Claire, WI",0,5,0,0,0,5
20940,"El Centro, CA",0,0,1,0,0,1
21060,"Elizabethtown-Fort Knox, KY",4,0,0,1,5,10
21140,"Elkhart-Goshen, IN",1,1,0,0,2,4
21300,"Elmira, NY",2,0,1,0,2,5
21340,"El Paso, TX",2,0,0,0,1,3
21500,"Erie, PA",1,4,0,0,1,6
