cbsa_fips,cbsa,total_young,total_old,total,pct_u18,pct_o64
12580,"Baltimore-Columbia-Towson, MD",646004,307198,2552994,0.25303780580761254,0.1203285240780041
12620,"Bangor, ME",33100,18920,144919,0.22840345296337955,0.1305556897301251
12700,"Barnstable Town, MA",45440,51265,222230,0.20447284345047922,0.23068442604508843
12940,"Baton Rouge, LA",190797,68142,705973,0.27026104397760253,0.09652210495302228
12980,"Battle Creek, MI",35854,18857,137985,0.25983983766351415,0.13665978186034713
13020,"Bay City, MI",26946,16170,110157,0.24461450475230806,0.1467904899370898
13140,"Beaumont-Port Arthur, TX",105810,53043,400162,0.2644179107461478,0.13255381570463962
13220,"Beckley, WV",27410,20014,126799,0.2161688972310507,0.15784036151704667
13380,"Bellingham, WA",40247,19400,166814,0.24126871845288764,0.11629719328113947
13460,"Bend-Redmond, OR",28583,15089,115367,0.24775715759272582,0.13079130080525628
13740,"Billings, MT",35546,19023,139946,0.2539979706458205,0.13593100195789803
13780,"Binghamton, NY",60102,39616,252320,0.23819752694990487,0.15700697526949906
13820,"Birmingham-Hoover, AL",263312,134563,1052238,0.25023996472280985,0.12788266532856635
13900,"Bismarck, ND",26194,12852,100828,0.25978894751457926,0.1274645931685643
13980,"Blacksburg-Christiansburg-Radford, VA",30376,18991,165146,0.1839342157848207,0.11499521635401402
14010,"Bloomington, IL",39418,17287,167231,0.2357098863249039,0.1033719824673655
14020,"Bloomington, IN",27458,13871,142349,0.19289211726109773,0.09744360690977807
14100,"Bloomsburg-Berwick, PA",17798,13322,82387,0.2160292279121706,0.1617002682462039
14260,"Boise City, ID",132168,46161,464840,0.28433009207469234,0.09930513725152741
14460,"Boston-Cambridge-Newton, MA-NH",1029450,553962,4391344,0.23442709111379112,0.1261486232916392
14500,"Boulder, CO",66837,22670,291288,0.22945332454478043,0.07782675565076488
14540,"Bowling Green, KY",32032,15460,134976,0.2373162636320531,0.11453888098624941
14740,"Bremerton-Silverdale, WA",62064,24553,231969,0.26755299199461996,0.10584603977255581
14860,"Bridgeport-Stamford-Norwalk, CT",226214,117163,882567,0.25631368496669377,0.13275252757014483
15180,"Brownsville-Harlingen, TX",113295,37375,335227,0.337965020717305,0.11149161612877244
15260,"Brunswick, GA",24295,12519,93044,0.2611130217961395,0.13454924551824943
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",284787,185142,1170111,0.2433846019736589,0.1582260144550389
15500,"Burlington, NC",31154,18464,130800,0.2381804281345566,0.14116207951070336
15540,"Burlington-South Burlington, VT",48984,19634,198889,0.2462881305652902,0.09871838060425664
15680,"California-Lexington Park, MD",24080,7825,86211,0.2793147046200601,0.09076567955365325
15940,"Canton-Massillon, OH",101188,61138,406934,0.24865948777934505,0.1502405795534411
15980,"Cape Coral-Fort Myers, FL",86388,112111,440888,0.19594091923572426,0.2542845348478525
16020,"Cape Girardeau, MO-IL",21724,12863,90312,0.24054389228452475,0.14242847019222252
16060,"Carbondale-Marion, IL",25533,16698,120908,0.21117709332715784,0.13810500545869586
16180,"Carson City, NV",12271,7837,52457,0.23392492898945802,0.1493985550069581
16220,"Casper, WY",17300,8424,66533,0.26002134279229855,0.1266138607908857
16300,"Cedar Rapids, IA",60220,30566,237230,0.2538464781014206,0.12884542427180373
16540,"Chambersburg-Waynesboro, PA",31052,20751,129313,0.24013053598632775,0.1604711049933108
16580,"Champaign-Urbana, IL",45605,22763,210275,0.21688265366781595,0.10825347758887172
16620,"Charleston, WV",51207,37914,235938,0.21703583144724461,0.16069475879256415
