cbsa_fips,cbsa,city_fips,city,vacancy
15500,"Burlington, NC",3709060,Burlington city,0.06577400725711657
15540,"Burlington-South Burlington, VT",5010675,Burlington city,0.03110704483074108
15680,"California-Lexington Park, MD",2446725,Lexington Park CDP,0.15269978401727863
15940,"Canton-Massillon, OH",3912000,Canton city,0.08486845811503577
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,0.10700282566315467
16020,"Cape Girardeau, MO-IL",2911242,Cape Girardeau city,0.09142604410185126
16060,"Carbondale-Marion, IL",1711163,Carbondale city,0.0899890590809628
16180,"Carson City, NV",3209700,Carson City,0.05224827326974581
16220,"Casper, WY",5613150,Casper city,0.0699067300658376
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,0.04632465543644717
16540,"Chambersburg-Waynesboro, PA",4212536,Chambersburg borough,0.07019867549668875
16580,"Champaign-Urbana, IL",1712385,Champaign city,0.052003081664098616
16620,"Charleston, WV",5414600,Charleston city,0.09678965021562051
16700,"Charleston-North Charleston, SC",4513330,Charleston city,0.08464421156564864
16740,"Charlotte-Concord-Gastonia, NC-SC",3712000,Charlotte city,0.06502946613780952
16820,"Charlottesville, VA",5114968,Charlottesville city,0.042066966062190896
16860,"Chattanooga, TN-GA",4714000,Chattanooga city,0.09165418538858379
16940,"Cheyenne, WY",5613900,Cheyenne city,0.06130687074257842
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1714000,Chicago city,0.07888153717511458
17020,"Chico, CA",0613014,Chico city,0.03731649306979414
17140,"Cincinnati, OH-KY-IN",3915000,Cincinnati city,0.10792593306507964
17300,"Clarksville, TN-KY",4715160,Clarksville city,0.07672136060537948
17420,"Cleveland, TN",4715400,Cleveland city,0.08483963240216663
17460,"Cleveland-Elyria, OH",3916000,Cleveland city,0.11682788525683789
17660,"Coeur d'Alene, ID",1616750,Coeur d'Alene city,0.06323263446982383
17780,"College Station-Bryan, TX",4815976,College Station city,0.052314423888846245
17820,"Colorado Springs, CO",0816000,Colorado Springs city,0.04824803281996099
17860,"Columbia, MO",2915670,Columbia city,0.06200579129078962
17900,"Columbia, SC",4516000,Columbia city,0.08445667721381821
17980,"Columbus, GA-AL",1319007,Columbus city (balance),0.08350013168290756
18020,"Columbus, IN",1814734,Columbus city,0.06858175037874374
18140,"Columbus, OH",3918000,Columbus city,0.07837090242225109
18580,"Corpus Christi, TX",4817000,Corpus Christi city,0.08383488978123174
18700,"Corvallis, OR",4115800,Corvallis city,0.061169831173179014
18880,"Crestview-Fort Walton Beach-Destin, FL",1224475,Fort Walton Beach city,0.06073054291106917
19060,"Cumberland, MD-WV",2421325,Cumberland city,0.1440366149151934
19100,"Dallas-Fort Worth-Arlington, TX",4819000,Dallas city,0.06668635887605683
19140,"Dalton, GA",1321380,Dalton city,0.052791084172450875
19180,"Danville, IL",1718563,Danville city,0.10472927582963859
19300,"Daphne-Fairhope-Foley, AL",0119648,Daphne city,0.0912489615065079
19340,"Davenport-Moline-Rock Island, IA-IL",1919000,Davenport city,0.053833131801692864
19380,"Dayton, OH",3921000,Dayton city,0.12819285834378757
19460,"Decatur, AL",0120104,Decatur city,0.08876826722338205
19500,"Decatur, IL",1718823,Decatur city,0.08466929831628132
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1217200,Deltona city,0.057576560548131886
19740,"Denver-Aurora-Lakewood, CO",0820000,Denver city,0.048521486666534094
19780,"Des Moines-West Des Moines, IA",1921000,Des Moines city,0.05364007194329176
19820,"Detroit-Warren-Dearborn, MI",2622000,Detroit city,0.10308827606799326
20020,"Dothan, AL",0121184,Dothan city,0.08622685185185185
20100,"Dover, DE",1021200,Dover city,0.06479727169382342
20220,"Dubuque, IA",1922395,Dubuque city,0.05285696292875436
20260,"Duluth, MN-WI",2717000,Duluth city,0.04038492728550576
20500,"Durham-Chapel Hill, NC",3719000,Durham city,0.07198287065113804
20700,"East Stroudsburg, PA",4221872,East Stroudsburg borough,0.055839087361152805
20740,"Eau Claire, WI",5522300,Eau Claire city,0.03530829483832095
20940,"El Centro, CA",0621782,El Centro city,0.06719399820598548
21060,"Elizabethtown-Fort Knox, KY",2124274,Elizabethtown city,0.07338444687842278
21140,"Elkhart-Goshen, IN",1820728,Elkhart city,0.07451125046108448
21300,"Elmira, NY",3624229,Elmira city,0.1101202016285382
21340,"El Paso, TX",4824000,El Paso city,0.05989786381497757
21500,"Erie, PA",4224000,Erie city,0.08968001601031776
21660,"Eugene, OR",4123850,Eugene city,0.05426079031313066
21780,"Evansville, IN-KY",1822000,Evansville city,0.0839744151406291
21820,"Fairbanks, AK",0224230,Fairbanks city,0.10374686412559683
22020,"Fargo, ND-MN",3825700,Fargo city,0.046893203883495146
22140,"Farmington, NM",3525800,Farmington city,0.07262718047356902
22180,"Fayetteville, NC",3722920,Fayetteville city,0.09616353962475498
22220,"Fayetteville-Springdale-Rogers, AR-MO",0523290,Fayetteville city,0.06553579141634272
22380,"Flagstaff, AZ",0423620,Flagstaff city,0.0976818096840531
22420,"Flint, MI",2629000,Flint city,0.12115967113803548
22500,"Florence, SC",4525810,Florence city,0.0889992360580596
22520,"Florence-Muscle Shoals, AL",0126896,Florence city,0.10656802394533235
22540,"Fond du Lac, WI",5526275,Fond du Lac city,0.050288258462241
22660,"Fort Collins, CO",0827425,Fort Collins city,0.039221023976546955
22900,"Fort Smith, AR-OK",0524550,Fort Smith city,0.08327438386010583
23060,"Fort Wayne, IN",1825000,Fort Wayne city,0.08339657922235055
23420,"Fresno, CA",0627000,Fresno city,0.060030196275792654
23460,"Gadsden, AL",0128696,Gadsden city,0.12454115018353992
23540,"Gainesville, FL",1225175,Gainesville city,0.07046502929809251
23580,"Gainesville, GA",1331908,Gainesville city,0.05938739532833848
23900,"Gettysburg, PA",4228960,Gettysburg borough,0.079014135556361
24020,"Glens Falls, NY",3629333,Glens Falls city,0.07987079723975922
24140,"Goldsboro, NC",3726880,Goldsboro city,0.10640117273393598
