cbsa_fips,cbsa,population_2005
15680,"California-Lexington Park, MD",96871
15940,"Canton-Massillon, OH",405168
15980,"Cape Coral-Fort Myers, FL",555029
16020,"Cape Girardeau, MO-IL",93173
16060,"Carbondale-Marion, IL",123881
16180,"Carson City, NV",55982
16220,"Casper, WY",69922
16300,"Cedar Rapids, IA",247265
16540,"Chambersburg-Waynesboro, PA",138927
16580,"Champaign-Urbana, IL",221400
16620,"Charleston, WV",229041
16700,"Charleston-North Charleston, SC",598313
16740,"Charlotte-Concord-Gastonia, NC-SC",1934168
16820,"Charlottesville, VA",204975
16860,"Chattanooga, TN-GA",499564
16940,"Cheyenne, WY",85732
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9276302
17020,"Chico, CA",214752
17140,"Cincinnati, OH-KY-IN",2054879
17300,"Clarksville, TN-KY",237633
17420,"Cleveland, TN",109410
17460,"Cleveland-Elyria, OH",2111699
17660,"Coeur d'Alene, ID",125972
17780,"College Station-Bryan, TX",203500
17820,"Colorado Springs, CO",587778
17860,"Columbia, MO",148786
17900,"Columbia, SC",699160
17980,"Columbus, GA-AL",286358
18020,"Columbus, IN",73660
18140,"Columbus, OH",1791126
18580,"Corpus Christi, TX",416308
18700,"Corvallis, OR",80943
18880,"Crestview-Fort Walton Beach-Destin, FL",233437
19060,"Cumberland, MD-WV",101172
19100,"Dallas-Fort Worth-Arlington, TX",5776543
19140,"Dalton, GA",133885
19180,"Danville, IL",82728
19300,"Daphne-Fairhope-Foley, AL",160970
19340,"Davenport-Moline-Rock Island, IA-IL",372876
19380,"Dayton, OH",804766
19460,"Decatur, AL",148399
19500,"Decatur, IL",111083
19660,"Deltona-Daytona Beach-Ormond Beach, FL",563305
19740,"Denver-Aurora-Lakewood, CO",2332749
19780,"Des Moines-West Des Moines, IA",521578
19820,"Detroit-Warren-Dearborn, MI",4431048
20020,"Dothan, AL",136643
20100,"Dover, DE",144585
20220,"Dubuque, IA",90769
20260,"Duluth, MN-WI",276682
20500,"Durham-Chapel Hill, NC",458287
20700,"East Stroudsburg, PA",162045
20740,"Eau Claire, WI",154809
20940,"El Centro, CA",156113
21060,"Elizabethtown-Fort Knox, KY",140177
21140,"Elkhart-Goshen, IN",192242
21300,"Elmira, NY",88860
21340,"El Paso, TX",731511
21500,"Erie, PA",277211
21660,"Eugene, OR",335831
21780,"Evansville, IN-KY",303844
21820,"Fairbanks, AK",90431
22020,"Fargo, ND-MN",189303
22140,"Farmington, NM",124809
22180,"Fayetteville, NC",343493
22220,"Fayetteville-Springdale-Rogers, AR-MO",407987
22380,"Flagstaff, AZ",127025
22420,"Flint, MI",442508
22500,"Florence, SC",199167
22520,"Florence-Muscle Shoals, AL",143717
22540,"Fond du Lac, WI",99297
22660,"Fort Collins, CO",275116
22900,"Fort Smith, AR-OK",266708
23060,"Fort Wayne, IN",403240
23420,"Fresno, CA",872470
23460,"Gadsden, AL",103174
23540,"Gainesville, FL",249557
23580,"Gainesville, GA",160979
23900,"Gettysburg, PA",98606
24020,"Glens Falls, NY",127674
24140,"Goldsboro, NC",117009
24220,"Grand Forks, ND-MN",97777
24260,"Grand Island, NE",78140
24300,"Grand Junction, CO",130194
24340,"Grand Rapids-Wyoming, MI",970713
24420,"Grants Pass, OR",80660
24500,"Great Falls, MT",80041
24540,"Greeley, CO",222879
24580,"Green Bay, WI",296800
24660,"Greensboro-High Point, NC",677080
24780,"Greenville, NC",147929
24860,"Greenville-Anderson-Mauldin, SC",763048
25060,"Gulfport-Biloxi-Pascagoula, MS",360304
25180,"Hagerstown-Martinsburg, MD-WV",234198
25220,"Hammond, LA",107677
25260,"Hanford-Corcoran, CA",145147
25420,"Harrisburg-Carlisle, PA",525775
25500,"Harrisonburg, VA",116602
25540,"Hartford-West Hartford-East Hartford, CT",1187929
25620,"Hattiesburg, MS",129050
25860,"Hickory-Lenoir-Morganton, NC",354159
25940,"Hilton Head Island-Bluffton-Beaufort, SC",163343
25980,"Hinesville, GA",76395
26140,"Homosassa Springs, FL",133791
26300,"Hot Springs, AR",92096
26380,"Houma-Thibodaux, LA",199625
26420,"Houston-The Woodlands-Sugar Land, TX",5234054
26580,"Huntington-Ashland, WV-KY-OH",361864
26620,"Huntsville, AL",372777
26820,"Idaho Falls, ID",116208
26900,"Indianapolis-Carmel-Anderson, IN",1772959
26980,"Iowa City, IA",141650
27060,"Ithaca, NY",99433
27100,"Jackson, MI",163047
27140,"Jackson, MS",545336
27180,"Jackson, TN",126192
27260,"Jacksonville, FL",1249072
27340,"Jacksonville, NC",157205
27500,"Janesville-Beloit, WI",156761
27620,"Jefferson City, MO",144450
27740,"Johnson City, TN",189182
27780,"Johnstown, PA",146975
27860,"Jonesboro, AR",112570
27900,"Joplin, MO",166160
27980,"Kahului-Wailuku-Lahaina, HI",143448
28020,"Kalamazoo-Portage, MI",320268
28100,"Kankakee, IL",107917
28140,"Kansas City, MO-KS",1909428
28420,"Kennewick-Richland, WA",219086
