cbsa_fips,cbsa,lfpr,pop,lf,emp,unemp
48660,"Wichita Falls, TX",0.49124722134010795,151152,74253,70877,3376
48700,"Williamsport, PA",0.504526503871352,117530,59297,56082,3215
48900,"Wilmington, NC",0.5188677202388944,230897,119805,114728,5077
49020,"Winchester, VA-WV",0.5212351608441453,117847,61426,59522,1904
49180,"Winston-Salem, NC",0.5131543368087524,602805,309332,293831,15501
49340,"Worcester, MA-CT",0.5122739298986175,896901,459459,435280,24179
49420,"Yakima, WA",0.5143282145513409,228570,117560,108427,9133
49620,"York-Hanover, PA",0.535160585333418,409066,218916,209684,9232
49660,"Youngstown-Warren-Boardman, OH-PA",0.4814145992448076,584222,281253,261923,19330
49700,"Yuba City, CA",0.4236273694122503,155049,65683,59513,6170
49740,"Yuma, AZ",0.42539258231925553,178816,76067,64004,12063
