cbsa_fips,cbsa,lfpr,pop,lf,emp,unemp
33140,"Michigan City-La Porte, IN",0.4844761322244639,109541,53070,49849,3221
33220,"Midland, MI",0.4993089479328011,83930,41907,39428,2479
33260,"Midland, TX",0.5389759221190425,126963,68430,65888,2542
33340,"Milwaukee-Waukesha-West Allis, WI",0.5142043009975755,1522391,782820,744046,38774
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.5768654155019965,3199046,1845419,1774937,70482
33540,"Missoula, MT",0.5659836946958885,102298,57899,55617,2282
33660,"Mobile, AL",0.4552989994649005,396188,180384,171439,8945
33700,"Modesto, CA",0.4532358705651774,500020,226627,207585,19042
33740,"Monroe, LA",0.48122107976614165,172241,82886,77791,5095
33780,"Monroe, MI",0.5109467494454435,152374,77855,73029,4826
33860,"Montgomery, AL",0.46979721685500714,358659,168497,161084,7413
34060,"Morgantown, WV",0.4878311113334501,119937,58509,56201,2308
34100,"Morristown, TN",0.49123051354186975,107703,52907,49801,3106
34580,"Mount Vernon-Anacortes, WA",0.5084972398652006,110683,56282,52784,3498
34620,"Muncie, IN",0.47484979267157484,118170,56113,52262,3851
34740,"Muskegon, MI",0.5187203354684116,173608,90054,83745,6309
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.516725676249823,317745,164187,155072,9115
34900,"Napa, CA",0.5470735766714475,130381,71328,68214,3114
34940,"Naples-Immokalee-Marco Island, FL",0.4720606793906041,307452,145136,140087,5049
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.5160595774526735,1511310,779926,744286,35640
35100,"New Bern, NC",0.43655921281635496,117787,51421,49009,2412
35300,"New Haven-Milford, CT",0.5075322075352766,847162,429962,407064,22898
35380,"New Orleans-Metairie, LA",0.007326057897053497,1231358,9021,8067,954
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.49437582647630396,19227714,9505717,9041419,464298
35660,"Niles-Benton Harbor, MI",0.49883918995646964,158510,79071,73591,5480
35840,"North Port-Sarasota-Bradenton, FL",0.4652371149910264,674757,313922,303104,10818
35980,"Norwich-New London, CT",0.5344873620505518,269664,144132,137659,6473
36100,"Ocala, FL",0.4212111029852615,303558,127862,123011,4851
36140,"Ocean City, NJ",0.581248929675931,99269,57700,53895,3805
36220,"Odessa, TX",0.49677774410183606,125378,62285,59458,2827
36260,"Ogden-Clearfield, UT",0.507695919613091,532425,270310,258890,11420
36420,"Oklahoma City, OK",0.49416175553772124,1161308,573874,548926,24948
36500,"Olympia-Tumwater, WA",0.537174647502676,227023,121951,115486,6465
36540,"Omaha-Council Bluffs, NE-IA",0.5407001519079366,814309,440297,421454,18843
