cbsa_fips,cbsa,vacancy_msa,vacancy_city
16020,"Cape Girardeau, MO-IL",0.10577287784155562,0.09142604410185126
16060,"Carbondale-Marion, IL",0.09118741635653657,0.0899890590809628
16180,"Carson City, NV",0.05224827326974581,0.05224827326974581
16220,"Casper, WY",0.10250317917140754,0.0699067300658376
16300,"Cedar Rapids, IA",0.05042703979647465,0.04632465543644717
16540,"Chambersburg-Waynesboro, PA",0.05891864765905247,0.07019867549668875
16580,"Champaign-Urbana, IL",0.06157389548208491,0.052003081664098616
16620,"Charleston, WV",0.08767774662202016,0.09678965021562051
16700,"Charleston-North Charleston, SC",0.10742322467111616,0.08464421156564864
16740,"Charlotte-Concord-Gastonia, NC-SC",0.06853446873979216,0.06502946613780952
16820,"Charlottesville, VA",0.09056999214062052,0.042066966062190896
16860,"Chattanooga, TN-GA",0.07663275592545156,0.09165418538858379
16940,"Cheyenne, WY",0.0668167070996405,0.06130687074257842
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.05260879146969395,0.07888153717511458
17020,"Chico, CA",0.06965377734644482,0.03731649306979414
17140,"Cincinnati, OH-KY-IN",0.06452435387433719,0.10792593306507964
17300,"Clarksville, TN-KY",0.08884679303171522,0.07672136060537948
17420,"Cleveland, TN",0.0783000294190862,0.08483963240216663
17460,"Cleveland-Elyria, OH",0.06385100882640812,0.11682788525683789
17660,"Coeur d'Alene, ID",0.11369536764863647,0.06323263446982383
17780,"College Station-Bryan, TX",0.09787732708338882,0.052314423888846245
17820,"Colorado Springs, CO",0.05821702147657315,0.04824803281996099
17860,"Columbia, MO",0.06323441194114118,0.06200579129078962
17900,"Columbia, SC",0.08875592399459227,0.08445667721381821
17980,"Columbus, GA-AL",0.10164410308690507,0.08350013168290756
18020,"Columbus, IN",0.06421465179378957,0.06858175037874374
18140,"Columbus, OH",0.0655143214785362,0.07837090242225109
18580,"Corpus Christi, TX",0.11920772862714848,0.08383488978123174
18700,"Corvallis, OR",0.057379612257661035,0.061169831173179014
18880,"Crestview-Fort Walton Beach-Destin, FL",0.2308685315204874,0.06073054291106917
19060,"Cumberland, MD-WV",0.11029770619814544,0.1440366149151934
19100,"Dallas-Fort Worth-Arlington, TX",0.05939759245168918,0.06668635887605683
19140,"Dalton, GA",0.05263975844767106,0.052791084172450875
19180,"Danville, IL",0.08096508844810037,0.10472927582963859
19300,"Daphne-Fairhope-Foley, AL",0.2550851450494716,0.0912489615065079
19340,"Davenport-Moline-Rock Island, IA-IL",0.055457774245033654,0.053833131801692864
19380,"Dayton, OH",0.0698200857667019,0.12819285834378757
19460,"Decatur, AL",0.08425084539320801,0.08876826722338205
19500,"Decatur, IL",0.07324694970243427,0.08466929831628132
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.12848682262363045,0.057576560548131886
19740,"Denver-Aurora-Lakewood, CO",0.04366314959345172,0.048521486666534094
19780,"Des Moines-West Des Moines, IA",0.05026254682962792,0.05364007194329176
19820,"Detroit-Warren-Dearborn, MI",0.05577722938929493,0.10308827606799326
20020,"Dothan, AL",0.11531570751636723,0.08622685185185185
20100,"Dover, DE",0.06451932410213744,0.06479727169382342
20220,"Dubuque, IA",0.05111956062526405,0.05285696292875436
20260,"Duluth, MN-WI",0.13386511853522948,0.04038492728550576
20500,"Durham-Chapel Hill, NC",0.07102856230348617,0.07198287065113804
20700,"East Stroudsburg, PA",0.2682262766162087,0.055839087361152805
20740,"Eau Claire, WI",0.05169582884152915,0.03530829483832095
20940,"El Centro, CA",0.1026861999043084,0.06719399820598548
21060,"Elizabethtown-Fort Knox, KY",0.08516330397948947,0.07338444687842278
21140,"Elkhart-Goshen, IN",0.05211273659927498,0.07451125046108448
21300,"Elmira, NY",0.07142667903033514,0.1101202016285382
21340,"El Paso, TX",0.06552820049752565,0.05989786381497757
21500,"Erie, PA",0.06835954584419447,0.08968001601031776
21660,"Eugene, OR",0.06112446561973717,0.05426079031313066
21780,"Evansville, IN-KY",0.07086224762144001,0.0839744151406291
21820,"Fairbanks, AK",0.10555405364813313,0.10374686412559683
22020,"Fargo, ND-MN",0.048289273281114015,0.046893203883495146
22140,"Farmington, NM",0.12748432474954305,0.07262718047356902
22180,"Fayetteville, NC",0.09326195367449959,0.09616353962475498
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.08651642607401253,0.06553579141634272
22380,"Flagstaff, AZ",0.24315625994049736,0.0976818096840531
22420,"Flint, MI",0.07517834776452649,0.12115967113803548
22500,"Florence, SC",0.0970313699274555,0.0889992360580596
22520,"Florence-Muscle Shoals, AL",0.1048101033575928,0.10656802394533235
22540,"Fond du Lac, WI",0.05958595401186626,0.050288258462241
22660,"Fort Collins, CO",0.07807044177926219,0.039221023976546955
22900,"Fort Smith, AR-OK",0.0936235005756304,0.08327438386010583
23060,"Fort Wayne, IN",0.07118581455485777,0.08339657922235055
23420,"Fresno, CA",0.06583889469543926,0.060030196275792654
23460,"Gadsden, AL",0.09451902782915207,0.12454115018353992
23540,"Gainesville, FL",0.08403369663132677,0.07046502929809251
23580,"Gainesville, GA",0.07179798613015712,0.05938739532833848
23900,"Gettysburg, PA",0.060813262258937795,0.079014135556361
24020,"Glens Falls, NY",0.21837588813548325,0.07987079723975922
24140,"Goldsboro, NC",0.09935958404666793,0.10640117273393598
24220,"Grand Forks, ND-MN",0.093666175297842,0.055715519723581915
24260,"Grand Island, NE",0.07035002354418458,0.057114976178175764
24300,"Grand Junction, CO",0.0537716563074318,0.048924616695059625
24340,"Grand Rapids-Wyoming, MI",0.06368264602142905,0.060838891739353515
24420,"Grants Pass, OR",0.06736063058455428,0.051492159838138596
24500,"Great Falls, MT",0.07602555003548617,0.05607920792079208
24540,"Greeley, CO",0.04452065141855757,0.04573381195637167
24580,"Green Bay, WI",0.07895493605792002,0.03552628527699835
24660,"Greensboro-High Point, NC",0.06801662418506223,0.06959367604853733
24780,"Greenville, NC",0.100482810573894,0.10449458163084029
24860,"Greenville-Anderson-Mauldin, SC",0.09432675217370419,0.10672284301154057
25060,"Gulfport-Biloxi-Pascagoula, MS",0.10680114971191579,0.08850096417334821
25180,"Hagerstown-Martinsburg, MD-WV",0.07673051173080282,0.07256129674059336
25220,"Hammond, LA",0.10383879982350346,0.10878243512974052
25260,"Hanford-Corcoran, CA",0.058665864398435574,0.0536648325521364
25420,"Harrisburg-Carlisle, PA",0.06748070498790462,0.15435551534095582
25500,"Harrisonburg, VA",0.061657361581783164,0.04061655343706626
25540,"Hartford-West Hartford-East Hartford, CT",0.055113938589929155,0.11172103309375246
