cbsa_fips,cbsa,pop_2005,pop_2015
23580,"Gainesville, GA (Metropolitan Statistical Area)",160979,192458
23900,"Gettysburg, PA (Metropolitan Statistical Area)",98606,101776
24020,"Glens Falls, NY (Metropolitan Statistical Area)",127674,126636
24140,"Goldsboro, NC (Metropolitan Statistical Area)",117009,124428
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",97777,101881
24260,"Grand Island, NE (Metropolitan Statistical Area)",68871,75332
24300,"Grand Junction, CO (Metropolitan Statistical Area)",130194,148227
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",975837,1045072
24420,"Grants Pass, OR (Metropolitan Statistical Area)",80660,84508
24500,"Great Falls, MT (Metropolitan Statistical Area)",80041,81887
24540,"Greeley, CO (Metropolitan Statistical Area) *",222879,285033
24580,"Green Bay, WI (Metropolitan Statistical Area)",296800,315694
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",677080,751724
24780,"Greenville, NC (Metropolitan Statistical Area)",147929,176098
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",763048,872598
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",398601,406613
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",250660,278286
25220,"Hammond, LA (Metropolitan Statistical Area)",106987,128740
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",145147,150199
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",525775,564752
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",116602,131208
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",1187929,1211598
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",150295,167893
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",354159,363367
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",163343,207253
25980,"Hinesville, GA (Metropolitan Statistical Area)",76395,79286
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",133791,140311
26300,"Hot Springs, AR (Metropolitan Statistical Area)",92096,97816
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",200467,212119
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",5233729,6676565
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",367471,367214
26620,"Huntsville, AL (Metropolitan Statistical Area)",372777,444560
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",116208,139620
