cbsa_fips,cbsa,city_fips,city,pop_1790,pop_1800,pop_1810,pop_1820,pop_1830,pop_1840,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950,pop_1960,pop_1970,pop_1980,pop_1990,pop_2000,pop_2010
23060,"Fort Wayne, IN",1825000,Fort Wayne city,0,0,0,0,0,0,4282,9121,17718,26880,35393,45115,63933,86549,114946,118410,133607,161776,178269,172391,173072,205727,253691
23420,"Fresno, CA",627000,Fresno city,0,0,0,0,0,0,0,0,0,1112,10818,12470,24892,45086,52513,60685,91669,133929,165655,217491,354202,427652,494665
23460,"Gadsden, AL",128696,Gadsden city,0,0,0,0,0,0,0,0,0,1697,2901,4282,10557,14737,24042,36975,55725,58088,53928,47565,42523,38978,36856
23540,"Gainesville, FL",1225175,Gainesville city,0,0,0,0,0,0,0,0,0,0,2790,3633,6183,6860,10465,13757,26861,29701,64510,81371,84770,95447,124354
23580,"Gainesville, GA",1331908,Gainesville city,0,0,0,0,0,0,0,344,472,1919,3202,4382,5925,6272,8624,10243,11936,16523,15459,15280,17885,25578,33804
23900,"Gettysburg, PA",4228960,Gettysburg borough,0,0,0,0,1473,1908,2180,2390,3074,2814,3221,3495,4030,4439,5584,5916,7046,7960,7275,7194,7025,7490,7620
24020,"Glens Falls, NY",3629333,Glens Falls city,0,0,0,0,0,0,2717,3780,4500,4900,9509,12613,15243,16638,18531,18836,19610,18580,17222,15897,15023,14354,14700
24140,"Goldsboro, NC",3726880,Goldsboro city,0,0,0,0,0,0,0,885,1134,3286,4017,5877,6107,11296,14985,17274,21454,28873,26960,31871,40709,39043,36437
24220,"Grand Forks, ND-MN",3832060,Grand Forks city,0,0,0,0,0,0,0,0,0,1705,4979,7682,12478,14010,17112,20228,26836,34451,39008,43765,49425,49321,52838
24260,"Grand Island, NE",3119595,Grand Island city,0,0,0,0,0,0,0,0,0,2963,7536,7554,10326,13947,18041,19130,22682,25742,32358,33180,39386,42940,48520
24300,"Grand Junction, CO",831660,Grand Junction city,0,0,0,0,0,0,0,0,0,0,2030,3503,7754,8665,10247,12479,14504,18694,20170,27956,29034,41986,58566
