cty_fips,county,year,labor_force,employed,unemployed
1115,"St. Clair County, AL",2005,"33,750","32,407","1,343"
1117,"Shelby County, AL",2005,"94,699","91,783","2,916"
1119,"Sumter County, AL",2005,"4,865","4,512",353
1121,"Talladega County, AL",2005,"39,684","37,777","1,907"
1123,"Tallapoosa County, AL",2005,"18,587","17,748",839
1125,"Tuscaloosa County, AL",2005,"84,810","81,638","3,172"
1127,"Walker County, AL",2005,"29,772","28,455","1,317"
1129,"Washington County, AL",2005,"6,887","6,458",429
1131,"Wilcox County, AL",2005,"3,626","3,290",336
1133,"Winston County, AL",2005,"10,365","9,840",525
2013,"Aleutians East Borough, AK",2005,"1,077",974,103
2016,"Aleutians West Census Area, AK",2005,"3,143","2,963",180
2020,"Anchorage Borough/municipality, AK",2005,"149,028","140,840","8,188"
2050,"Bethel Census Area, AK",2005,"7,089","6,182",907
2060,"Bristol Bay Borough, AK",2005,971,914,57
2068,"Denali Borough, AK",2005,"1,590","1,486",104
2070,"Dillingham Census Area, AK",2005,"2,062","1,842",220
2090,"Fairbanks North Star Borough, AK",2005,"45,247","42,606","2,641"
2100,"Haines Borough, AK",2005,"1,472","1,340",132
2110,"Juneau Borough/city, AK",2005,"18,349","17,370",979
2122,"Kenai Peninsula Borough, AK",2005,"25,321","23,105","2,216"
2130,"Ketchikan Gateway Borough, AK",2005,"7,966","7,430",536
2150,"Kodiak Island Borough, AK",2005,"6,056","5,556",500
2158,"Kusilvak Census Area, AK",2005,"2,542","2,011",531
2164,"Lake and Peninsula Borough, AK",2005,"1,040",964,76
2170,"Matanuska-Susitna Borough, AK",2005,"36,728","33,928","2,800"
2180,"Nome Census Area, AK",2005,"3,979","3,486",493
2185,"North Slope Borough, AK",2005,"3,719","3,384",335
2188,"Northwest Arctic Borough, AK",2005,"3,062","2,698",364
2201,"Prince of Wales-Outer Ketchikan Census Area, AK",2005,"2,568","2,232",336
2220,"Sitka Borough/city, AK",2005,"4,745","4,481",264
2232,"Skagway-Hoonah-Angoon Census Area, AK",2005,"1,846","1,601",245
2240,"Southeast Fairbanks Census Area, AK",2005,"3,310","2,963",347
2261,"Valdez-Cordova Census Area, AK",2005,"5,264","4,764",500
2280,"Wrangell-Petersburg Census Area, AK",2005,"2,931","2,635",296
2282,"Yakutat Borough/city, AK",2005,320,286,34
2290,"Yukon-Koyukuk Census Area, AK",2005,"3,139","2,772",367
4001,"Apache County, AZ",2005,"20,054","17,952","2,102"
4003,"Cochise County, AZ",2005,"55,774","53,097","2,677"
4005,"Coconino County, AZ",2005,"67,883","64,549","3,334"
4007,"Gila County, AZ",2005,"20,667","19,446","1,221"
4009,"Graham County, AZ",2005,"12,261","11,525",736
4011,"Greenlee County, AZ",2005,"3,493","3,324",169
4012,"La Paz County, AZ",2005,"7,703","7,181",522
4013,"Maricopa County, AZ",2005,"1,856,076","1,780,954","75,122"
4015,"Mohave County, AZ",2005,"89,079","85,271","3,808"
4017,"Navajo County, AZ",2005,"37,680","34,646","3,034"
4019,"Pima County, AZ",2005,"441,581","421,815","19,766"
4021,"Pinal County, AZ",2005,"87,422","82,541","4,881"
4023,"Santa Cruz County, AZ",2005,"16,043","14,663","1,380"
4025,"Yavapai County, AZ",2005,"91,442","87,403","4,039"
4027,"Yuma County, AZ",2005,"76,067","64,004","12,063"
5001,"Arkansas County, AR",2005,"11,321","10,525",796
5003,"Ashley County, AR",2005,"9,646","8,844",802
5005,"Baxter County, AR",2005,"17,214","16,254",960
5007,"Benton County, AR",2005,"100,203","96,959","3,244"
5009,"Boone County, AR",2005,"16,729","15,875",854
5011,"Bradley County, AR",2005,"5,507","5,074",433
5013,"Calhoun County, AR",2005,"2,686","2,502",184
5015,"Carroll County, AR",2005,"13,545","12,929",616
5017,"Chicot County, AR",2005,"4,892","4,403",489
5019,"Clark County, AR",2005,"11,051","10,375",676
5021,"Clay County, AR",2005,"7,091","6,497",594
5023,"Cleburne County, AR",2005,"11,633","11,063",570
5025,"Cleveland County, AR",2005,"4,273","4,023",250
5027,"Columbia County, AR",2005,"11,089","10,385",704
5029,"Conway County, AR",2005,"9,660","9,164",496
5031,"Craighead County, AR",2005,"45,084","42,935","2,149"
5033,"Crawford County, AR",2005,"27,438","26,244","1,194"
5035,"Crittenden County, AR",2005,"22,513","21,044","1,469"
5037,"Cross County, AR",2005,"8,502","7,856",646
5039,"Dallas County, AR",2005,"3,868","3,597",271
5041,"Desha County, AR",2005,"6,089","5,561",528
5043,"Drew County, AR",2005,"8,680","7,944",736
5045,"Faulkner County, AR",2005,"52,018","49,704","2,314"
5047,"Franklin County, AR",2005,"8,521","8,156",365
