Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
501,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3708,215552.1050N,587404.9350W
502,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3684,217263.9900N,585556.6000W
504,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3636,215861.8710N,586370.1380W
506,WP,NV,ELY,Ely,Ely /Yelland Field/,CS,None,3618,141478.9000N,413430.8000W
507,SO,KY,OWB,Owensboro,Owensboro-Daviess County,CS,None,3611,135859.8030N,313800.5828W
508,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3582,223061.3052N,586592.5763W
509,AL,AK,CFK,Chefornak,Chefornak,CS,None,3519,216492.5000N,591404.6000W
510,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,3502,219144.0000N,585087.5000W
511,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3433,234627.8000N,547589.2000W
512,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,3366,124120.9000N,335146.4000W
513,AL,AK,NUL,Nulato,Nulato,CS,None,3359,233025.6000N,569067.2000W
514,GL,ND,DVL,Devils Lake,Devils Lake Municipal,CS,None,3327,173219.7000N,356076.0000W
515,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3325,205798.7000N,612801.2000W
519,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,3291,167498.9000N,324473.0000W
520,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3289,245281.0000N,546276.0000W
521,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,CS,None,3236,233782.3000N,580155.4000W
522,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,3218,161770.4680N,269442.4310W
523,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,3109,225659.0000N,592999.9000W
524,AL,AK,CGA,Craig,Craig,CS,None,3088,199723.7930N,479332.0840W
525,AL,AK,EEK,Eek,Eek,CS,None,3083,216769.3000N,583358.0000W
526,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,3079,128994.1600N,326327.1190W
527,NM,UT,CNY,Moab,Canyonlands Field,CS,None,3078,139526.9953N,395112.7509W
528,AL,AK,HLA,Huslia,Huslia,CS,None,3072,236512.3000N,562865.0000W
529,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,CS,None,3064,253681.6000N,566768.4000W
530,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,3061,219915.8200N,579324.0700W
531,AL,AK,PGM,Port Graham,Port Graham,CS,None,3047,213654.5100N,546589.1600W
532,AL,AK,ELI,Elim,Elim,CS,None,3023,232613.9000N,584173.9000W
534,AL,AK,KVC,King Cove,King Cove,CS,None,2949,198418.8500N,584158.4900W
