cbsa_fips,cbsa,city_fips,city,median_value
26820,"Idaho Falls, ID",1639700,Idaho Falls city,88700
26900,"Indianapolis-Carmel-Anderson, IN",1836003,Indianapolis city (balance),96600
26980,"Iowa City, IA",1938595,Iowa City city,121400
27060,"Ithaca, NY",3638077,Ithaca city,96300
27100,"Jackson, MI",2641420,Jackson city,64400
27140,"Jackson, MS",2836000,Jackson city,64200
27180,"Jackson, TN",4737640,Jackson city,80500
27260,"Jacksonville, FL",1235000,Jacksonville city,84100
27340,"Jacksonville, NC",3734200,Jacksonville city,82800
27500,"Janesville-Beloit, WI",5537825,Janesville city,98900
27620,"Jefferson City, MO",2937000,Jefferson City city,97700
27740,"Johnson City, TN",4738320,Johnson City city,95300
27780,"Johnstown, PA",4238288,Johnstown city,36500
27860,"Jonesboro, AR",0535710,Jonesboro city,85000
27900,"Joplin, MO",2937592,Joplin city,67300
27980,"Kahului-Wailuku-Lahaina, HI",1522700,Kahului CDP,220300
28020,"Kalamazoo-Portage, MI",2642160,Kalamazoo city,80700
28100,"Kankakee, IL",1738934,Kankakee city,72300
28140,"Kansas City, MO-KS",2938000,Kansas City city,83300
28420,"Kennewick-Richland, WA",5335275,Kennewick city,106300
28660,"Killeen-Temple, TX",4839148,Killeen city,72500
28700,"Kingsport-Bristol-Bristol, TN-VA",4739560,Kingsport city,85400
28740,"Kingston, NY",3639727,Kingston city,86500
28940,"Knoxville, TN",4740000,Knoxville city,77800
29020,"Kokomo, IN",1840392,Kokomo city,72800
29100,"La Crosse-Onalaska, WI-MN",5540775,La Crosse city,83200
29180,"Lafayette, LA",2240735,Lafayette city,99800
29200,"Lafayette-West Lafayette, IN",1840788,Lafayette city,89300
29340,"Lake Charles, LA",2241155,Lake Charles city,70800
29420,"Lake Havasu City-Kingman, AZ",0439370,Lake Havasu City city,96300
29460,"Lakeland-Winter Haven, FL",1238250,Lakeland city,71500
29540,"Lancaster, PA",4241216,Lancaster city,71900
29620,"Lansing-East Lansing, MI",2646000,Lansing city,73000
29700,"Laredo, TX",4841464,Laredo city,70400
29740,"Las Cruces, NM",3539380,Las Cruces city,83700
29820,"Las Vegas-Henderson-Paradise, NV",3240000,Las Vegas city,133100
29940,"Lawrence, KS",2038900,Lawrence city,112800
30020,"Lawton, OK",4041850,Lawton city,69700
30140,"Lebanon, PA",4242168,Lebanon city,65700
30300,"Lewiston, ID-WA",1646540,Lewiston city,103100
30340,"Lewiston-Auburn, ME",2338740,Lewiston city,85800
30460,"Lexington-Fayette, KY",2146027,Lexington-Fayette,109700
30620,"Lima, OH",3943554,Lima city,54700
30700,"Lincoln, NE",3128000,Lincoln city,101600
30780,"Little Rock-North Little Rock-Conway, AR",0541000,Little Rock city,87300
30860,"Logan, UT-ID",4945860,Logan city,115300
30980,"Longview, TX",4843888,Longview city,74300
31020,"Longview, WA",5340245,Longview city,118800
31080,"Los Angeles-Long Beach-Anaheim, CA",0644000,Los Angeles city,215600
31140,"Louisville/Jefferson County, KY-IN",2148000,Louisville city,81900
31180,"Lubbock, TX",4845000,Lubbock city,67900
31340,"Lynchburg, VA",5147672,Lynchburg city,84900
31420,"Macon, GA",1349000,Macon city,68000
31460,"Madera, CA",0645022,Madera city,92300
31540,"Madison, WI",5548000,Madison city,137700
31700,"Manchester-Nashua, NH",3345140,Manchester city,114600
31740,"Manhattan, KS",2044250,Manhattan city,93700
31860,"Mankato-North Mankato, MN",2739878,Mankato city,91800
31900,"Mansfield, OH",3947138,Mansfield city,71700
32580,"McAllen-Edinburg-Mission, TX",4845384,McAllen city,69800
32780,"Medford, OR",4147000,Medford city,128500
32820,"Memphis, TN-MS-AR",4748000,Memphis city,72300
32900,"Merced, CA",0646898,Merced city,103200
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1245000,Miami city,116400
33140,"Michigan City-La Porte, IN",1848798,Michigan City city,75600
33220,"Midland, MI",2653780,Midland city,110400
33260,"Midland, TX",4848072,Midland city,71400
33340,"Milwaukee-Waukesha-West Allis, WI",5553000,Milwaukee city,79600
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2743000,Minneapolis city,113700
33540,"Missoula, MT",3050200,Missoula city,127900
33660,"Mobile, AL",0150000,Mobile city,80400
33700,"Modesto, CA",0648354,Modesto city,123800
33740,"Monroe, LA",2251410,Monroe city,71000
33780,"Monroe, MI",2655020,Monroe city,115400
33860,"Montgomery, AL",0151000,Montgomery city,84600
34060,"Morgantown, WV",5455756,Morgantown city,92900
34100,"Morristown, TN",4750280,Morristown city,70000
34580,"Mount Vernon-Anacortes, WA",5347560,Mount Vernon city,136100
34620,"Muncie, IN",1851876,Muncie city,57100
34740,"Muskegon, MI",2656320,Muskegon city,60200
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4549075,Myrtle Beach city,103700
34900,"Napa, CA",0650258,Napa city,230500
34940,"Naples-Immokalee-Marco Island, FL",1247625,Naples city,363400
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4752006,Nashville-Davidson (balance),111800
35100,"New Bern, NC",3746340,New Bern city,79200
35300,"New Haven-Milford, CT",0952000,New Haven city,104300
35380,"New Orleans-Metairie, LA",2255000,New Orleans city,88100
35620,"New York-Newark-Jersey City, NY-NJ-PA",3651000,New York city,221200
35660,"Niles-Benton Harbor, MI",2657760,Niles city,70300
35840,"North Port-Sarasota-Bradenton, FL",1264175,Sarasota city,95600
35980,"Norwich-New London, CT",0956200,Norwich city,106200
36100,"Ocala, FL",1250750,Ocala city,71700
36140,"Ocean City, NJ",3454360,Ocean City city,215200
36220,"Odessa, TX",4853388,Odessa city,46500
36260,"Ogden-Clearfield, UT",4955980,Ogden city,99200
36420,"Oklahoma City, OK",4055000,Oklahoma City city,78100
36500,"Olympia-Tumwater, WA",5351300,Olympia city,140700
36540,"Omaha-Council Bluffs, NE-IA",3137000,Omaha city,93300
36740,"Orlando-Kissimmee-Sanford, FL",1253000,Orlando city,97400
36780,"Oshkosh-Neenah, WI",5560500,Oshkosh city,85500
36980,"Owensboro, KY",2158620,Owensboro city,76000
37100,"Oxnard-Thousand Oaks-Ventura, CA",0654652,Oxnard city,183200
37340,"Palm Bay-Melbourne-Titusville, FL",1254000,Palm Bay city,76200
37460,"Panama City, FL",1254700,Panama City city,75200
37620,"Parkersburg-Vienna, WV",5462140,Parkersburg city,63900
37860,"Pensacola-Ferry Pass-Brent, FL",1255925,Pensacola city,91300
37900,"Peoria, IL",1759000,Peoria city,84000
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4260000,Philadelphia city,61000
38060,"Phoenix-Mesa-Scottsdale, AZ",0455000,Phoenix city,107000
38220,"Pine Bluff, AR",0555310,Pine Bluff city,50000
38300,"Pittsburgh, PA",4261000,Pittsburgh city,60700
38340,"Pittsfield, MA",2553960,Pittsfield city,98200
38540,"Pocatello, ID",1664090,Pocatello city,83100
38860,"Portland-South Portland, ME",2360545,Portland city,125200
38900,"Portland-Vancouver-Hillsboro, OR-WA",4159000,Portland city,154700
38940,"Port St. Lucie, FL",1258715,Port St. Lucie city,87700
39140,"Prescott, AZ",0457380,Prescott city,148600
39300,"Providence-Warwick, RI-MA",4459000,Providence city,101700
39340,"Provo-Orem, UT",4962470,Provo city,144900
39380,"Pueblo, CO",0862000,Pueblo city,85800
39460,"Punta Gorda, FL",1259200,Punta Gorda city,185000
39540,"Racine, WI",5566000,Racine city,83400
39580,"Raleigh, NC",3755000,Raleigh city,152400
39660,"Rapid City, SD",4652980,Rapid City city,85500
39740,"Reading, PA",4263624,Reading city,45000
39820,"Redding, CA",0659920,Redding city,116300
39900,"Reno, NV",3260600,Reno city,147900
40060,"Richmond, VA",5167000,Richmond city,87400
40140,"Riverside-San Bernardino-Ontario, CA",0662000,Riverside city,136000
40220,"Roanoke, VA",5168000,Roanoke city,80100
40340,"Rochester, MN",2754880,Rochester city,110900
40380,"Rochester, NY",3663000,Rochester city,62100
40420,"Rockford, IL",1765000,Rockford city,79400
40580,"Rocky Mount, NC",3757500,Rocky Mount city,85400
40660,"Rome, GA",1366668,Rome city,86600
40900,"Sacramento--Roseville--Arden-Arcade, CA",0664000,Sacramento city,126000
40980,"Saginaw, MI",2670520,Saginaw city,47000
41060,"St. Cloud, MN",2756896,St. Cloud city,93400
41100,"St. George, UT",4965330,St. George city,135100
41140,"St. Joseph, MO-KS",2964550,St. Joseph city,68800
41180,"St. Louis, MO-IL",2965000,St. Louis city,63500
41420,"Salem, OR",4164900,Salem city,126300
41500,"Salinas, CA",0664224,Salinas city,189500
41540,"Salisbury, MD-DE",2469925,Salisbury city,81800
41620,"Salt Lake City, UT",4967000,Salt Lake City city,152400
41660,"San Angelo, TX",4864472,San Angelo city,61000
41700,"San Antonio-New Braunfels, TX",4865000,San Antonio city,67500
41740,"San Diego-Carlsbad, CA",0666000,San Diego city,220000
41860,"San Francisco-Oakland-Hayward, CA",0667000,San Francisco city,422700
41940,"San Jose-Sunnyvale-Santa Clara, CA",0668000,San Jose city,375500
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0668154,San Luis Obispo city,252900
42100,"Santa Cruz-Watsonville, CA",0669112,Santa Cruz city,397100
42140,"Santa Fe, NM",3570500,Santa Fe city,177200
42200,"Santa Maria-Santa Barbara, CA",0669070,Santa Barbara city,469300
42220,"Santa Rosa, CA",0670098,Santa Rosa city,236000
42340,"Savannah, GA",1369000,Savannah city,78300
42540,"Scranton--Wilkes-Barre--Hazleton, PA",4269000,Scranton city,78400
42660,"Seattle-Tacoma-Bellevue, WA",5363000,Seattle city,252100
42680,"Sebastian-Vero Beach, FL",1274150,Vero Beach city,121300
42700,"Sebring, FL",1264875,Sebring city,53500
43100,"Sheboygan, WI",5572975,Sheboygan city,87500
43300,"Sherman-Denison, TX",4867496,Sherman city,67500
43340,"Shreveport-Bossier City, LA",2270000,Shreveport city,70700
43420,"Sierra Vista-Douglas, AZ",0466820,Sierra Vista city,100000
43580,"Sioux City, IA-NE-SD",1973335,Sioux City city,73100
43620,"Sioux Falls, SD",4659020,Sioux Falls city,97300
43780,"South Bend-Mishawaka, IN-MI",1871000,South Bend city,66200
43900,"Spartanburg, SC",4568290,Spartanburg city,84100
44060,"Spokane-Spokane Valley, WA",5367000,Spokane city,96100
44100,"Springfield, IL",1772000,Springfield city,84300
44140,"Springfield, MA",2567000,Springfield city,86500
44180,"Springfield, MO",2970000,Springfield city,78700
44220,"Springfield, OH",3974118,Springfield city,69300
44300,"State College, PA",4273808,State College borough,147600
44420,"Staunton-Waynesboro, VA",5175216,Staunton city,88000
44700,"Stockton-Lodi, CA",0675000,Stockton city,117500
44940,"Sumter, SC",4570405,Sumter city,76600
45060,"Syracuse, NY",3673000,Syracuse city,67900
45220,"Tallahassee, FL",1270600,Tallahassee city,98100
45300,"Tampa-St. Petersburg-Clearwater, FL",1271000,Tampa city,80700
45460,"Terre Haute, IN",1875428,Terre Haute city,60100
45500,"Texarkana, TX-AR",4872368,Texarkana city,64300
45540,"The Villages, FL",1271625,The Villages CDP,135700
45780,"Toledo, OH",3977000,Toledo city,73700
45820,"Topeka, KS",2071000,Topeka city,65700
45940,"Trenton, NJ",3474000,Trenton city,66200
46060,"Tucson, AZ",0477000,Tucson city,91200
46140,"Tulsa, OK",4075000,Tulsa city,81900
46220,"Tuscaloosa, AL",0177256,Tuscaloosa city,97400
46340,"Tyler, TX",4874144,Tyler city,80100
46520,"Urban Honolulu, HI",1517000,Honolulu CDP,317300
46540,"Utica-Rome, NY",3676540,Utica city,57800
46660,"Valdosta, GA",1378800,Valdosta city,81600
46700,"Vallejo-Fairfield, CA",0681666,Vallejo city,162600
47020,"Victoria, TX",4875428,Victoria city,69400
47220,"Vineland-Bridgeton, NJ",3476070,Vineland city,94000
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",5182000,Virginia Beach city,121500
47300,"Visalia-Porterville, CA",0682954,Visalia city,112200
47380,"Waco, TX",4876000,Waco city,53200
47460,"Walla Walla, WA",5375775,Walla Walla city,97100
47580,"Warner Robins, GA",1380508,Warner Robins city,73900
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1150000,Washington city,153500
47940,"Waterloo-Cedar Falls, IA",1982425,Waterloo city,63800
48060,"Watertown-Fort Drum, NY",3678608,Watertown city,64100
48140,"Wausau, WI",5584475,Wausau city,84700
48260,"Weirton-Steubenville, WV-OH",5485156,Weirton city,71800
48300,"Wenatchee, WA",5377105,Wenatchee city,129000
48540,"Wheeling, WV-OH",5486452,Wheeling city,67300
48620,"Wichita, KS",2079000,Wichita city,75000
48660,"Wichita Falls, TX",4879000,Wichita Falls city,60900
48700,"Williamsport, PA",4285312,Williamsport city,67900
48900,"Wilmington, NC",3774440,Wilmington city,121600
49020,"Winchester, VA-WV",5186720,Winchester city,109800
49180,"Winston-Salem, NC",3775000,Winston-Salem city,99000
49340,"Worcester, MA-CT",2582000,Worcester city,118400
49420,"Yakima, WA",5380010,Yakima city,100100
49620,"York-Hanover, PA",4287048,York city,56500
49660,"Youngstown-Warren-Boardman, OH-PA",3988000,Youngstown city,40700
49700,"Yuba City, CA",0686972,Yuba City city,112300
49740,"Yuma, AZ",0485540,Yuma city,78100
