zip,cbsa,tot_ratio
2222,14460,0.97752809
2238,14460,1
2269,14460,1
2301,14460,0.896645205
2301,14454,0.103354795
2302,14454,0.020014771
2302,14460,0.979985229
2303,14460,1
2304,14460,1
2305,14460,1
2322,14460,0.956792688
2322,14454,0.043207312
2324,14460,0.987003342
2324,14454,0.012996658
2325,14460,1
2327,14460,1
2330,14454,0.00201491
2330,14460,0.99798509
2331,14460,1
2332,14454,0.00385862
2332,14460,0.99614138
2333,14460,0.98678031
2333,14454,0.01321969
2334,39300,1
2337,14460,1
2338,14454,0.001184483
2338,14460,0.998815517
2339,14460,0.979014599
2339,14454,0.020985401
2341,14460,0.956261682
2341,14454,0.043738318
2343,14460,0.982175671
2343,14454,0.017824329
2344,14460,1
2345,14460,1
2346,14454,0.020975913
2346,14460,0.979024087
2347,14460,0.975247525
2347,14454,0.01960396
2347,39300,0.005148515
2348,14460,1
2349,14460,1
2350,14460,1
2351,14460,0.955339069
2351,14454,0.044660931
2355,14460,1
2356,39300,0.998620927
2356,14460,0.001379073
2357,39300,1
2358,14460,1
2359,14460,0.997353914
2359,14454,0.002646086
2360,14454,0.042954821
2360,12700,0.00013086
2360,14460,0.956914319
2361,14460,1
2362,14460,1
2364,14460,0.97778799
2364,14454,0.02221201
2366,14460,1
2367,14460,1
2368,14454,0.004431411
2368,14460,0.995568589
2370,14454,0.025657473
2370,14460,0.974342527
2375,14460,0.000630915
2375,39300,0.999369085
2379,14460,0.974541473
2379,14454,0.025458527
2381,14460,1
2382,14460,0.94789916
2382,14454,0.05210084
2420,14460,0.995139912
2420,15764,0.004860088
2421,14460,0.996504854
2421,15764,0.003495146
2445,14454,0.158095746
2445,14460,0.841904254
2446,14460,0.912466576
2446,14454,0.087533424
2447,14460,1
2451,14460,0.978427279
2451,15764,0.021572721
2452,14460,0.990063655
2452,15764,0.009936345
2453,15764,0.086227321
2453,14460,0.913772679
2454,14460,1
2455,14460,1
2458,14460,0.999687158
2458,15764,0.000312842
2459,15764,0.008631024
2459,14460,0.991368976
2460,15764,0.003742368
2460,14460,0.996257632
2461,15764,0.013559322
2461,14460,0.986440678
2462,14460,1
2464,15764,0.027777778
2464,14460,0.972222222
2465,14460,0.979777553
2465,15764,0.020222447
2466,15764,0.014488716
2466,14460,0.985511284
2467,14460,0.969866201
2467,14454,0.027923211
2467,15764,0.002210588
2468,15764,0.003883495
2468,14460,0.996116505
2471,14460,1
2472,15764,0.041871012
2472,14460,0.958128988
2474,15764,0.026275002
2474,14460,0.973724998
2476,15764,0.019058172
2476,14460,0.980941828
2477,14460,1
2478,15764,0.035807717
2478,14460,0.964192283
2481,14454,0.008121906
2481,14460,0.991878094
2482,14454,0.013380164
2482,14460,0.986619836
2492,14460,0.996080993
2492,14454,0.003919007
2493,15764,0.003420265
2493,14460,0.996579735
2494,14454,0.021392032
2494,14460,0.978607968
2532,12700,0.823001403
2532,14460,0.176998597
2534,12700,1
2535,47240,1
2536,12700,1
2537,12700,1
2538,14460,0.989777778
2538,14454,0.010222222
2539,47240,1
2540,12700,1
2541,12700,1
2542,12700,1
2543,12700,1
2552,47240,1
2553,12700,1
2554,99999,1
2556,12700,1
2557,47240,1
2558,14460,1
2559,12700,1
2561,12700,1
2562,12700,1
2563,12700,1
2564,99999,1
2568,39300,0.00056319
2568,47240,0.99943681
2571,14460,0.99253397
2571,14454,0.00746603
2574,12700,1
2575,47240,1
2576,14454,0.006024096
2576,14460,0.993975904
2584,99999,1
2601,12700,1
2630,12700,1
2631,12700,1
2632,12700,1
2633,12700,1
2634,12700,1
2635,12700,1
2637,12700,1
2638,12700,1
2639,12700,1
2641,12700,1
2642,12700,1
2643,12700,1
2644,12700,1
2645,12700,1
2646,12700,1
2647,12700,1
2648,12700,1
2649,12700,1
2650,12700,1
2651,12700,1
2652,12700,1
2653,12700,1
2655,12700,1
2657,12700,1
2659,12700,1
2660,12700,1
2661,12700,1
2662,12700,1
2663,12700,1
2664,12700,1
2666,12700,1
2667,12700,1
2668,12700,1
2669,12700,1
2670,12700,1
2671,12700,1
2672,12700,1
2673,12700,1
2675,12700,1
2702,39300,1
2703,39300,1
2712,39300,1
2713,47240,1
2715,39300,1
2717,39300,1
2718,39300,1
2719,39300,1
2720,39300,1
2721,39300,1
2722,39300,1
2723,39300,1
2724,39300,1
2725,39300,1
2726,39300,1
2738,14460,0.999514091
2738,14454,0.000485909
2739,14454,0.000386324
2739,14460,0.999613676
2740,39300,1
2741,39300,1
2742,39300,1
2743,39300,1
2744,39300,1
2745,39300,1
2746,39300,1
2747,39300,1
2748,39300,1
2760,39300,1
2761,39300,1
2762,14454,0.007863009
2762,14460,0.992136991
2763,39300,1
2764,39300,1
2766,39300,1
2767,39300,0.997473997
2767,14460,0.002526003
2768,39300,1
2769,39300,1
2770,14460,0.996518106
2770,14454,0.002437326
2770,39300,0.001044568
2771,39300,1
2777,39300,1
2779,39300,0.987510073
2779,14460,0.012489927
2780,39300,1
2790,39300,1
2791,39300,1
2801,39300,1
2802,39300,1
2804,39300,1
2806,39300,1
2807,39300,1
2808,39300,1
2809,39300,1
2812,39300,1
2813,39300,1
2814,39300,1
2815,39300,1
2816,39300,1
2817,39300,1
2818,39300,1
2822,39300,1
2823,39300,1
2824,39300,1
2825,39300,1
2826,39300,1
2827,39300,1
2828,39300,1
2829,39300,1
2830,39300,1
2831,39300,1
2832,39300,1
2833,39300,1
2835,39300,1
2836,39300,1
2837,39300,1
2838,39300,1
2839,39300,1
2840,39300,1
2841,39300,1
2842,39300,1
2852,39300,1
2857,39300,1
2858,39300,1
2859,39300,1
2860,39300,1
2861,39300,1
2862,39300,1
2863,39300,1
2864,39300,1
2865,39300,1
2871,39300,1
2872,39300,1
2873,39300,1
2874,39300,1
2875,39300,1
2876,39300,1
2877,39300,1
2878,39300,1
2879,39300,1
2880,39300,1
2881,39300,1
2882,39300,1
2883,39300,1
2885,39300,1
2886,39300,1
2887,39300,1
2888,39300,1
2889,39300,1
2891,39300,1
2892,39300,1
2893,39300,1
2894,39300,1
2895,39300,1
2896,39300,1
2898,39300,1
2901,39300,1
2902,39300,1
2903,39300,1
2904,39300,1
2905,39300,1
2906,39300,1
2907,39300,1
2908,39300,1
2909,39300,1
2910,39300,1
2911,39300,1
2912,39300,1
2914,39300,1
2915,39300,1
2916,39300,1
2917,39300,1
2918,39300,1
2919,39300,1
2920,39300,1
2921,39300,1
2940,39300,1
3031,31700,1
3032,14460,1
3033,31700,1
3034,18180,0.00059988
3034,14460,0.99640072
3034,40484,0.0029994
3036,40484,0.002104156
3036,14460,0.997895844
3037,40484,0.008551577
3037,14460,0.991448423
3038,14460,0.999262495
3038,40484,0.000737505
3041,14460,1
3042,14460,0.995669657
3042,40484,0.004330343
3043,31700,1
3044,40484,0.000518135
3044,14460,0.999481865
3045,31700,0.999535316
3045,18180,0.000464684
3046,18180,1
3047,31700,1
3048,31700,1
3049,31700,1
3051,31700,1
3052,31700,1
3053,14460,0.989509361
3053,40484,0.010490639
3054,31700,1
3055,31700,1
3057,31700,1
3060,31700,1
3061,31700,1
3062,31700,1
3063,31700,1
3064,31700,1
3070,31700,1
3071,31700,1
3073,14460,1
3076,14460,0.0001523
3076,31700,0.9998477
3077,14460,0.996068694
3077,40484,0.003931306
3079,40484,0.003933364
3079,14460,0.996066636
3082,31700,1
3084,31700,1
3086,31700,1
3087,14460,0.997806115
3087,40484,0.002193885
3101,31700,1
3102,31700,0.997977301
3102,18180,0.002022699
3103,31700,0.995864351
3103,14460,0.004135649
3104,14460,0.000174815
3104,31700,0.997610862
3104,18180,0.002214323
3105,31700,1
3106,18180,0.997685483
3106,31700,0.002314517
3108,31700,1
3109,31700,1
3110,31700,1
3111,31700,1
3215,30100,1
3216,18180,1
3217,30100,0.996541288
3217,29060,0.003458712
3218,29060,1
3220,18180,0.009340659
3220,29060,0.990659341
3221,18180,1
3222,30100,1
3223,30100,1
3224,18180,1
3225,29060,1
3226,29060,0.994208494
3226,99999,0.005791506
3227,99999,1
3229,18180,1
3230,18180,1
3231,18180,1
3233,18180,1
3234,18180,1
3235,18180,1
3237,18180,0.001904762
3237,29060,0.998095238
3238,30100,1
3240,30100,1
3241,30100,1
3242,18180,1
3243,30100,0.042682927
3243,18180,0.957317073
3244,31700,0.994186047
3244,30100,0.005813953
3245,30100,0.999242424
3245,29060,0.000757576
3246,29060,1
3249,29060,1
3251,30100,1
3252,29060,1
3253,29060,1
3254,29060,0.001803752
3254,99999,0.998196248
3255,18180,1
3256,29060,1
3257,18180,0.994328922
3257,30100,0.005671078
3258,18180,1
3259,99999,1
3260,18180,1
3261,40484,0.001862197
3261,14460,0.998137803
3262,30100,1
3263,18180,1
3264,30100,1
3266,30100,1
3268,18180,1
3269,29060,1
3272,18180,1
3273,18180,1
3275,18180,1
3276,29060,0.511796733
3276,18180,0.488203267
3278,18180,1
3279,30100,1
3280,30100,0.956181534
3280,31700,0.001564945
3280,18180,0.001564945
3280,28300,0.040688576
3281,18180,0.000788644
3281,31700,0.999211356
3282,30100,1
3284,30100,1
3285,30100,1
3287,18180,1
3289,29060,1
3290,14460,1
3291,14460,1
3299,29060,1
3301,18180,1
3302,18180,1
3303,18180,1
3304,31700,0.002983455
3304,18180,0.997016545
3305,18180,1
3307,18180,1
3431,28300,1
3435,28300,1
3440,31700,1
3441,28300,1
3442,31700,1
3443,28300,1
3444,28300,1
3445,28300,1
3446,28300,1
3447,28300,1
3448,28300,1
3449,31700,1
3450,28300,1
3451,28300,1
3452,31700,0.001007049
3452,28300,0.998992951
3455,28300,1
3456,28300,1
3457,28300,1
3458,31700,0.999015748
3458,28300,0.000984252
3461,28300,1
3462,28300,1
3464,28300,1
3465,28300,1
3466,28300,1
3467,28300,1
3468,31700,1
3469,28300,1
3470,28300,1
3561,30100,1
3570,13620,1
3574,30100,0.978344934
3574,13620,0.021655066
3575,13620,1
3576,13620,1
3579,13620,1
3580,30100,1
3581,13620,1
3582,13620,1
3583,13620,1
3584,13620,1
3585,30100,1
3586,30100,1
3588,13620,1
3589,13620,1
3590,13620,1
3592,13620,1
3593,13620,1
3595,13620,1
3597,13620,1
3598,30100,0.00045683
3598,13620,0.99954317
3601,30100,1
3602,28300,0.774354704
3602,30100,0.225645296
3603,30100,1
3604,28300,1
3605,30100,1
3607,30100,1
3608,28300,1
3609,28300,1
3740,30100,1
3741,30100,1
3743,30100,1
3745,30100,1
3746,30100,1
3748,30100,1
3749,30100,1
3750,30100,1
3751,30100,1
3752,30100,1
3753,30100,1
3754,30100,1
3755,30100,1
3756,30100,1
3765,30100,1
3766,30100,1
3768,30100,1
3769,30100,1
3770,30100,1
3771,30100,1
3773,30100,1
3774,30100,1
3777,30100,1
3779,30100,1
3780,30100,1
3781,30100,1
3782,30100,0.999577524
3782,18180,0.000422476
3784,30100,1
3785,30100,1
3801,40484,0.003303827
3801,14460,0.996696173
3802,40484,0.991856678
3802,14460,0.008143322
3803,14460,1
3804,38860,1
3809,14460,0.00209351
3809,29060,0.99790649
3810,29060,1
3811,14460,0.984920834
3811,40484,0.015079166
3812,99999,1
3813,99999,1
3814,99999,1
3815,14460,1
3816,99999,1
3817,99999,1
3818,99999,1
3819,14460,0.992569659
3819,40484,0.007430341
3820,40484,0.017099711
3820,14460,0.982900289
3821,14460,1
3822,14460,1
3823,14460,0.997378768
3823,40484,0.002621232
3824,40484,0.004395336
3824,14460,0.995604664
3825,40484,0.002853067
3825,14460,0.997146933
3826,14460,1
3827,14460,1
3830,99999,1
3832,99999,1
3833,40484,0.021893815
3833,14460,0.978106185
3835,40484,0.000245339
3835,14460,0.999754661
3836,99999,1
3837,29060,1
3838,99999,1
