cbsa05,mburg05,mlarc05,mmoto05
36180,427,1581,101
36220,968,3813,238
36260,2443,12003,1043
36300,543,1887,68
36340,264,703,55
36380,431,630,88
36420,13426,42037,6127
36460,424,1800,64
36500,1793,5983,814
36540,5426,23328,5067
36580,245,807,32
36620,287,1060,115
36660,950,2222,219
36700,1404,3115,681
36740,20743,52158,9226
36780,639,2622,127
36820,88,337,29
36860,0,0,0
36900,353,919,66
36940,216,759,58
36980,609,1922,87
37020,367,1096,116
37060,256,624,65
37100,3773,10966,1988
37140,573,1842,215
37220,257,720,151
37260,1216,1990,292
37300,362,828,74
37340,4348,11499,1188
37380,394,1151,134
37420,229,717,55
37460,1373,5001,380
37500,529,1330,148
37540,329,767,76
37580,645,2268,96
37620,889,2929,237
37660,170,620,31
37700,1828,3333,652
37740,594,1072,131
37780,60,187,8
37800,101,258,13
37820,730,2463,345
37860,3363,9622,1172
37900,1839,4848,783
37940,194,707,64
37980,29106,109999,20125
38020,643,987,215
38060,39283,119770,42565
38100,353,873,70
38180,61,488,24
38200,44,344,32
38220,2175,3261,469
38260,362,1301,81
38300,11068,42707,5576
38340,747,1707,160
38380,302,1130,49
38420,121,445,23
38460,451,1360,26
38500,172,781,55
38540,480,2034,99
38580,536,1045,106
38620,468,1381,110
38700,0,0,0
38740,333,1359,139
38780,91,313,19
38820,488,1645,193
38860,2369,9562,606
38900,14951,64845,12415
38940,2896,7090,1022
39020,1314,3218,248
39060,477,1998,194
39100,2028,9914,657
39140,1317,4123,441
39220,160,521,39
39260,142,394,27
39300,8674,29000,5833
39340,2423,10329,735
39380,1909,6184,547
39420,176,608,41
39460,1200,3437,312
39500,27,99,7
39540,1377,5004,470
39580,7254,18004,1917
39660,677,2736,168
39700,261,747,19
39740,2463,7150,1577
39780,645,1048,213
39820,1578,3590,857
39860,196,1024,86
39900,3244,10828,2244
39940,62,346,29
39980,424,1560,170
40060,7205,29102,4227
40080,492,1615,134
40100,358,523,169
40140,32666,77113,30867
40180,141,862,47
40220,1535,7565,658
40260,1285,1911,227
40300,0,0,0
40340,610,2501,188
40380,5641,22855,3076
40420,2371,6758,977
40460,756,1518,99
40500,144,764,31
40540,268,1121,100
40580,2127,4594,378
40620,346,1340,96
40660,1084,3161,303
40700,800,2523,297
40740,1049,2497,175
40760,281,401,49
40780,617,1342,85
40820,474,1612,106
40860,328,1296,75
40900,18540,45159,18801
40940,354,763,114
40980,2203,4276,685
41060,725,3658,222
41100,548,1831,298
41140,983,3692,428
41180,14448,60556,12526
41220,346,1097,78
41260,136,429,21
41420,2786,12446,1992
41460,358,2511,130
41500,2809,9490,2319
41540,1302,3346,232
41580,1177,2989,314
41620,8144,42459,6116
41660,1226,4211,297
41700,18792,75016,6961
41740,17665,54206,25750
41780,595,2237,93
41820,607,1483,174
41860,31805,91906,38391
41940,8370,29919,8128
42020,1469,4434,524
42200,2084,6541,1112
42100,1940,7256,1059
42140,2613,2610,245
42220,2340,8417,1310
35840,6242,18794,1994
42300,189,605,50
42340,3276,10107,1774
42380,176,579,55
42420,205,1041,65
42460,352,1474,140
42500,148,679,41
42540,2710,9701,872
42580,1356,3556,274
42620,660,1395,194
42660,30750,105147,35784
42680,986,3035,272
42700,795,1703,158
42740,383,1415,78
42780,136,489,27
42820,342,812,67
42860,613,1448,161
42900,110,454,16
42940,1068,2479,304
42980,204,1362,100
43060,755,1550,273
43100,366,2485,107
43140,1189,2489,259
43180,399,652,107
43220,1088,2090,414
43260,59,455,25
43300,1059,3081,267
43340,4101,13132,1524
43380,290,864,81
43420,918,2947,482
43460,257,728,49
43500,255,695,62
43540,146,1289,55
43580,966,3023,264
43620,882,3699,378
43660,95,211,14
43700,373,1051,95
43740,325,627,80
43780,2709,9505,951
43860,698,1353,146
43900,2826,8294,942
43940,71,335,25
43980,91,301,21
44020,33,142,3
44060,3952,12660,2697
44100,1719,5288,338
44140,5350,12709,2869
44180,2780,13455,1210
44220,2385,5622,606
44260,167,738,24
44300,445,2270,95
44340,463,1713,114
44380,1487,2923,315
44420,354,1612,120
44500,140,634,37
44540,96,330,27
44580,0,0,0
44620,317,1250,42
44660,554,1773,99
44700,7088,22292,7172
44740,98,315,14
44780,353,1255,65
44860,197,350,45
44900,137,412,52
44940,1712,2886,316
44980,290,1033,93
45000,126,307,29
45020,152,265,24
45060,3568,10954,1225
45140,455,888,125
45180,604,2137,150
45220,4236,8171,1052
45260,144,428,42
45300,25217,73113,11839
45340,380,729,87
45380,0,0,0
45460,1386,5354,688
45500,1256,4034,414
45540,326,667,69
45580,210,697,62
45620,355,1101,75
45640,856,3639,429
45660,383,1007,64
45700,506,1930,153
45740,193,677,104
45780,8304,19712,3446
45820,2333,9368,861
45860,465,1658,130
45900,608,2025,95
45940,1978,6183,1076
45980,252,1090,33
46020,450,1070,202
46060,8080,32523,8449
46100,894,1907,231
46140,9540,22522,4876
46180,1097,2227,225
46220,2084,5834,480
46260,172,544,43
46300,698,2138,238
46340,1998,5086,415
46380,608,1094,188
46420,218,694,58
46460,256,990,112
46500,219,694,41
46540,1433,5458,232
46620,341,940,29
46660,1199,4571,376
46700,2525,8562,2575
46740,284,890,65
46780,185,642,24
46820,25,164,8
46860,211,478,56
46900,142,494,24
46980,519,1637,147
47020,1138,3418,233
47080,363,1092,109
47180,293,1191,82
47220,1336,4259,380
47260,10091,46688,4655
47300,4655,11733,3882
47340,121,387,29
47380,3181,8400,913
47420,78,396,39
47460,337,1484,105
47500,312,1141,166
47540,137,473,34
47580,1142,3269,309
47620,161,385,23
47660,315,857,61
47700,287,1457,87
47780,111,504,52
47820,450,854,75
47860,296,940,52
47900,20869,105487,32564
47940,1128,3284,245
47980,33,51,2
48020,196,1210,76
48060,510,2230,108
48100,192,568,61
48140,496,1836,96
48180,469,2024,147
48260,405,1768,123
48300,762,3258,234
48340,360,497,48
48460,295,875,116
48500,211,357,9
48540,689,1861,206
48580,387,1895,105
48620,4682,15988,2027
48660,2006,5982,612
48700,516,1888,148
48740,256,878,93
48780,49,163,50
48820,201,1006,48
48900,4759,8971,1206
48940,158,833,23
48980,930,1870,170
49020,428,2236,207
49060,296,927,71
49100,153,686,36
49180,6132,11997,1390
49260,241,477,16
49300,569,1552,118
49340,3482,9034,1777
49380,78,219,17
49420,3845,10264,2194
49460,74,332,11
49540,256,553,51
49620,1593,7810,569
49660,5320,13661,2090
49700,1551,3453,872
49740,1561,4277,988
49780,475,1839,137
