cbsa_fips,cbsa,inc_2005,inc_2015
27860,"Jonesboro, AR (Metropolitan Statistical Area)",25606,34084
27900,"Joplin, MO (Metropolitan Statistical Area)",26864,36749
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",32794,43633
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",32377,44184
28100,"Kankakee, IL (Metropolitan Statistical Area)",28916,37106
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",34742,49647
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",30201,41563
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",30421,39731
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",27691,36811
28740,"Kingston, NY (Metropolitan Statistical Area)",31939,44632
28940,"Knoxville, TN (Metropolitan Statistical Area)",30789,41673
29020,"Kokomo, IN (Metropolitan Statistical Area)",30441,38063
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",32199,45300
29180,"Lafayette, LA (Metropolitan Statistical Area)",29978,43354
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",27616,35660
29340,"Lake Charles, LA (Metropolitan Statistical Area)",28089,43779
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",23884,29366
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",29372,33508
29540,"Lancaster, PA (Metropolitan Statistical Area)",34699,46543
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",29337,37788
29700,"Laredo, TX (Metropolitan Statistical Area)",21367,29496
29740,"Las Cruces, NM (Metropolitan Statistical Area)",24900,33529
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",37838,42771
29940,"Lawrence, KS (Metropolitan Statistical Area)",28822,39680
30020,"Lawton, OK (Metropolitan Statistical Area)",28366,39123
30140,"Lebanon, PA (Metropolitan Statistical Area)",33066,42938
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",29095,40693
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",29720,37821
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",34200,44328
30620,"Lima, OH (Metropolitan Statistical Area)",28162,38360
30700,"Lincoln, NE (Metropolitan Statistical Area)",34436,45192
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",33794,42314
30860,"Logan, UT-ID (Metropolitan Statistical Area)",23146,34409
30980,"Longview, TX (Metropolitan Statistical Area)",28982,40710
31020,"Longview, WA (Metropolitan Statistical Area)",28493,41128
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",39596,56839
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",34325,45457
31180,"Lubbock, TX (Metropolitan Statistical Area)",27928,39331
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",28950,37719
