cbsa_fips,cbsa,population_2015,clusterm_10,clusterm_18
17460,"Cleveland-Elyria, OH",2064284,2,2
18140,"Columbus, OH",2027559,1,14
12420,"Austin-Round Rock, TX",2002591,3,3
26900,"Indianapolis-Carmel-Anderson, IN",1985844,1,14
41940,"San Jose-Sunnyvale-Santa Clara, CA",1975724,10,16
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1829347,1,14
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1719838,4,4
39300,"Providence-Warwick, RI-MA",1613051,8,12
33340,"Milwaukee-Waukesha-West Allis, WI",1576781,8,12
27260,"Jacksonville, FL",1444715,1,14
36420,"Oklahoma City, OK",1358012,1,14
32820,"Memphis, TN-MS-AR",1343842,1,14
31140,"Louisville/Jefferson County, KY-IN",1278977,1,14
39580,"Raleigh, NC",1271196,3,3
40060,"Richmond, VA",1269483,1,14
35380,"New Orleans-Metairie, LA",1260452,2,17
25540,"Hartford-West Hartford-East Hartford, CT",1211598,8,12
41620,"Salt Lake City, UT",1165246,3,3
13820,"Birmingham-Hoover, AL",1144734,2,5
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1132909,2,2
40380,"Rochester, NY",1076800,2,2
24340,"Grand Rapids-Wyoming, MI",1040441,5,9
46060,"Tucson, AZ",1009737,3,3
46140,"Tulsa, OK",981521,1,14
23420,"Fresno, CA",970442,7,11
14860,"Bridgeport-Stamford-Norwalk, CT",945301,8,12
49340,"Worcester, MA-CT",934848,2,2
36540,"Omaha-Council Bluffs, NE-IA",913201,5,9
10740,"Albuquerque, NM",906548,3,3
10580,"Albany-Schenectady-Troy, NY",879131,2,2
12540,"Bakersfield, CA",877197,7,11
24860,"Greenville-Anderson-Mauldin, SC",872598,1,1
28940,"Knoxville, TN",860324,1,1
35300,"New Haven-Milford, CT",860292,8,12
37100,"Oxnard-Thousand Oaks-Ventura, CA",846922,10,16
32580,"McAllen-Edinburg-Mission, TX",841061,7,11
21340,"El Paso, TX",837500,7,11
10900,"Allentown-Bethlehem-Easton, PA-NJ",830361,4,4
12940,"Baton Rouge, LA",828211,1,14
17900,"Columbia, SC",809244,1,14
19380,"Dayton, OH",800198,2,2
35840,"North Port-Sarasota-Bradenton, FL",767429,9,13
24660,"Greensboro-High Point, NC",751724,1,14
16700,"Charleston-North Charleston, SC",745188,1,14
30780,"Little Rock-North Little Rock-Conway, AR",730897,1,14
44700,"Stockton-Lodi, CA",721929,7,11
10420,"Akron, OH",704448,2,2
15980,"Cape Coral-Fort Myers, FL",699530,3,3
17820,"Colorado Springs, CO",697533,5,6
14260,"Boise City, ID",674874,3,3
45060,"Syracuse, NY",657633,2,2
49180,"Winston-Salem, NC",656352,1,1
29460,"Lakeland-Winter Haven, FL",648758,9,13
48620,"Wichita, KS",643257,5,9
36260,"Ogden-Clearfield, UT",640517,5,6
31540,"Madison, WI",640028,6,8
44140,"Springfield, MA",629998,2,2
19780,"Des Moines-West Des Moines, IA",622992,5,9
19660,"Deltona-Daytona Beach-Ormond Beach, FL",621338,9,13
45780,"Toledo, OH",605182,2,2
12260,"Augusta-Richmond County, GA-SC",589476,1,1
39340,"Provo-Orem, UT",583191,5,6
27140,"Jackson, MS",579595,1,14
37340,"Palm Bay-Melbourne-Titusville, FL",565992,9,13
25420,"Harrisburg-Carlisle, PA",564752,2,2
42540,"Scranton--Wilkes-Barre--Hazleton, PA",557690,2,5
20500,"Durham-Chapel Hill, NC",549596,6,10
49660,"Youngstown-Warren-Boardman, OH-PA",548873,2,5
16860,"Chattanooga, TN-GA",547295,1,1
44060,"Spokane-Spokane Valley, WA",545380,5,6
29540,"Lancaster, PA",535737,5,9
33700,"Modesto, CA",533534,7,11
38860,"Portland-South Portland, ME",525926,5,9
22220,"Fayetteville-Springdale-Rogers, AR-MO",514579,1,14
30460,"Lexington-Fayette, KY",501668,1,14
42220,"Santa Rosa, CA",501346,10,16
29180,"Lafayette, LA",489537,1,14
37860,"Pensacola-Ferry Pass-Brent, FL",475563,5,6
29620,"Lansing-East Lansing, MI",472839,2,2
47300,"Visalia-Porterville, CA",457803,7,11
44180,"Springfield, MO",455512,5,6
38940,"Port St. Lucie, FL",453066,9,13
18580,"Corpus Christi, TX",452557,1,1
39900,"Reno, NV",446606,3,3
11700,"Asheville, NC",444673,1,1
26620,"Huntsville, AL",444560,1,14
43340,"Shreveport-Bossier City, LA",444104,1,1
42200,"Santa Maria-Santa Barbara, CA",442522,10,16
49620,"York-Hanover, PA",441800,5,9
46700,"Vallejo-Fairfield, CA",433708,10,16
28660,"Killeen-Temple, TX",432750,1,1
41500,"Salinas, CA",431241,10,16
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",431167,9,13
23060,"Fort Wayne, IN",428843,5,9
15180,"Brownsville-Harlingen, TX",420058,7,11
39740,"Reading, PA",415193,4,4
33660,"Mobile, AL",414935,1,1
22420,"Flint, MI",410470,2,2
13140,"Beaumont-Port Arthur, TX",409098,1,1
31700,"Manchester-Nashua, NH",408811,3,3
41420,"Salem, OR",408278,5,6
15940,"Canton-Massillon, OH",402428,2,5
41540,"Salisbury, MD-DE",393535,1,1
