cbsa_fips,name,gmp,pop,a1,a2,b1,b2,quadrant,label
20700,"East Stroudsburg, PA",-0.039034886,0.22464254,0,0,3,0,3,0
42680,"Sebastian-Vero Beach, FL",-0.149338765,0.222059904,0,0,3,0,3,0
36500,"Olympia-Tumwater, WA",-0.015498799,0.216580261,0,0,3,0,3,0
44700,"Stockton-Lodi, CA",-0.06894269,0.215948247,0,0,3,0,3,0
10740,"Albuquerque, NM",-0.009636255,0.215758536,0,0,3,0,3,0
25180,"Hagerstown-Martinsburg, MD-WV",-0.059763367,0.208146482,0,0,3,0,3,0
15260,"Brunswick, GA",-0.058621872,0.207708181,0,0,3,0,3,0
27260,"Jacksonville, FL",-0.063803111,0.198482298,0,0,3,0,3,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-0.10821151,0.196915902,0,0,3,0,3,0
40900,"Sacramento--Roseville--Arden-Arcade, CA",-0.048845877,0.196047877,0,0,3,0,3,0
41540,"Salisbury, MD-DE",-0.010946428,0.195890867,0,0,3,0,3,0
35840,"North Port-Sarasota-Bradenton, FL",-0.027543219,0.190389502,0,0,3,0,3,0
17900,"Columbia, SC",-0.006016497,0.18610602,0,0,3,0,3,0
44180,"Springfield, MO",-0.036299668,0.18551255,0,0,3,0,3,0
21340,"El Paso, TX",-0.11360024,0.177398289,0,0,3,0,3,0
17860,"Columbia, MO",-0.023159789,0.172795929,0,0,3,0,3,0
46660,"Valdosta, GA",-0.022497188,0.167514219,0,0,3,0,3,0
46060,"Tucson, AZ",-0.052710094,0.161798693,0,0,3,0,3,0
12020,"Athens-Clarke County, GA",-0.035251758,0.159333811,0,0,3,0,3,0
30460,"Lexington-Fayette, KY",-0.020002054,0.15618158,0,0,3,0,3,0
15500,"Burlington, NC",-0.104769046,0.15543578,0,0,3,0,3,0
19740,"Denver-Aurora-Lakewood, CO",-0.004228902,0.152861121,0,0,3,0,3,0
45220,"Tallahassee, FL",-0.098577367,0.147075903,0,0,3,0,3,0
22140,"Farmington, NM",-0.085334516,0.14273161,0,0,3,0,3,0
40060,"Richmond, VA",-0.062381127,0.140655764,0,0,3,0,3,0
24860,"Greenville-Anderson-Mauldin, SC",-0.03125,0.135641054,0,0,3,0,3,0
34580,"Mount Vernon-Anacortes, WA",-0.069585517,0.135192612,0,0,3,0,3,0
10540,"Albany, OR",-0.064748693,0.131979548,0,0,3,0,3,0
39460,"Punta Gorda, FL",-0.086893113,0.129572751,0,0,3,0,3,0
41420,"Salem, OR",-0.039471205,0.125352088,0,0,3,0,3,0
24660,"Greensboro-High Point, NC",-0.016831109,0.124910247,0,0,3,0,3,0
39380,"Pueblo, CO",-0.039660057,0.124342626,0,0,3,0,3,0
32780,"Medford, OR",-0.079914278,0.121019038,0,0,3,0,3,0
42140,"Santa Fe, NM",-0.024450146,0.115072858,0,0,3,0,3,0
17420,"Cleveland, TN",-0.06176746,0.113185598,0,0,3,0,3,0
20020,"Dothan, AL",-0.051696234,0.112928986,0,0,3,0,3,0
12260,"Augusta-Richmond County, GA-SC",-0.014437583,0.111884684,0,0,3,0,3,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-0.020764904,0.111245907,0,0,3,0,3,0
23900,"Gettysburg, PA",-0.022316644,0.110798317,0,0,3,0,3,0
34100,"Morristown, TN",-0.070766477,0.109903234,0,0,3,0,3,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",-0.070011143,0.109101223,0,0,3,0,3,0
29940,"Lawrence, KS",-0.051205078,0.108681299,0,0,3,0,3,0
29540,"Lancaster, PA",-0.031496248,0.103657008,0,0,3,0,3,0
39740,"Reading, PA",-0.036607848,0.101178146,0,0,3,0,3,0
34900,"Napa, CA",-0.063839121,0.098206455,0,0,3,0,3,0
28100,"Kankakee, IL",-0.006138756,0.092610249,0,0,3,0,3,0
32820,"Memphis, TN-MS-AR",-0.058023812,0.092014298,0,0,3,0,3,0
40420,"Rockford, IL",-0.049391921,0.091276186,0,0,3,0,3,0
12100,"Atlantic City-Hammonton, NJ",-0.038124566,0.087098894,0,0,3,0,3,0
39820,"Redding, CA",-0.109833365,0.085552752,0,0,3,0,3,0
24140,"Goldsboro, NC",-0.031482265,0.082009018,0,0,3,0,3,0
25860,"Hickory-Lenoir-Morganton, NC",-0.129890893,0.069170487,0,0,3,0,3,0
