cbsa_fips,cbsa,percapita_income_2015
19060,"Cumberland, MD-WV ",36672
19100,"Dallas-Fort Worth-Arlington, TX ",50743
19140,"Dalton, GA ",33182
19180,"Danville, IL ",36124
19300,"Daphne-Fairhope-Foley, AL ",41449
19340,"Davenport-Moline-Rock Island, IA-IL ",44986
19430,"Dayton-Kettering, OH ",43082
19460,"Decatur, AL ",35491
19500,"Decatur, IL ",44493
19660,"Deltona-Daytona Beach-Ormond Beach, FL ",38497
19740,"Denver-Aurora-Lakewood, CO ",56601
19780,"Des Moines-West Des Moines, IA ",49700
19820,"Detroit-Warren-Dearborn, MI ",47836
20020,"Dothan, AL ",37246
20100,"Dover, DE ",37957
20220,"Dubuque, IA ",44645
20260,"Duluth, MN-WI ",42268
20500,"Durham-Chapel Hill, NC ",47810
20700,"East Stroudsburg, PA ",38247
20740,"Eau Claire, WI ",43088
20940,"El Centro, CA ",35494
21060,"Elizabethtown-Fort Knox, KY ",38811
21140,"Elkhart-Goshen, IN ",40195
21300,"Elmira, NY ",40170
21340,"El Paso, TX ",32811
21420,"Enid, OK ",44103
21500,"Erie, PA ",40665
21660,"Eugene-Springfield, OR ",41181
21780,"Evansville, IN-KY ",43407
21820,"Fairbanks, AK ",53781
22020,"Fargo, ND-MN ",50419
22140,"Farmington, NM ",34290
22180,"Fayetteville, NC ",34365
22220,"Fayetteville-Springdale-Rogers, AR ",58205
22380,"Flagstaff, AZ ",42726
22420,"Flint, MI ",37179
22500,"Florence, SC ",36497
22520,"Florence-Muscle Shoals, AL ",35271
22540,"Fond du Lac, WI ",43787
22660,"Fort Collins, CO ",46943
22900,"Fort Smith, AR-OK ",35500
23060,"Fort Wayne, IN ",42212
23420,"Fresno, CA ",39725
23460,"Gadsden, AL ",34077
23540,"Gainesville, FL ",38489
23580,"Gainesville, GA ",38864
23900,"Gettysburg, PA ",44844
24020,"Glens Falls, NY ",41433
24140,"Goldsboro, NC ",35704
24220,"Grand Forks, ND-MN ",46258
24260,"Grand Island, NE ",41296
24300,"Grand Junction, CO ",40293
24340,"Grand Rapids-Kentwood, MI ",45912
24420,"Grants Pass, OR ",36728
24500,"Great Falls, MT ",43223
24540,"Greeley, CO ",43807
24580,"Green Bay, WI ",47001
24660,"Greensboro-High Point, NC ",40407
24780,"Greenville, NC ",38003
24860,"Greenville-Anderson, SC ",40328
25060,"Gulfport-Biloxi, MS ",34867
25180,"Hagerstown-Martinsburg, MD-WV ",40190
25220,"Hammond, LA ",36045
25260,"Hanford-Corcoran, CA ",32605
25420,"Harrisburg-Carlisle, PA ",47895
25500,"Harrisonburg, VA ",36833
25540,"Hartford-East Hartford-Middletown, CT ",58981
25620,"Hattiesburg, MS ",35774
25860,"Hickory-Lenoir-Morganton, NC ",35772
25940,"Hilton Head Island-Bluffton, SC ",47801
25980,"Hinesville, GA ",31696
26140,"Homosassa Springs, FL ",35605
26300,"Hot Springs, AR ",36630
26380,"Houma-Thibodaux, LA ",43824
26420,"Houston-The Woodlands-Sugar Land, TX ",54158
26580,"Huntington-Ashland, WV-KY-OH ",36432
26620,"Huntsville, AL ",45110
26820,"Idaho Falls, ID ",40152
26900,"Indianapolis-Carmel-Anderson, IN ",49306
26980,"Iowa City, IA ",48092
27060,"Ithaca, NY ",41060
27100,"Jackson, MI ",35789
27140,"Jackson, MS ",41257
27180,"Jackson, TN ",36958
27260,"Jacksonville, FL ",45045
27340,"Jacksonville, NC ",43017
27500,"Janesville-Beloit, WI ",40098
