cbsa_fips,csa_fips,cbsa,cbsa_type,csa
41860,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
44700,488,"Stockton-Lodi, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
42020,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metropolitan Statistical Area,
41860,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
42200,,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,
41940,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
42100,488,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
39820,454,"Redding, CA",Metropolitan Statistical Area,"Redding-Red Bluff, CA"
46700,488,"Vallejo-Fairfield, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
42220,488,"Santa Rosa, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
33700,382,"Modesto, CA",Metropolitan Statistical Area,"Modesto-Merced, CA"
49700,472,"Yuba City, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
39780,454,"Red Bluff, CA",Micropolitan Statistical Area,"Redding-Red Bluff, CA"
47300,546,"Visalia-Porterville, CA",Metropolitan Statistical Area,"Visalia-Porterville-Hanford, CA"
43760,,"Sonora, CA",Micropolitan Statistical Area,
37100,348,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach, CA"
40900,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
49700,472,"Yuba City, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
14500,216,"Boulder, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
20780,233,"Edwards, CO",Micropolitan Statistical Area,"Edwards-Glenwood Springs, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
17820,,"Colorado Springs, CO",Metropolitan Statistical Area,
15860,444,"Cañon City, CO",Micropolitan Statistical Area,"Pueblo-Cañon City, CO"
24060,233,"Glenwood Springs, CO",Micropolitan Statistical Area,"Edwards-Glenwood Springs, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
20420,,"Durango, CO",Micropolitan Statistical Area,
22660,,"Fort Collins, CO",Metropolitan Statistical Area,
44540,,"Sterling, CO",Micropolitan Statistical Area,
24300,,"Grand Junction, CO",Metropolitan Statistical Area,
18780,525,"Craig, CO",Micropolitan Statistical Area,"Steamboat Springs-Craig, CO"
33940,,"Montrose, CO",Micropolitan Statistical Area,
22820,,"Fort Morgan, CO",Micropolitan Statistical Area,
19740,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
24060,233,"Glenwood Springs, CO",Micropolitan Statistical Area,"Edwards-Glenwood Springs, CO"
39380,444,"Pueblo, CO",Metropolitan Statistical Area,"Pueblo-Cañon City, CO"
44460,525,"Steamboat Springs, CO",Micropolitan Statistical Area,"Steamboat Springs-Craig, CO"
14720,,"Breckenridge, CO",Micropolitan Statistical Area,
17820,,"Colorado Springs, CO",Metropolitan Statistical Area,
24540,216,"Greeley, CO",Metropolitan Statistical Area,"Denver-Aurora, CO"
14860,408,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,"New York-Newark, NY-NJ-CT-PA"
25540,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"Hartford-West Hartford, CT"
45860,408,"Torrington, CT",Micropolitan Statistical Area,"New York-Newark, NY-NJ-CT-PA"
25540,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"Hartford-West Hartford, CT"
35300,408,"New Haven-Milford, CT",Metropolitan Statistical Area,"New York-Newark, NY-NJ-CT-PA"
35980,278,"Norwich-New London, CT",Metropolitan Statistical Area,"Hartford-West Hartford, CT"
25540,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"Hartford-West Hartford, CT"
49340,148,"Worcester, MA-CT",Metropolitan Statistical Area,"Boston-Worcester-Providence, MA-RI-NH-CT"
20100,428,"Dover, DE",Metropolitan Statistical Area,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
37980,428,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
41540,,"Salisbury, MD-DE",Metropolitan Statistical Area,
47900,548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
23540,264,"Gainesville, FL",Metropolitan Statistical Area,"Gainesville-Lake City, FL"
27260,300,"Jacksonville, FL",Metropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
37460,,"Panama City, FL",Metropolitan Statistical Area,
37340,,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,
33100,370,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
39460,412,"Punta Gorda, FL",Metropolitan Statistical Area,"North Port-Sarasota, FL"
26140,,"Homosassa Springs, FL",Metropolitan Statistical Area,
27260,300,"Jacksonville, FL",Metropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
34940,162,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,"Cape Coral-Fort Myers-Naples, FL"
29380,264,"Lake City, FL",Micropolitan Statistical Area,"Gainesville-Lake City, FL"
11580,412,"Arcadia, FL",Micropolitan Statistical Area,"North Port-Sarasota, FL"
27260,300,"Jacksonville, FL",Metropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
37860,,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,
19660,422,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
45220,533,"Tallahassee, FL",Metropolitan Statistical Area,"Tallahassee-Bainbridge, FL-GA"
23540,264,"Gainesville, FL",Metropolitan Statistical Area,"Gainesville-Lake City, FL"
37460,,"Panama City, FL",Metropolitan Statistical Area,
48100,,"Wauchula, FL",Micropolitan Statistical Area,
17500,,"Clewiston, FL",Micropolitan Statistical Area,
45300,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,
42700,,"Sebring, FL",Metropolitan Statistical Area,
45300,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,
42680,370,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
45220,533,"Tallahassee, FL",Metropolitan Statistical Area,"Tallahassee-Bainbridge, FL-GA"
36740,422,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
15980,162,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,"Cape Coral-Fort Myers-Naples, FL"
45220,533,"Tallahassee, FL",Metropolitan Statistical Area,"Tallahassee-Bainbridge, FL-GA"
35840,412,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,"North Port-Sarasota, FL"
36100,,"Ocala, FL",Metropolitan Statistical Area,
38940,370,"Port St. Lucie, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
33100,370,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
28580,,"Key West, FL",Micropolitan Statistical Area,
27260,300,"Jacksonville, FL",Metropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
18880,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,
36380,370,"Okeechobee, FL",Micropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
36740,422,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
36740,422,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
33100,370,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
45300,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,
45300,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,
29460,,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,
37260,300,"Palatka, FL",Micropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
27260,300,"Jacksonville, FL",Metropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
38940,370,"Port St. Lucie, FL",Metropolitan Statistical Area,"Miami-Fort Lauderdale-Port St. Lucie, FL"
37860,,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,
35840,412,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,"North Port-Sarasota, FL"
36740,422,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
45540,422,"The Villages, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
19660,422,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"Orlando-Deltona-Daytona Beach, FL"
45220,533,"Tallahassee, FL",Metropolitan Statistical Area,"Tallahassee-Bainbridge, FL-GA"
18880,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,
10500,,"Albany, GA",Metropolitan Statistical Area,
33300,,"Milledgeville, GA",Micropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
22340,,"Fitzgerald, GA",Micropolitan Statistical Area,
31420,356,"Macon, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
15260,,"Brunswick, GA",Metropolitan Statistical Area,
46660,,"Valdosta, GA",Metropolitan Statistical Area,
42340,496,"Savannah, GA",Metropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
44340,496,"Statesboro, GA",Micropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
12260,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
41220,300,"St. Marys, GA",Micropolitan Statistical Area,"Jacksonville-St. Marys-Palatka, FL-GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
16860,174,"Chattanooga, TN-GA",Metropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
42340,496,"Savannah, GA",Metropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
17980,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
44900,470,"Summerville, GA",Micropolitan Statistical Area,"Rome-Summerville, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12020,122,"Athens-Clarke County, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
20060,,"Douglas, GA",Micropolitan Statistical Area,
34220,,"Moultrie, GA",Micropolitan Statistical Area,
12260,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
31420,356,"Macon, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
18380,,"Cordele, GA",Micropolitan Statistical Area,
16860,174,"Chattanooga, TN-GA",Metropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12460,533,"Bainbridge, GA",Micropolitan Statistical Area,"Tallahassee-Bainbridge, FL-GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
10500,,"Albany, GA",Metropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
46660,,"Valdosta, GA",Metropolitan Statistical Area,
42340,496,"Savannah, GA",Metropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
40660,470,"Rome, GA",Metropolitan Statistical Area,"Rome-Summerville, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
15260,,"Brunswick, GA",Metropolitan Statistical Area,
15660,122,"Calhoun, GA",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
18460,,"Cornelia, GA",Micropolitan Statistical Area,
23580,122,"Gainesville, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
33300,,"Milledgeville, GA",Micropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
17980,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
47580,356,"Warner Robins, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
27600,122,"Jefferson, GA",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
20140,,"Dublin, GA",Micropolitan Statistical Area,
31420,356,"Macon, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
46660,,"Valdosta, GA",Metropolitan Statistical Area,
20140,,"Dublin, GA",Micropolitan Statistical Area,
10500,,"Albany, GA",Metropolitan Statistical Area,
25980,496,"Hinesville, GA",Metropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
12260,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,
25980,496,"Hinesville, GA",Metropolitan Statistical Area,"Savannah-Hinesville-Statesboro, GA"
46660,,"Valdosta, GA",Metropolitan Statistical Area,
12260,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,
15260,,"Brunswick, GA",Metropolitan Statistical Area,
12020,122,"Athens-Clarke County, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
17980,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
31420,356,"Macon, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
47080,,"Vidalia, GA",Micropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
19140,174,"Dalton, GA",Metropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
17980,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
