cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
38860,"Portland-South Portland, ME",2,4,4,3,1,7,4,2
38900,"Portland-Vancouver-Hillsboro, OR-WA",3,8,7,4,2,6,6,3
38940,"Port St. Lucie, FL",1,10,9,6,1,8,3,1
39140,"Prescott, AZ",1,10,9,6,1,8,3,1
39300,"Providence-Warwick, RI-MA",2,4,4,3,1,4,4,2
39340,"Provo-Orem, UT",4,9,8,5,1,1,1,1
39380,"Pueblo, CO",1,1,1,1,1,3,3,1
39460,"Punta Gorda, FL",1,10,9,6,1,8,3,1
39540,"Racine, WI",2,2,2,2,1,2,2,2
39580,"Raleigh, NC",3,8,7,4,1,1,1,1
39660,"Rapid City, SD",2,6,6,3,1,1,1,1
39740,"Reading, PA",2,4,4,3,1,4,4,2
39820,"Redding, CA",1,1,1,1,1,1,1,1
39900,"Reno, NV",3,5,5,4,2,9,7,4
40060,"Richmond, VA",2,6,6,3,1,1,1,1
40140,"Riverside-San Bernardino-Ontario, CA",4,9,8,5,2,6,6,3
40220,"Roanoke, VA",2,6,6,3,1,3,3,1
40340,"Rochester, MN",2,6,6,3,1,1,1,1
40380,"Rochester, NY",2,2,2,2,1,2,2,2
40420,"Rockford, IL",2,12,6,3,1,4,4,2
40580,"Rocky Mount, NC",1,3,3,1,1,3,3,1
40660,"Rome, GA",1,3,3,1,1,3,3,1
40900,"Sacramento--Roseville--Arden-Arcade, CA",4,9,8,5,2,6,6,3
40980,"Saginaw, MI",2,7,2,2,1,2,2,2
41060,"St. Cloud, MN",2,6,6,3,1,1,1,1
41100,"St. George, UT",1,1,1,1,1,1,1,1
41140,"St. Joseph, MO-KS",2,7,2,2,1,2,2,2
41180,"St. Louis, MO-IL",2,2,2,2,2,6,6,3
41420,"Salem, OR",2,6,6,3,1,1,1,1
41500,"Salinas, CA",4,9,8,5,1,5,5,1
41540,"Salisbury, MD-DE",1,1,1,1,1,1,1,1
41620,"Salt Lake City, UT",3,5,5,4,1,1,1,1
41660,"San Angelo, TX",1,1,1,1,1,5,5,1
41700,"San Antonio-New Braunfels, TX",1,1,1,1,1,1,1,1
41740,"San Diego-Carlsbad, CA",3,8,7,4,2,6,6,3
41860,"San Francisco-Oakland-Hayward, CA",5,11,10,7,3,10,8,5
41940,"San Jose-Sunnyvale-Santa Clara, CA",3,8,7,4,2,9,7,4
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",3,8,7,4,1,1,1,1
42100,"Santa Cruz-Watsonville, CA",3,8,7,4,1,1,1,1
42140,"Santa Fe, NM",3,5,5,4,2,9,7,4
42200,"Santa Maria-Santa Barbara, CA",3,8,7,4,1,1,1,1
42220,"Santa Rosa, CA",3,8,7,4,1,1,1,1
42340,"Savannah, GA",1,1,1,1,1,1,1,1
42540,"Scranton--Wilkes-Barre--Hazleton, PA",2,7,2,2,1,2,2,2
42660,"Seattle-Tacoma-Bellevue, WA",3,5,5,4,2,9,7,4
42680,"Sebastian-Vero Beach, FL",1,10,9,6,1,8,3,1
43100,"Sheboygan, WI",2,6,6,3,1,2,2,2
43300,"Sherman-Denison, TX",1,3,3,1,1,1,1,1
43340,"Shreveport-Bossier City, LA",1,3,3,1,1,5,5,1
43580,"Sioux City, IA-NE-SD",2,6,6,3,1,1,1,1
43620,"Sioux Falls, SD",2,6,6,3,1,1,1,1
43780,"South Bend-Mishawaka, IN-MI",2,2,2,2,1,2,2,2
43900,"Spartanburg, SC",2,7,2,2,1,2,2,2
44060,"Spokane-Spokane Valley, WA",1,1,1,1,1,4,4,2
44100,"Springfield, IL",1,1,1,1,1,3,3,1
44140,"Springfield, MA",2,4,4,3,1,2,2,2
44180,"Springfield, MO",1,1,1,1,1,1,1,1
44220,"Springfield, OH",2,2,2,2,1,2,2,2
44300,"State College, PA",3,8,7,4,1,1,1,1
44700,"Stockton-Lodi, CA",4,9,8,5,1,5,5,1
44940,"Sumter, SC",1,3,3,1,1,3,3,1
45060,"Syracuse, NY",2,2,2,2,1,2,2,2
45220,"Tallahassee, FL",1,1,1,1,1,3,3,1
45300,"Tampa-St. Petersburg-Clearwater, FL",3,5,5,4,1,1,1,1
45460,"Terre Haute, IN",2,7,2,2,1,2,2,2
45500,"Texarkana, TX-AR",1,3,3,1,1,3,3,1
45780,"Toledo, OH",2,2,2,2,1,2,2,2
45820,"Topeka, KS",1,1,1,1,1,3,3,1
45940,"Trenton, NJ",5,13,11,8,5,13,11,8
46060,"Tucson, AZ",3,5,5,4,1,1,1,1
46140,"Tulsa, OK",1,1,1,1,1,5,5,1
