cbsa_fips,cbsa,cbsa_type,city,city_fips
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Jacksonville,138272
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Oxford,157576
11540,"Appleton, WI",Metropolitan Statistical Area,Appleton,5502375
11580,"Arcadia, FL",Micropolitan Statistical Area,Arcadia,1201750
11620,"Ardmore, OK",Micropolitan Statistical Area,Ardmore,4002600
11640,"Arecibo, PR",Metropolitan Statistical Area,Arecibo,7203368
11660,"Arkadelphia, AR",Micropolitan Statistical Area,Arkadelphia,501870
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,Arkansas City,2002300
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,Winfield,2079950
11700,"Asheville, NC",Metropolitan Statistical Area,Asheville,3702140
11740,"Ashland, OH",Micropolitan Statistical Area,Ashland,3902568
11780,"Ashtabula, OH",Micropolitan Statistical Area,Ashtabula,3902638
11820,"Astoria, OR",Micropolitan Statistical Area,Astoria,4103150
11860,"Atchison, KS",Micropolitan Statistical Area,Atchison,2002900
11900,"Athens, OH",Micropolitan Statistical Area,Athens,3902736
11940,"Athens, TN",Micropolitan Statistical Area,Athens,4702320
11980,"Athens, TX",Micropolitan Statistical Area,Athens,4804504
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Athens-Clarke County unified government (balance),1303440
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Alpharetta,1301696
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Atlanta,1304000
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Marietta,1349756
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Roswell,1367284
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Sandy Springs,1368516
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Atlantic City,3402080
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Hammonton,3429430
12140,"Auburn, IN",Micropolitan Statistical Area,Auburn,1802674
12180,"Auburn, NY",Micropolitan Statistical Area,Auburn,3603078
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Auburn,103076
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Opelika,157048
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Augusta-Richmond County consolidated government (balance),1304204
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Augusta,2302100
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Waterville,2380740
12380,"Austin, MN",Micropolitan Statistical Area,Austin,2702908
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Austin,4805000
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Round Rock,4863500
12460,"Bainbridge, GA",Micropolitan Statistical Area,Bainbridge,1304896
12540,"Bakersfield, CA",Metropolitan Statistical Area,Bakersfield,603526
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Baltimore,2404000
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Columbia,2419125
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Towson,2478425
12620,"Bangor, ME",Metropolitan Statistical Area,Bangor,2302795
12660,"Baraboo, WI",Micropolitan Statistical Area,Baraboo,5504625
12680,"Bardstown, KY",Micropolitan Statistical Area,Bardstown,2103628
12700,"Barnstable Town, MA",Metropolitan Statistical Area,Barnstable Town,﻿2503600
12740,"Barre, VT",Micropolitan Statistical Area,Barre,5003175
12780,"Bartlesville, OK",Micropolitan Statistical Area,Bartlesville,4004450
12820,"Bastrop, LA",Micropolitan Statistical Area,Bastrop,2204685
12860,"Batavia, NY",Micropolitan Statistical Area,Batavia,3604715
12900,"Batesville, AR",Micropolitan Statistical Area,Batesville,504030
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Baton Rouge,2205000
12980,"Battle Creek, MI",Metropolitan Statistical Area,Battle Creek,2605920
13020,"Bay City, MI",Metropolitan Statistical Area,Bay City,2606020
13060,"Bay City, TX",Micropolitan Statistical Area,Bay City,4805984
13100,"Beatrice, NE",Micropolitan Statistical Area,Beatrice,3103390
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Beaumont,4807000
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Port Arthur,4858820
13180,"Beaver Dam, WI",Micropolitan Statistical Area,Beaver Dam,5505900
13220,"Beckley, WV",Metropolitan Statistical Area,Beckley,5405332
13260,"Bedford, IN",Micropolitan Statistical Area,Bedford,1804114
13300,"Beeville, TX",Micropolitan Statistical Area,Beeville,4807192
13340,"Bellefontaine, OH",Micropolitan Statistical Area,Bellefontaine,3905130
13380,"Bellingham, WA",Metropolitan Statistical Area,Bellingham,5305280
13420,"Bemidji, MN",Micropolitan Statistical Area,Bemidji,2705068
13460,"Bend-Redmond, OR",Metropolitan Statistical Area,Bend,4105800
13460,"Bend-Redmond, OR",Metropolitan Statistical Area,Redmond,4161200
13500,"Bennettsville, SC",Micropolitan Statistical Area,Bennettsville,4505680
13540,"Bennington, VT",Micropolitan Statistical Area,Bennington,5004750
13620,"Berlin, NH-VT",Micropolitan Statistical Area,Berlin,3305140
13660,"Big Rapids, MI",Micropolitan Statistical Area,Big Rapids,2608300
13700,"Big Spring, TX",Micropolitan Statistical Area,Big Spring,4808236
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Big Stone Gap,5107480
13740,"Billings, MT",Metropolitan Statistical Area,Billings,3006550
13780,"Binghamton, NY",Metropolitan Statistical Area,Binghamton,3606607
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Birmingham,107000
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Hoover,135896
13900,"Bismarck, ND",Metropolitan Statistical Area,Bismarck,3807200
13940,"Blackfoot, ID",Micropolitan Statistical Area,Blackfoot,1607840
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Blacksburg,5107784
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Christiansburg,5116608
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Radford,5165392
14010,"Bloomington, IL",Metropolitan Statistical Area,Bloomington,1706613
14020,"Bloomington, IN",Metropolitan Statistical Area,Bloomington,1805860
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Berwick,4205888
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Bloomsburg,4207128
14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Bluefield,5408524
14180,"Blytheville, AR",Micropolitan Statistical Area,Blytheville,507330
14220,"Bogalusa, LA",Micropolitan Statistical Area,Bogalusa,2208150
