cbsa_fips,cbsa,cbsa_type,city,city_fips
21340,"El Paso, TX",Metropolitan Statistical Area,El Paso,4824000
21380,"Emporia, KS",Micropolitan Statistical Area,Emporia,2021275
21420,"Enid, OK",Micropolitan Statistical Area,Enid,4023950
21460,"Enterprise, AL",Micropolitan Statistical Area,Enterprise,124184
21500,"Erie, PA",Metropolitan Statistical Area,Erie,4224000
21540,"Escanaba, MI",Micropolitan Statistical Area,Escanaba,2626360
21580,"Española, NM",Micropolitan Statistical Area,Española,3525170
21660,"Eugene, OR",Metropolitan Statistical Area,Eugene,4123850
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,Arcata,602476
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,Eureka,623042
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,Fortuna,625296
21740,"Evanston, WY",Micropolitan Statistical Area,Evanston,5625620
21780,"Evansville, IN-KY",Metropolitan Statistical Area,Evansville,1822000
21820,"Fairbanks, AK",Metropolitan Statistical Area,Fairbanks,224230
21840,"Fairfield, IA",Micropolitan Statistical Area,Fairfield,1926445
21900,"Fairmont, WV",Micropolitan Statistical Area,Fairmont,5426452
21980,"Fallon, NV",Micropolitan Statistical Area,Fallon,3224100
22020,"Fargo, ND-MN",Metropolitan Statistical Area,Fargo,3825700
22060,"Faribault-Northfield, MN",Micropolitan Statistical Area,Faribault,2720546
22060,"Faribault-Northfield, MN",Micropolitan Statistical Area,Northfield,2746924
22100,"Farmington, MO",Micropolitan Statistical Area,Farmington,2923752
22140,"Farmington, NM",Metropolitan Statistical Area,Farmington,3525800
22180,"Fayetteville, NC",Metropolitan Statistical Area,Fayetteville,3722920
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Bentonville,505320
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Fayetteville,523290
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Rogers,560410
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Springdale,566080
22260,"Fergus Falls, MN",Micropolitan Statistical Area,Fergus Falls,2720906
22280,"Fernley, NV",Micropolitan Statistical Area,Fernley,3224900
22300,"Findlay, OH",Micropolitan Statistical Area,Findlay,3927048
22340,"Fitzgerald, GA",Micropolitan Statistical Area,Fitzgerald,1329528
22380,"Flagstaff, AZ",Metropolitan Statistical Area,Flagstaff,423620
22420,"Flint, MI",Metropolitan Statistical Area,Flint,2629000
22500,"Florence, SC",Metropolitan Statistical Area,Florence,4525810
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Florence,126896
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Muscle Shoals,153016
22540,"Fond du Lac, WI",Metropolitan Statistical Area,Fond du Lac,5526275
22580,"Forest City, NC",Micropolitan Statistical Area,Forest City,3724080
22620,"Forrest City, AR",Micropolitan Statistical Area,Forrest City,524430
22660,"Fort Collins, CO",Metropolitan Statistical Area,Fort Collins,827425
22700,"Fort Dodge, IA",Micropolitan Statistical Area,Fort Dodge,1928515
22780,"Fort Leonard Wood, MO",Micropolitan Statistical Area,Fort Leonard Wood,2925264
22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,Fort Madison,1928605
22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,Keokuk,1940845
22820,"Fort Morgan, CO",Micropolitan Statistical Area,Fort Morgan,827810
22860,"Fort Polk South, LA",Micropolitan Statistical Area,Fort Polk South,2226757
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,Fort Smith,524550
23060,"Fort Wayne, IN",Metropolitan Statistical Area,Fort Wayne,1825000
23140,"Frankfort, IN",Micropolitan Statistical Area,Frankfort,1825324
23180,"Frankfort, KY",Micropolitan Statistical Area,Frankfort,2128900
23240,"Fredericksburg, TX",Micropolitan Statistical Area,Fredericksburg,4827348
23300,"Freeport, IL",Micropolitan Statistical Area,Freeport,1727884
23340,"Fremont, NE",Micropolitan Statistical Area,Fremont,3117670
23380,"Fremont, OH",Micropolitan Statistical Area,Fremont,3928826
23420,"Fresno, CA",Metropolitan Statistical Area,Fresno,627000
23460,"Gadsden, AL",Metropolitan Statistical Area,Gadsden,128696
23500,"Gaffney, SC",Micropolitan Statistical Area,Gaffney,4528060
23540,"Gainesville, FL",Metropolitan Statistical Area,Gainesville,1225175
23580,"Gainesville, GA",Metropolitan Statistical Area,Gainesville,1331908
23620,"Gainesville, TX",Micropolitan Statistical Area,Gainesville,4827984
23660,"Galesburg, IL",Micropolitan Statistical Area,Galesburg,1728326
23700,"Gallup, NM",Micropolitan Statistical Area,Gallup,3528460
23780,"Garden City, KS",Micropolitan Statistical Area,Garden City,2025325
23820,"Gardnerville Ranchos, NV",Micropolitan Statistical Area,Gardnerville Ranchos,3226500
23860,"Georgetown, SC",Micropolitan Statistical Area,Georgetown,4528870
23900,"Gettysburg, PA",Metropolitan Statistical Area,Gettysburg,4228960
23940,"Gillette, WY",Micropolitan Statistical Area,Gillette,5631855
23980,"Glasgow, KY",Micropolitan Statistical Area,Glasgow,2131114
24020,"Glens Falls, NY",Metropolitan Statistical Area,Glens Falls,3629333
24060,"Glenwood Springs, CO",Micropolitan Statistical Area,Glenwood Springs,830780
24100,"Gloversville, NY",Micropolitan Statistical Area,Gloversville,3629443
24140,"Goldsboro, NC",Metropolitan Statistical Area,Goldsboro,3726880
24220,"Grand Forks, ND-MN",Metropolitan Statistical Area,Grand Forks,3832060
24260,"Grand Island, NE",Metropolitan Statistical Area,Grand Island,3119595
24300,"Grand Junction, CO",Metropolitan Statistical Area,Grand Junction,831660
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Grand Rapids,2634000
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Wyoming,2688940
24380,"Grants, NM",Micropolitan Statistical Area,Grants,3530490
24420,"Grants Pass, OR",Metropolitan Statistical Area,Grants Pass,4130550
24460,"Great Bend, KS",Micropolitan Statistical Area,Great Bend,2028300
24500,"Great Falls, MT",Metropolitan Statistical Area,Great Falls,3032800
24540,"Greeley, CO",Metropolitan Statistical Area,Greeley,832155
24580,"Green Bay, WI",Metropolitan Statistical Area,Green Bay,5531000
24620,"Greeneville, TN",Micropolitan Statistical Area,Greeneville,4730980
24640,"Greenfield Town, MA",Micropolitan Statistical Area,Greenfield Town,2527100
24660,"Greensboro-High Point, NC",Metropolitan Statistical Area,Greensboro,3728000
24660,"Greensboro-High Point, NC",Metropolitan Statistical Area,High Point,3731400
24700,"Greensburg, IN",Micropolitan Statistical Area,Greensburg,1829718
24740,"Greenville, MS",Micropolitan Statistical Area,Greenville,2829180
24780,"Greenville, NC",Metropolitan Statistical Area,Greenville,3728080
24820,"Greenville, OH",Micropolitan Statistical Area,Greenville,3932340
24860,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,Anderson,4501360
24860,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,Easley,4521985
24860,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,Greenville,4530850
24860,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,Mauldin,4545115
24900,"Greenwood, MS",Micropolitan Statistical Area,Greenwood,2829340
24940,"Greenwood, SC",Micropolitan Statistical Area,Greenwood,4530895
24980,"Grenada, MS",Micropolitan Statistical Area,Grenada,2829460
25020,"Guayama, PR",Metropolitan Statistical Area,Guayama,7232221
25060,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,Biloxi,2806220
25060,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,Gulfport,2829700
25060,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,Pascagoula,2855360
25100,"Guymon, OK",Micropolitan Statistical Area,Guymon,4031750
25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,Hagerstown,2436075
25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,Martinsburg,5452060
25200,"Hailey, ID",Micropolitan Statistical Area,Hailey,1634390
25220,"Hammond, LA",Metropolitan Statistical Area,Hammond,2232755
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,Corcoran,616224
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,Hanford,631960
25300,"Hannibal, MO",Micropolitan Statistical Area,Hannibal,2930214
25420,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,Carlisle,4211272
25420,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,Harrisburg,4232800
25460,"Harrison, AR",Micropolitan Statistical Area,Harrison,530460
25500,"Harrisonburg, VA",Metropolitan Statistical Area,Harrisonburg,5135624
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,East Hartford,922700
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,Hartford,937000
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,Middletown,947290
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,West Hartford,982660
25580,"Hastings, NE",Micropolitan Statistical Area,Hastings,3121415
25620,"Hattiesburg, MS",Metropolitan Statistical Area,Hattiesburg,2831020
25700,"Hays, KS",Micropolitan Statistical Area,Hays,2031100
25720,"Heber, UT",Micropolitan Statistical Area,Heber,4934200
25740,"Helena, MT",Micropolitan Statistical Area,Helena,3035600
25760,"Helena-West Helena, AR",Micropolitan Statistical Area,Helena-West Helena,531190
25780,"Henderson, NC",Micropolitan Statistical Area,Henderson,3730660
25820,"Hereford, TX",Micropolitan Statistical Area,Hereford,4833320
25840,"Hermiston-Pendleton, OR",Micropolitan Statistical Area,Hermiston,4133700
25840,"Hermiston-Pendleton, OR",Micropolitan Statistical Area,Pendleton,4157150
25860,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Hickory,3731060
25860,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Lenoir,3737760
25860,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,Morganton,3744400
25880,"Hillsdale, MI",Micropolitan Statistical Area,Hillsdale,2638460
25900,"Hilo, HI",Micropolitan Statistical Area,Hilo,1514650
25940,"Hilton Head Island-Bluffton-Beaufort, SC",Metropolitan Statistical Area,Beaufort,4504690
25940,"Hilton Head Island-Bluffton-Beaufort, SC",Metropolitan Statistical Area,Bluffton,4507210
25940,"Hilton Head Island-Bluffton-Beaufort, SC",Metropolitan Statistical Area,Hilton Head Island,4534045
25980,"Hinesville, GA",Metropolitan Statistical Area,Hinesville,1338964
26020,"Hobbs, NM",Micropolitan Statistical Area,Hobbs,3532520
26090,"Holland, MI",Micropolitan Statistical Area,Holland,2638640
26140,"Homosassa Springs, FL",Metropolitan Statistical Area,Homosassa Springs,1232400
26220,"Hood River, OR",Micropolitan Statistical Area,Hood River,4134900
26300,"Hot Springs, AR",Metropolitan Statistical Area,Hot Springs,533400
26340,"Houghton, MI",Micropolitan Statistical Area,Houghton,2639360
26380,"Houma-Thibodaux, LA",Metropolitan Statistical Area,Houma,2236255
26380,"Houma-Thibodaux, LA",Metropolitan Statistical Area,Thibodaux,2275425
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Baytown,4806128
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Conroe,4816432
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Houston,4835000
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Sugar Land,4870808
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,The Woodlands,4872656
26460,"Hudson, NY",Micropolitan Statistical Area,Hudson,3635969
26500,"Huntingdon, PA",Micropolitan Statistical Area,Huntingdon,4236368
26540,"Huntington, IN",Micropolitan Statistical Area,Huntington,1835302
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,Ashland,2102368
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,Huntington,5439460
26620,"Huntsville, AL",Metropolitan Statistical Area,Huntsville,137000
26660,"Huntsville, TX",Micropolitan Statistical Area,Huntsville,4835528
26700,"Huron, SD",Micropolitan Statistical Area,Huron,4631060
26740,"Hutchinson, KS",Micropolitan Statistical Area,Hutchinson,2033625
26780,"Hutchinson, MN",Micropolitan Statistical Area,Hutchinson,2730644
26820,"Idaho Falls, ID",Metropolitan Statistical Area,Idaho Falls,1639700
26860,"Indiana, PA",Micropolitan Statistical Area,Indiana,4236816
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Anderson,1801468
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Carmel,1810342
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indianapolis city (balance),1836003
26940,"Indianola, MS",Micropolitan Statistical Area,Indianola,2834740
26960,"Ionia, MI",Micropolitan Statistical Area,Ionia,2640860
26980,"Iowa City, IA",Metropolitan Statistical Area,Iowa City,1938595
27020,"Iron Mountain, MI-WI",Micropolitan Statistical Area,Iron Mountain,2640960
27060,"Ithaca, NY",Metropolitan Statistical Area,Ithaca,3638077
27100,"Jackson, MI",Metropolitan Statistical Area,Jackson,2641420
27140,"Jackson, MS",Metropolitan Statistical Area,Jackson,2836000
27160,"Jackson, OH",Micropolitan Statistical Area,Jackson,3937842
27180,"Jackson, TN",Metropolitan Statistical Area,Jackson,4737640
27220,"Jackson, WY-ID",Micropolitan Statistical Area,Jackson,5640120
27260,"Jacksonville, FL",Metropolitan Statistical Area,Jacksonville,1235000
27300,"Jacksonville, IL",Micropolitan Statistical Area,Jacksonville,1738115
27340,"Jacksonville, NC",Metropolitan Statistical Area,Jacksonville,3734200
27380,"Jacksonville, TX",Micropolitan Statistical Area,Jacksonville,4837216
27420,"Jamestown, ND",Micropolitan Statistical Area,Jamestown,3840580
27460,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,Dunkirk,3621105
27460,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,Fredonia,3627419
27460,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,Jamestown,3638264
27500,"Janesville-Beloit, WI",Metropolitan Statistical Area,Beloit,5506500
27500,"Janesville-Beloit, WI",Metropolitan Statistical Area,Janesville,5537825
27540,"Jasper, IN",Micropolitan Statistical Area,Jasper,1837782
27580,"Jayuya, PR",Micropolitan Statistical Area,Jayuya,7238370
27600,"Jefferson, GA",Micropolitan Statistical Area,Jefferson,1341988
27620,"Jefferson City, MO",Metropolitan Statistical Area,Jefferson City,2937000
27700,"Jesup, GA",Micropolitan Statistical Area,Jesup,1342268
27740,"Johnson City, TN",Metropolitan Statistical Area,Johnson City,4738320
27780,"Johnstown, PA",Metropolitan Statistical Area,Johnstown,4238288
27860,"Jonesboro, AR",Metropolitan Statistical Area,Jonesboro,535710
27900,"Joplin, MO",Metropolitan Statistical Area,Joplin,2937592
27920,"Junction City, KS",Micropolitan Statistical Area,Junction City,2035750
27940,"Juneau, AK",Micropolitan Statistical Area,Juneau,236400
27980,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Kahului,1522700
27980,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Lahaina,1542950
27980,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Wailuku,1577450
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,Kalamazoo,2642160
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,Portage,2665560
28060,"Kalispell, MT",Micropolitan Statistical Area,Kalispell,3040075
28100,"Kankakee, IL",Metropolitan Statistical Area,Kankakee,1738934
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas City,2036000
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Overland Park,2053775
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas City,2938000
28180,"Kapaa, HI",Micropolitan Statistical Area,Kapaa,1528850
28260,"Kearney, NE",Micropolitan Statistical Area,Kearney,3125055
28300,"Keene, NH",Micropolitan Statistical Area,Keene,3339300
28340,"Kendallville, IN",Micropolitan Statistical Area,Kendallville,1839402
28380,"Kennett, MO",Micropolitan Statistical Area,Kennett,2938306
28420,"Kennewick-Richland, WA",Metropolitan Statistical Area,Kennewick,5335275
28420,"Kennewick-Richland, WA",Metropolitan Statistical Area,Richland,5358235
28500,"Kerrville, TX",Micropolitan Statistical Area,Kerrville,4839040
28540,"Ketchikan, AK",Micropolitan Statistical Area,Ketchikan,238970
28580,"Key West, FL",Micropolitan Statistical Area,Key West,1236550
28620,"Kill Devil Hills, NC",Micropolitan Statistical Area,Kill Devil Hills,3735720
28660,"Killeen-Temple, TX",Metropolitan Statistical Area,Killeen,4839148
28660,"Killeen-Temple, TX",Metropolitan Statistical Area,Temple,4872176
28700,"Kingsport-Bristol-Bristol, TN-VA",Metropolitan Statistical Area,Bristol,4708540
28700,"Kingsport-Bristol-Bristol, TN-VA",Metropolitan Statistical Area,Kingsport,4739560
28700,"Kingsport-Bristol-Bristol, TN-VA",Metropolitan Statistical Area,Bristol,5109816
28740,"Kingston, NY",Metropolitan Statistical Area,Kingston,3639727
28780,"Kingsville, TX",Micropolitan Statistical Area,Kingsville,4839352
28820,"Kinston, NC",Micropolitan Statistical Area,Kinston,3735920
28860,"Kirksville, MO",Micropolitan Statistical Area,Kirksville,2939026
28900,"Klamath Falls, OR",Micropolitan Statistical Area,Klamath Falls,4139700
28940,"Knoxville, TN",Metropolitan Statistical Area,Knoxville,4740000
29020,"Kokomo, IN",Metropolitan Statistical Area,Kokomo,1840392
29060,"Laconia, NH",Micropolitan Statistical Area,Laconia,3340180
29100,"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,La Crosse,5540775
29100,"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,Onalaska,5559925
29180,"Lafayette, LA",Metropolitan Statistical Area,Lafayette,2240735
29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Lafayette,1840788
29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,West Lafayette,1882862
29260,"La Grande, OR",Micropolitan Statistical Area,La Grande,4140350
29300,"LaGrange, GA",Micropolitan Statistical Area,LaGrange,1344340
29340,"Lake Charles, LA",Metropolitan Statistical Area,Lake Charles,2241155
29380,"Lake City, FL",Micropolitan Statistical Area,Lake City,1237775
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,Kingman,437620
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,Lake Havasu City,439370
29460,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Lakeland,1238250
29460,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Winter Haven,1278275
29500,"Lamesa, TX",Micropolitan Statistical Area,Lamesa,4841164
29540,"Lancaster, PA",Metropolitan Statistical Area,Lancaster,4241216
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,East Lansing,2624120
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,Lansing,2646000
29660,"Laramie, WY",Micropolitan Statistical Area,Laramie,5645050
29700,"Laredo, TX",Metropolitan Statistical Area,Laredo,4841464
29740,"Las Cruces, NM",Metropolitan Statistical Area,Las Cruces,3539380
29780,"Las Vegas, NM",Micropolitan Statistical Area,Las Vegas,3539940
29820,"Las Vegas-Henderson-Paradise, NV",Metropolitan Statistical Area,Henderson,3231900
29820,"Las Vegas-Henderson-Paradise, NV",Metropolitan Statistical Area,Las Vegas,3240000
29820,"Las Vegas-Henderson-Paradise, NV",Metropolitan Statistical Area,Paradise,3254600
29860,"Laurel, MS",Micropolitan Statistical Area,Laurel,2839640
29900,"Laurinburg, NC",Micropolitan Statistical Area,Laurinburg,3737220
29940,"Lawrence, KS",Metropolitan Statistical Area,Lawrence,2038900
29980,"Lawrenceburg, TN",Micropolitan Statistical Area,Lawrenceburg,4741340
30020,"Lawton, OK",Metropolitan Statistical Area,Lawton,4041850
30060,"Lebanon, MO",Micropolitan Statistical Area,Lebanon,2941168
30140,"Lebanon, PA",Metropolitan Statistical Area,Lebanon,4242168
30220,"Levelland, TX",Micropolitan Statistical Area,Levelland,4842448
30260,"Lewisburg, PA",Micropolitan Statistical Area,Lewisburg,4242976
30280,"Lewisburg, TN",Micropolitan Statistical Area,Lewisburg,4741860
30300,"Lewiston, ID-WA",Metropolitan Statistical Area,Lewiston,1646540
30340,"Lewiston-Auburn, ME",Metropolitan Statistical Area,Auburn,2302060
30340,"Lewiston-Auburn, ME",Metropolitan Statistical Area,Lewiston,2338740
30380,"Lewistown, PA",Micropolitan Statistical Area,Lewistown,4243000
30420,"Lexington, NE",Micropolitan Statistical Area,Lexington,3126910
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Lexington-Fayette,2146027
30580,"Liberal, KS",Micropolitan Statistical Area,Liberal,2039825
30620,"Lima, OH",Metropolitan Statistical Area,Lima,3943554
30660,"Lincoln, IL",Micropolitan Statistical Area,Lincoln,1743536
30700,"Lincoln, NE",Metropolitan Statistical Area,Lincoln,3128000
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Conway,515190
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Little Rock,541000
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,North Little Rock,550450
30820,"Lock Haven, PA",Micropolitan Statistical Area,Lock Haven,4244128
30860,"Logan, UT-ID",Metropolitan Statistical Area,Logan,4945860
30880,"Logan, WV",Micropolitan Statistical Area,Logan,5448148
30900,"Logansport, IN",Micropolitan Statistical Area,Logansport,1844658
30940,"London, KY",Micropolitan Statistical Area,London,2147476
30980,"Longview, TX",Metropolitan Statistical Area,Longview,4843888
31020,"Longview, WA",Metropolitan Statistical Area,Longview,5340245
31060,"Los Alamos, NM",Micropolitan Statistical Area,Los Alamos,3542320
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Anaheim,602000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Arcadia,602462
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Burbank,608954
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Carson,611530
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Costa Mesa,616532
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Fountain Valley,625380
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Gardena,628168
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Glendale,630000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Irvine,636770
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Long Beach,643000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Los Angeles,644000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Monterey Park,648914
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Newport Beach,651182
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Orange,653980
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Pasadena,656000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Santa Ana,669000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Santa Monica,670000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Torrance,680000
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Tustin,680854
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Louisville/Jefferson County metro government (balance),﻿2148000
31180,"Lubbock, TX",Metropolitan Statistical Area,Lubbock,4845000
31220,"Ludington, MI",Micropolitan Statistical Area,Ludington,2649640
31260,"Lufkin, TX",Micropolitan Statistical Area,Lufkin,4845072
31300,"Lumberton, NC",Micropolitan Statistical Area,Lumberton,3739700
31340,"Lynchburg, VA",Metropolitan Statistical Area,Lynchburg,5147672
31380,"Macomb, IL",Micropolitan Statistical Area,Macomb,1745889
31420,"Macon, GA",Metropolitan Statistical Area,Macon,1349000
31460,"Madera, CA",Metropolitan Statistical Area,Madera,645022
31500,"Madison, IN",Micropolitan Statistical Area,Madison,1845990
31540,"Madison, WI",Metropolitan Statistical Area,Madison,5548000
31580,"Madisonville, KY",Micropolitan Statistical Area,Madisonville,2149368
31620,"Magnolia, AR",Micropolitan Statistical Area,Magnolia,543460
31660,"Malone, NY",Micropolitan Statistical Area,Malone,3644710
31680,"Malvern, AR",Micropolitan Statistical Area,Malvern,543610
31700,"Manchester-Nashua, NH",Metropolitan Statistical Area,Manchester,3345140
31700,"Manchester-Nashua, NH",Metropolitan Statistical Area,Nashua,3350260
31740,"Manhattan, KS",Metropolitan Statistical Area,Manhattan,2044250
31820,"Manitowoc, WI",Micropolitan Statistical Area,Manitowoc,5548500
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,Mankato,2739878
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,North Mankato,2747068
31900,"Mansfield, OH",Metropolitan Statistical Area,Mansfield,3947138
31930,"Marietta, OH",Micropolitan Statistical Area,Marietta,3947628
31940,"Marinette, WI-MI",Micropolitan Statistical Area,Marinette,5549300
31980,"Marion, IN",Micropolitan Statistical Area,Marion,1846908
32000,"Marion, NC",Micropolitan Statistical Area,Marion,3741420
32020,"Marion, OH",Micropolitan Statistical Area,Marion,3947754
32100,"Marquette, MI",Micropolitan Statistical Area,Marquette,2651900
32140,"Marshall, MN",Micropolitan Statistical Area,Marshall,2740688
32180,"Marshall, MO",Micropolitan Statistical Area,Marshall,2946316
32220,"Marshall, TX",Micropolitan Statistical Area,Marshall,4846776
32260,"Marshalltown, IA",Micropolitan Statistical Area,Marshalltown,1949755
32280,"Martin, TN",Micropolitan Statistical Area,Martin,4746240
32300,"Martinsville, VA",Micropolitan Statistical Area,Martinsville,5149784
32340,"Maryville, MO",Micropolitan Statistical Area,Maryville,2946640
32380,"Mason City, IA",Micropolitan Statistical Area,Mason City,1950160
32420,"Mayagüez, PR",Metropolitan Statistical Area,Mayagüez,7252431
32460,"Mayfield, KY",Micropolitan Statistical Area,Mayfield,2150898
32500,"Maysville, KY",Micropolitan Statistical Area,Maysville,2151024
32540,"McAlester, OK",Micropolitan Statistical Area,McAlester,4044800
32580,"McAllen-Edinburg-Mission, TX",Metropolitan Statistical Area,Edinburg,4822660
32580,"McAllen-Edinburg-Mission, TX",Metropolitan Statistical Area,McAllen,4845384
32580,"McAllen-Edinburg-Mission, TX",Metropolitan Statistical Area,Mission,4848768
32620,"McComb, MS",Micropolitan Statistical Area,McComb,2843280
32660,"McMinnville, TN",Micropolitan Statistical Area,McMinnville,4745100
32700,"McPherson, KS",Micropolitan Statistical Area,McPherson,2043950
32740,"Meadville, PA",Micropolitan Statistical Area,Meadville,4248360
32780,"Medford, OR",Metropolitan Statistical Area,Medford,4147000
32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,Memphis,4748000
32860,"Menomonie, WI",Micropolitan Statistical Area,Menomonie,5551025
32900,"Merced, CA",Metropolitan Statistical Area,Merced,646898
32940,"Meridian, MS",Micropolitan Statistical Area,Meridian,2846640
32980,"Merrill, WI",Micropolitan Statistical Area,Merrill,5551250
33020,"Mexico, MO",Micropolitan Statistical Area,Mexico,2947648
33060,"Miami, OK",Micropolitan Statistical Area,Miami,4048000
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Boca Raton,1207300
