cbsa_fips,cbsa,sqmi,population_2005,density,age_total_young,age_total_old,age_total,age_pct_u18,age_pct_o64,nat_total,nat_foreign_born,nat_not_foreign_born,nat_native,nat_nativity,laus_lfpr,laus_pop,laus_lf,laus_emp,laus_unemp,access,city_age,r_1,r_2,st_cap,mfg_lq_gmp,mfg_lq_emp,charitable_assets,intermodal_freight,enplanements,hist_bldgs,hist_strct,hist_sites,hist_objct,hist_dists,hist_registry_total,city_peak_yr,city_peak_pop,city_decades_since_peak,city_pop_2010,city_decline_since_peak,pctchg_00_05,vacancy_msa,vacancy_city,pct_prewar_city,pct_prewar_msa,total_units_2005,hud_units_2005,pct_ph,med_val_cbsa,med_val_city,prop_crimes_per100k,prop_crimes_burglary,prop_crimes_larceny,prop_crimes_moto_theft,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult,pov_total_in_poverty,pov_total,pov_poverty_rate,gini,total_bridges_2005,bad_bridges_2005,pct_deficient,npl_sites,sfund_per_sqmi,edu_no_hs_diploma,edu_bachelors_plus,edu_total_bach,edu_total_mast,edu_total_prof,edu_total_doct,edu_total_nohs,edu_total_degr,edu_total_ov25,enplane_per_cap,chartbl_per_cap,r1_per_cap,r2_per_cap,r_univ_per_cap,freight_sqmi,ln_hist_bldg,ln_hist_registry
12420,"Austin-Round Rock, TX",4284.6395,1453358,339.2019,317022,90644,1249763,0.2537,0.0725,471855,46927,424928,295809,0.9005,0.5493,1453358,798312,761991,36321,53.2929,80,1,0,1,1.1,0.87,1977413617,8,3645956,3,10,2,0,3,18,2010,790390,0,790390,0,0.1629,0.0487,0.0404,0.0379,0.0387,496004,6464,0.013,240500,120800,4082.339,11235,44642,3454,7.178,25.58,23.1,134589,1215812,0.1107,0.4625,2007,0,0,0,0,0.1521,0.3669,186353,64609,17373,13487,116801,281822,768147,2.5086,1360.5826,0,0,0,0.0019,1.0986,2.8904
12540,"Bakersfield, CA",8161.6836,760726,93.207,211379,62054,661645,0.3195,0.0938,208652,6383,202269,156401,0.9694,0.4295,760726,326748,299406,27342,35.9677,50,0,0,0,0.67,0.47,47785617,6,159745,1,1,1,0,0,3,2010,347483,0,347483,0,0.1497,0.0989,0.0546,0.0429,0.0534,231564,2269,0.0098,190600,103500,4466.6542,8472,19612,5895,6.83,29.4,16.4,130949,630771,0.2076,0.462,602,0,0,2,2e-4,0.3153,0.1352,34739,11562,3909,1659,120981,51869,383667,0.21,62.8158,0,0,0,7e-4,0,1.0986
12580,"Baltimore-Columbia-Towson, MD",2707.2242,2644231,976.7314,646004,307198,2552994,0.253,0.1203,974071,56480,917591,653781,0.942,0.5167,2644231,1366365,1306160,60205,76.7953,190,1,1,1,0.52,0.54,7133231294,32,9829432,108,29,4,1,10,152,1950,949708,6,620961,0.3462,0.0357,0.0706,0.1414,0.3685,0.1601,1048046,40746,0.0389,285700,69900,3487.3277,18067,62167,11979,8.4929,26.3,12.8286,243792,2486691,0.098,0.4557,2288,0,0,10,0.0037,0.1811,0.292,292770,135305,42781,22986,306272,493842,1691080,3.7173,2697.6581,0,0,0,0.0118,4.6821,5.0239
12620,"Bangor, ME",3549.9256,149726,42.1772,33100,18920,144919,0.2284,0.1306,58096,2828,55268,37813,0.9513,0.5162,149726,77286,73351,3935,57.0163,0,0,1,0,0.6,0.61,16191173,2,433816,1,2,1,1,3,8,1960,38912,5,33039,0.1509,0.0332,0.1309,0.0599,0.4498,0.2829,66847,1968,0.0294,137900,83800,2834.511,780,3326,138,6.66,28,11.2,18956,138605,0.1368,0.4524,282,0,0,2,6e-4,0.143,0.2032,12302,4497,1320,1287,13660,19406,95505,2.8974,108.1387,0,0,0,6e-4,0,2.0794
12700,"Barnstable Town, MA",449.3001,221995,494.0907,45440,51265,222230,0.2045,0.2307,94822,3119,91703,61041,0.9671,0.5502,221995,122143,116121,6022,51.9419,0,0,0,0,0.23,0.23,95181283,1,187997,9,11,4,3,2,29,2000,47821,1,45193,0.055,-0.0011,0.3553,0.2155,0.122,0.1193,147083,1578,0.0107,375000,170600,2405.91,1855,3172,314,6.59,19.6,11.9,15021,218058,0.0689,0.4585,99,52,0.5253,1,0.0022,0.0819,0.3359,33989,15311,3683,2480,13521,55463,165115,0.8469,428.7542,0,0,0,0.0022,2.1972,3.3673
12940,"Baton Rouge, LA",4207.5481,733689,174.3745,190797,68142,705973,0.2703,0.0965,256637,13112,243525,179355,0.9489,0.4941,733689,362526,337278,25248,33.7581,60,1,0,1,1.99,0.71,229381621,7,515991,27,3,3,0,1,34,2010,229493,0,229493,0,0.0393,0.0916,0.0864,0.0621,0.0464,282511,4617,0.0163,168200,93100,4704.0367,7646,24083,2784,10.6344,30.7556,21.7111,116199,678111,0.1714,0.474,1657,168,0.1014,6,0.0014,0.2062,0.2276,63361,22297,7326,4466,88317,97450,428222,0.7033,312.6415,0,0,0,0.0017,3.2958,3.5264
12980,"Battle Creek, MI",717.2536,138946,193.7195,35854,18857,137985,0.2598,0.1367,54100,2370,51730,36249,0.9562,0.5162,138946,71724,66925,4799,54.4605,20,0,0,0,2.96,2.14,494279021,5,0,2,3,1,0,1,7,1990,53540,2,52347,0.0223,0.007,0.0782,0.0925,0.2788,0.2555,58691,2051,0.0349,102600,70800,4063.4491,1136,4207,303,7.89,30.3,9.2,15094,134116,0.1125,0.4444,209,0,0,3,0.0042,0.1677,0.1602,9424,3734,845,436,15112,14439,90137,0,3557.3462,0,0,0,0.007,0.6931,1.9459
13020,"Bay City, MI",450.9243,109165,242.0916,26946,16170,110157,0.2446,0.1468,43930,1824,42106,30039,0.9585,0.5089,109165,55557,51608,3949,33.7797,60,0,0,0,1.51,1.1,9113115,3,0,0,0,0,0,0,0,1960,53604,5,34932,0.3483,-0.009,0.0537,0.0646,0.5019,0.2619,46423,1663,0.0358,96800,65800,2703.2474,657,2104,190,7.06,31,10.3,10605,108881,0.0974,0.4421,158,0,0,1,0.0022,0.1757,0.1418,7224,2338,794,159,13027,10515,74146,0,83.4802,0,0,0,0.0067,-Inf,-Inf
13140,"Beaumont-Port Arthur, TX",3205.4787,395516,123.3875,105810,53043,400162,0.2644,0.1326,147910,4961,142949,105340,0.9665,0.462,395516,182725,168636,14089,20.999,80,0,0,0,3.94,1.4,103634585,10,46253,1,4,0,0,0,5,1960,119175,5,118296,0.0074,-0.0116,0.0983,0.0912,0.0906,0.0694,164028,5632,0.0343,102900,62000,4436.9886,4850,11415,1284,8.83,29.025,19.825,60734,382580,0.1587,0.4798,909,35,0.0385,2,6e-4,0.2167,0.1436,26262,6809,2758,926,55464,36755,255975,0.1169,262.0237,0,0,0,0.0031,0,1.6094
13380,"Bellingham, WA",2160.2718,185450,85.8457,40247,19400,166814,0.2413,0.1163,64446,3537,60909,41094,0.9451,0.5528,185450,102524,97125,5399,87.4594,20,0,0,0,2.12,1.07,15689488,6,101228,0,3,1,3,1,8,2010,80885,0,80885,0,0.1117,0.1278,0.05,0.2226,0.1457,73893,907,0.0123,299800,148900,5135.6161,1754,7174,596,5.1,23.1,17,23003,161817,0.1422,0.4476,315,0,0,3,0.0014,0.125,0.2723,18822,5984,1823,1359,12852,27988,102787,0.5459,84.6023,0,0,0,0.0028,-Inf,2.0794
13460,"Bend-Redmond, OR",3047.5509,140567,46.1246,28583,15089,115367,0.2478,0.1308,45595,2064,43531,31953,0.9547,0.5302,140567,74532,70250,4282,42.798,10,0,0,0,0.66,0.79,13740880,0,180637,1,1,0,0,1,3,2010,76639,0,76639,0,0.2184,0.1647,0.0642,0.0718,0.0462,54583,307,0.0056,298200,138100,4249.2192,1111,4387,475,6.03,17.3,20.2,10613,114226,0.0929,0.4484,128,0,0,0,0,0.1164,0.2497,13325,4013,1606,526,9075,19470,77981,1.2851,97.7532,0,0,0,0,0,1.0986
13740,"Billings, MT",5872.0371,148558,25.2992,35546,19023,139946,0.254,0.1359,56514,2658,53856,37188,0.953,0.5688,148558,84503,81494,3009,61.4932,50,0,0,0,1.56,0.44,102910569,5,404427,1,2,2,0,3,8,2010,104170,0,104170,0,0.0615,0.066,0.045,0.0981,0.1175,60507,1391,0.023,211200,96700,4528.1977,801,5498,428,7.105,25.95,20.85,15374,136727,0.1124,0.4582,383,29,0.0757,1,2e-4,0.1171,0.2608,17280,4050,1853,713,10731,23896,91638,2.7224,692.7299,0,0,0,9e-4,0,2.0794
13780,"Binghamton, NY",1236.163,252088,203.9278,60102,39616,252320,0.2382,0.157,100474,4720,95754,64557,0.953,0.4863,252088,122597,116654,5943,74.6281,90,0,1,0,1.64,1.6,143279596,1,122443,14,6,1,6,0,27,1950,80674,6,47376,0.4127,-9e-4,0.0885,0.1202,0.5583,0.3266,110227,1910,0.0173,113100,66100,2451.1282,863,5189,127,7.555,27.3,15.6,28854,242499,0.119,0.4557,676,0,0,8,0.0065,0.16,0.2204,20715,11900,2885,1254,26675,36754,166764,0.4857,568.3713,0,0,0,8e-4,2.6391,3.2958
13820,"Birmingham-Hoover, AL",5371.8906,1086318,202.2227,263312,134563,1052238,0.2502,0.1279,412376,20751,391625,287200,0.9497,0.4884,1086318,530561,508760,21801,20.0017,100,1,0,0,0.77,0.84,595853863,31,1595443,4,5,1,1,6,17,1960,340887,5,212237,0.3774,0.0324,0.0924,0.1174,0.1471,0.0836,454338,14142,0.0311,152200,62200,4697.2433,12902,33731,4394,9.08,31.8,16.2,139841,1031000,0.1356,0.4802,2241,0,0,1,2e-4,0.2124,0.2273,102816,35241,13986,5377,147103,157420,692507,1.4687,548.5078,0,0,0,0.0058,1.3863,2.8332
13900,"Bismarck, ND",5458.7599,105942,19.4077,26194,12852,100828,0.2598,0.1275,39445,1945,37500,26605,0.9507,0.5781,105942,61247,59332,1915,26.5088,10,0,0,1,0.69,0.46,41185564,2,174567,0,0,1,0,1,2,2010,61272,0,61272,0,0.0507,0.0543,0.0426,0.0728,0.1029,41709,629,0.0151,223600,90300,2054.898,277,1705,195,6.5733,30.1333,10.1333,9494,97802,0.0971,0.4432,457,2,0.0044,0,0,0.1454,0.2482,12099,2481,1207,217,9376,16004,64477,1.6478,388.7558,0,0,0,4e-4,-Inf,0.6931
13980,"Blacksburg-Christiansburg-Radford, VA",1471.3468,170990,116.2133,30376,18991,165146,0.1839,0.115,64234,3950,60284,39047,0.9385,0.49,170990,83789,80395,3394,79.4733,0,1,0,0,2.54,1.94,4922919,0,0,11,2,0,0,2,15,2010,42620,0,42620,0,0.0354,0.0756,0.0415,0.0428,0.1076,69484,1147,0.0165,168700,136200,2450.4357,754,3247,189,7.288,25.82,19.3,29083,152004,0.1913,0.4738,507,28,0.0552,0,0,0.2155,0.2439,12393,6566,1264,3418,20888,23641,96926,0,28.7907,0,0,0,0,2.3979,2.7081
14010,"Bloomington, IL",1589.4701,177015,111.3673,39418,17287,167231,0.2357,0.1034,63516,4337,59179,40153,0.9317,0.5398,177015,95546,91543,4003,75.7709,20,0,0,0,0.53,0.62,38331198,4,227881,0,3,0,0,0,3,2010,76610,0,76610,0,0.0585,0.0556,0.0629,0.2063,0.2133,67254,1655,0.0246,158700,108200,1259.2153,610,1510,109,7.685,27.25,12.35,14834,155340,0.0955,0.4559,788,0,0,0,0,0.1011,0.3355,23156,6774,1738,1405,9966,33073,98574,1.2874,216.5421,0,0,0,0.0025,-Inf,1.0986
14020,"Bloomington, IN",798.4607,150096,187.9817,27458,13871,142349,0.1929,0.0974,55180,4976,50204,30929,0.9098,0.5226,150096,78446,74477,3969,92.2245,30,1,0,0,1.48,1.15,4407707,0,0,3,3,0,0,1,7,2010,80405,0,80405,0,0.0544,0.0909,0.068,0.0985,0.0972,60699,1277,0.021,155300,119300,3240.5927,1039,3524,301,7.125,27.85,20.05,22101,127626,0.1732,0.4981,325,52,0.16,4,0.005,0.1396,0.3414,13891,8655,1637,3088,11154,27271,79873,0,29.3659,0,0,0,0,1.0986,1.9459
14260,"Boise City, ID",11811.711,546980,46.3083,132168,46161,464840,0.2843,0.0993,170291,9059,161232,120145,0.9468,0.5147,546980,281557,271210,10347,28.3886,40,0,0,1,1.13,1.12,964638608,5,1581338,3,2,4,0,1,10,2010,205671,0,205671,0,0.1767,0.06,0.0438,0.0797,0.077,181170,1722,0.0095,192600,118100,3074.1526,3496,11900,1419,6.706,27.06,20.36,42501,454456,0.0935,0.4579,690,38,0.0551,0,0,0.1414,0.255,50778,15194,4866,2054,40428,72892,285863,2.891,1763.572,0,0,0,4e-4,1.0986,2.3026
14460,"Boston-Cambridge-Newton, MA-NH",3664.3126,4418046,1205.6957,1029450,553962,4391344,0.2344,0.1261,1679659,126728,1552931,1075725,0.9246,0.5364,4418046,2369644,2262546,107098,97.6675,180,5,3,1,0.84,0.84,8876326213,38,13236122,64,56,40,9,86,255,1950,801444,6,617594,0.2294,0.0061,0.0411,0.0492,0.5347,0.3582,1751585,83575,0.0477,393500,210100,2243.8879,20635,65971,12530,7.3714,22.4143,11.7286,362866,4255279,0.0853,0.4807,2683,0,0,32,0.0087,0.133,0.3695,638879,310834,86250,58887,394165,1094850,2962795,2.9959,2009.1068,0,0,0,0.0104,4.1589,5.5413
14500,"Boulder, CO",739.7386,NA,NA,66837,22670,291288,0.2295,0.0778,114680,11180,103500,68787,0.9025,0.5996,280241,168036,160654,7382,93.2292,40,1,0,0,1.24,1.1,157903460,1,0,2,2,1,0,3,8,2010,97385,0,97385,0,-0.0379,0.0435,0.0277,0.0828,0.0686,119900,1264,0.0105,423500,272200,3699.6728,1749,7778,841,7.64,12.5,20.4,26818,282582,0.0949,0.4792,263,0,0,2,0.0027,0.072,0.5238,58012,26373,5750,7364,13404,97499,186126,NA,NA,NA,NA,NA,0.0014,0.6931,2.0794
14540,"Bowling Green, KY",1638.351,145918,89.0639,32032,15460,134976,0.2373,0.1145,51982,2420,49562,35707,0.9534,0.5138,145918,74979,70908,4071,38.6615,0,0,0,0,1.82,1.63,16872459,4,0,8,8,2,3,9,30,2010,58067,0,58067,0,0.0811,0.1088,0.0946,0.0931,0.0961,58326,1827,0.0313,134200,97000,2586.3841,756,2819,199,8.065,31.025,19.35,20637,128847,0.1602,0.4674,304,20,0.0658,0,0,0.2562,0.1884,9318,4289,1226,1004,21534,15837,84066,0,115.6297,0,0,0,0.0024,2.0794,3.4012
14740,"Bremerton-Silverdale, WA",433.0363,239806,553.7781,62064,24553,231969,0.2676,0.1058,86416,3473,82943,61344,0.9598,0.5046,239806,120999,114535,6464,92.8168,0,0,0,0,0.17,0.21,21988172,0,0,0,3,0,0,2,5,1990,38142,2,37729,0.0108,0.0338,0.0672,0.0923,0.2138,0.094,92644,1582,0.0171,277500,101500,2909.4351,1819,4572,586,6.13,27.6,12.9,19601,224006,0.0875,0.4258,89,0,0,7,0.0162,0.0923,0.2533,25276,8679,2724,988,13731,37667,148704,0,91.6915,0,0,0,0,-Inf,1.6094
